source_id,target_id,rel_type,note
APP-A,ACR-API,DEFINES_ACRONYM,
APP-A,ACR-BYOD,DEFINES_ACRONYM,
APP-A,ACR-CDM,DEFINES_ACRONYM,
APP-A,ACR-DHS,DEFINES_ACRONYM,
APP-A,ACR-G2B,DEFINES_ACRONYM,
APP-A,ACR-G2G,DEFINES_ACRONYM,
APP-A,ACR-NIST,DEFINES_ACRONYM,
APP-A,ACR-NPE,DEFINES_ACRONYM,
APP-A,ACR-PA,DEFINES_ACRONYM,
APP-A,ACR-PDP,DEFINES_ACRONYM,
APP-A,ACR-PE,DEFINES_ACRONYM,
APP-A,ACR-PEP,DEFINES_ACRONYM,
APP-A,ACR-PKI,DEFINES_ACRONYM,
APP-A,ACR-RMF,DEFINES_ACRONYM,
APP-A,ACR-SDN,DEFINES_ACRONYM,
APP-A,ACR-SDP,DEFINES_ACRONYM,
APP-A,ACR-SIEM,DEFINES_ACRONYM,
APP-A,ACR-TIC,DEFINES_ACRONYM,
APP-A,ACR-VPN,DEFINES_ACRONYM,
APP-A,ACR-ZT,DEFINES_ACRONYM,
APP-A,ACR-ZTA,DEFINES_ACRONYM,
