enhancement_id,control_id,enhancement_number,enhancement_name,enhancement_text,discussion,related_controls,status,source_document
AC-2(1),AC-2,1,AUTOMATED SYSTEM ACCOUNT MANAGEMENT,Support the management of system accounts using [Assignment: organization-defined automated mechanisms].,"Automated system account management includes using automated mechanisms to create, enable, modify, disable, and remove accounts; notify account managers when an account is created, enabled, modified, disabled, or removed, or when users are terminated or transferred; monitor system account usage; and report atypical system account usage. Automated mechanisms can include internal system functions and email, telephonic, and text messaging notifications.",,,NIST SP 800-53r5
AC-2(2),AC-2,2,AUTOMATED TEMPORARY AND EMERGENCY ACCOUNT MANAGEMENT,Automatically [Selection: remove; disable] temporary and emergency accounts after [Assignment: organization-defined time period for each type of account].,Management of temporary and emergency accounts includes the removal or disabling of such accounts automatically after a predefined time period rather than at the convenience of the system administrator. Automatic removal or disabling of accounts provides a more consistent implementation.,,,NIST SP 800-53r5
AC-2(3),AC-2,3,DISABLE ACCOUNTS,Disable accounts within [Assignment: organization-defined time period] when the accounts: (a) Have expired; (b) Are no longer associated with a user or individual; (c) Are in violation of organizational policy; or (d) Have been inactive for [Assignment: organization-defined time period].,"Disabling expired, inactive, or otherwise anomalous accounts supports the concepts of least privilege and least functionality which reduce the attack surface of the system.",,,NIST SP 800-53r5
AC-2(4),AC-2,4,AUTOMATED AUDIT ACTIONS,"Automatically audit account creation, modification, enabling, disabling, and removal actions.","Account management audit records are defined in accordance with AU-2 and reviewed, analyzed, and reported in accordance with AU-6.",AU-2; AU-6,,NIST SP 800-53r5
AC-2(5),AC-2,5,INACTIVITY LOGOUT,Require that users log out when [Assignment: organization-defined time period of expected inactivity or description of when to log out].,Inactivity logout is behavior- or policy-based and requires users to take physical action to log out when they are expecting inactivity longer than the defined period. Automatic enforcement of inactivity logout is addressed by AC-11.,AC-11,,NIST SP 800-53r5
AC-2(6),AC-2,6,DYNAMIC PRIVILEGE MANAGEMENT,Implement [Assignment: organization-defined dynamic privilege management capabilities].,"In contrast to access control approaches that employ static accounts and predefined user privileges, dynamic access control approaches rely on runtime access control decisions facilitated by dynamic privilege management, such as attribute-based access control. While user identities remain relatively constant over time, user privileges typically change more frequently based on ongoing mission or business requirements and the operational needs of organizations. An example of dynamic privilege management is the immediate revocation of privileges from users as opposed to requiring that users terminate and restart their sessions to reflect changes in privileges. Dynamic privilege management can also include mechanisms that change user privileges based on dynamic rules as opposed to editing specific user profiles. Examples include automatic adjustments of user privileges if they are operating out of their normal work times, if their job function or assignment changes, or if systems are under duress or in emergency situations. Dynamic privilege management includes the effects of privilege changes, for example, when there are changes to encryption keys used for communications.",AC-16,,NIST SP 800-53r5
AC-2(7),AC-2,7,PRIVILEGED USER ACCOUNTS,(a) Establish and administer privileged user accounts in accordance with [Selection: a role-based access scheme; an attribute-based access scheme]; (b) Monitor privileged role or attribute assignments; (c) Monitor changes to roles or attributes; and (d) Revoke access when privileged role or attribute assignments are no longer appropriate.,"Privileged roles are organization-defined roles assigned to individuals that allow those individuals to perform certain security-relevant functions that ordinary users are not authorized to perform. Privileged roles include key management, account management, database administration, system and network administration, and web administration. A role-based access scheme organizes permitted system access and privileges into roles. In contrast, an attribute-based access scheme specifies allowed system access and privileges based on attributes.",,,NIST SP 800-53r5
AC-2(8),AC-2,8,DYNAMIC ACCOUNT MANAGEMENT,"Create, activate, manage, and deactivate [Assignment: organization-defined system accounts] dynamically.","Approaches for dynamically creating, activating, managing, and deactivating system accounts rely on automatically provisioning the accounts at runtime for entities that were previously unknown. Organizations plan for the dynamic management, creation, activation, and deactivation of system accounts by establishing trust relationships, business rules, and mechanisms with appropriate authorities to validate related authorizations and privileges.",AC-16,,NIST SP 800-53r5
AC-2(9),AC-2,9,RESTRICTIONS ON USE OF SHARED AND GROUP ACCOUNTS,Only permit the use of shared and group accounts that meet [Assignment: organization-defined conditions for establishing shared and group accounts].,"Before permitting the use of shared or group accounts, organizations consider the increased risk due to the lack of accountability with such accounts.",,,NIST SP 800-53r5
AC-2(10),AC-2,10,SHARED AND GROUP ACCOUNT CREDENTIAL CHANGE,[Withdrawn: Incorporated into AC-2k.],,,Withdrawn,NIST SP 800-53r5
AC-2(11),AC-2,11,USAGE CONDITIONS,Enforce [Assignment: organization-defined circumstances and/or usage conditions] for [Assignment: organization-defined system accounts].,"Specifying and enforcing usage conditions helps to enforce the principle of least privilege, increase user accountability, and enable effective account monitoring. Account monitoring includes alerts generated if the account is used in violation of organizational parameters. Organizations can describe specific conditions or circumstances under which system accounts can be used, such as by restricting usage to certain days of the week, time of day, or specific durations of time.",,,NIST SP 800-53r5
AC-2(12),AC-2,12,ACCOUNT MONITORING FOR ATYPICAL USAGE,(a) Monitor system accounts for [Assignment: organization-defined atypical usage]; and (b) Report atypical usage of system accounts to [Assignment: organization-defined personnel or roles].,Atypical usage includes accessing systems at certain times of the day or from locations that are not consistent with the normal usage patterns of individuals. Monitoring for atypical usage may reveal rogue behavior by individuals or an attack in progress. Account monitoring may inadvertently create privacy risks since data collected to identify atypical usage may reveal previously unknown information about the behavior of individuals. Organizations assess and document privacy risks from monitoring accounts for atypical usage in their privacy impact assessment and make determinations that are in alignment with their privacy program plan.,AU-6; AU-7; CA-7; IR-8; SI-4,,NIST SP 800-53r5
AC-2(13),AC-2,13,DISABLE ACCOUNTS FOR HIGH-RISK INDIVIDUALS,Disable accounts of individuals within [Assignment: organization-defined time period] of discovery of [Assignment: organization-defined significant risks].,"Users who pose a significant security and/or privacy risk include individuals for whom reliable evidence indicates either the intention to use authorized access to systems to cause harm or through whom adversaries will cause harm. Such harm includes adverse impacts to organizational operations, organizational assets, individuals, other organizations, or the Nation. Close coordination among system administrators, legal staff, human resource managers, and authorizing officials is essential when disabling system accounts for high-risk individuals.",AU-6; SI-4,,NIST SP 800-53r5
AC-3(1),AC-3,1,RESTRICTED ACCESS TO PRIVILEGED FUNCTIONS,[Withdrawn: Incorporated into AC-6.],,,Withdrawn,NIST SP 800-53r5
AC-3(2),AC-3,2,DUAL AUTHORIZATION,Enforce dual authorization for [Assignment: organization-defined privileged commands and/or other organization-defined actions].,"Dual authorization, also known as two-person control, reduces risk related to insider threats. Dual authorization mechanisms require the approval of two authorized individuals to execute. To reduce the risk of collusion, organizations consider rotating dual authorization duties. Organizations consider the risk associated with implementing dual authorization mechanisms when immediate responses are necessary to ensure public and environmental safety.",CP-9; MP-6,,NIST SP 800-53r5
