item_id,parent_id,parent_type,item_label,item_text,source_document
AC-1-a,AC-1,Control,a.,"Develop, document, and disseminate to [Assignment: organization-defined personnel or roles]:",NIST SP 800-53r5
AC-1-a-1,AC-1-a,ControlItem,1.,[Selection (one or more): Organization-level; Mission/business process-level; System-level] access control policy that:,NIST SP 800-53r5
AC-1-a-1-a,AC-1-a-1,ControlItem,(a),"Addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and",NIST SP 800-53r5
AC-1-a-1-b,AC-1-a-1,ControlItem,(b),"Is consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines; and",NIST SP 800-53r5
AC-1-a-2,AC-1-a,ControlItem,2.,Procedures to facilitate the implementation of the access control policy and the associated access controls;,NIST SP 800-53r5
AC-1-b,AC-1,Control,b.,"Designate an [Assignment: organization-defined official] to manage the development, documentation, and dissemination of the access control policy and procedures; and",NIST SP 800-53r5
AC-1-c,AC-1,Control,c.,Review and update the current access control:,NIST SP 800-53r5
AC-1-c-1,AC-1-c,ControlItem,1.,Policy [Assignment: organization-defined frequency] and following [Assignment: organization-defined events]; and,NIST SP 800-53r5
AC-1-c-2,AC-1-c,ControlItem,2.,Procedures [Assignment: organization-defined frequency] and following [Assignment: organization-defined events].,NIST SP 800-53r5
AC-2-a,AC-2,Control,a.,Define and document the types of accounts allowed and specifically prohibited for use within the system;,NIST SP 800-53r5
AC-2-b,AC-2,Control,b.,Assign account managers;,NIST SP 800-53r5
AC-2-c,AC-2,Control,c.,Require [Assignment: organization-defined prerequisites and criteria] for group and role membership;,NIST SP 800-53r5
AC-2-d,AC-2,Control,d.,Specify:,NIST SP 800-53r5
AC-2-d-1,AC-2-d,ControlItem,1.,Authorized users of the system;,NIST SP 800-53r5
AC-2-d-2,AC-2-d,ControlItem,2.,Group and role membership; and,NIST SP 800-53r5
AC-2-d-3,AC-2-d,ControlItem,3.,"Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account;",NIST SP 800-53r5
AC-2-e,AC-2,Control,e.,Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts;,NIST SP 800-53r5
AC-2-f,AC-2,Control,f.,"Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria];",NIST SP 800-53r5
AC-2-g,AC-2,Control,g.,Monitor the use of accounts;,NIST SP 800-53r5
AC-2-h,AC-2,Control,h.,Notify account managers and [Assignment: organization-defined personnel or roles] within:,NIST SP 800-53r5
AC-2-h-1,AC-2-h,ControlItem,1.,[Assignment: organization-defined time period] when accounts are no longer required;,NIST SP 800-53r5
AC-2-h-2,AC-2-h,ControlItem,2.,[Assignment: organization-defined time period] when users are terminated or transferred; and,NIST SP 800-53r5
AC-2-h-3,AC-2-h,ControlItem,3.,[Assignment: organization-defined time period] when system usage or need-to-know changes for an individual;,NIST SP 800-53r5
AC-2-i,AC-2,Control,i.,Authorize access to the system based on:,NIST SP 800-53r5
AC-2-i-1,AC-2-i,ControlItem,1.,A valid access authorization;,NIST SP 800-53r5
AC-2-i-2,AC-2-i,ControlItem,2.,Intended system usage; and,NIST SP 800-53r5
AC-2-i-3,AC-2-i,ControlItem,3.,[Assignment: organization-defined attributes (as required)];,NIST SP 800-53r5
AC-2-j,AC-2,Control,j.,Review accounts for compliance with account management requirements [Assignment: organization-defined frequency];,NIST SP 800-53r5
AC-2-k,AC-2,Control,k.,Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and,NIST SP 800-53r5
AC-2-l,AC-2,Control,l.,Align account management processes with personnel termination and transfer processes.,NIST SP 800-53r5
AC-2(3)-a,AC-2(3),ControlEnhancement,(a),Have expired;,NIST SP 800-53r5
AC-2(3)-b,AC-2(3),ControlEnhancement,(b),Are no longer associated with a user or individual;,NIST SP 800-53r5
AC-2(3)-c,AC-2(3),ControlEnhancement,(c),Are in violation of organizational policy; or,NIST SP 800-53r5
AC-2(3)-d,AC-2(3),ControlEnhancement,(d),Have been inactive for [Assignment: organization-defined time period].,NIST SP 800-53r5
AC-2(7)-a,AC-2(7),ControlEnhancement,(a),Establish and administer privileged user accounts in accordance with [Selection: a role-based access scheme; an attribute-based access scheme];,NIST SP 800-53r5
AC-2(7)-b,AC-2(7),ControlEnhancement,(b),Monitor privileged role or attribute assignments;,NIST SP 800-53r5
AC-2(7)-c,AC-2(7),ControlEnhancement,(c),Monitor changes to roles or attributes; and,NIST SP 800-53r5
AC-2(7)-d,AC-2(7),ControlEnhancement,(d),Revoke access when privileged role or attribute assignments are no longer appropriate.,NIST SP 800-53r5
AC-2(12)-a,AC-2(12),ControlEnhancement,(a),Monitor system accounts for [Assignment: organization-defined atypical usage]; and,NIST SP 800-53r5
AC-2(12)-b,AC-2(12),ControlEnhancement,(b),Report atypical usage of system accounts to [Assignment: organization-defined personnel or roles].,NIST SP 800-53r5
AC-3(3)-a,AC-3(3),ControlEnhancement,(a),Is uniformly enforced across the covered subjects and objects within the system;,NIST SP 800-53r5
AC-3(3)-b,AC-3(3),ControlEnhancement,(b),Specifies that a subject that has been granted access to information is constrained from doing any of the following;,NIST SP 800-53r5
AC-3(3)-b-1,AC-3(3)-b,ControlItem,(1),Passing the information to unauthorized subjects or objects;,NIST SP 800-53r5
AC-3(3)-b-2,AC-3(3)-b,ControlItem,(2),Granting its privileges to other subjects;,NIST SP 800-53r5
AC-3(3)-b-3,AC-3(3)-b,ControlItem,(3),"Changing one or more security attributes (specified by the policy) on subjects, objects, the system, or system components;",NIST SP 800-53r5
AC-3(3)-b-4,AC-3(3)-b,ControlItem,(4),Choosing the security attributes and attribute values (specified by the policy) to be associated with newly created or modified objects; and,NIST SP 800-53r5
AC-3(3)-b-5,AC-3(3)-b,ControlItem,(5),Changing the rules governing access control; and,NIST SP 800-53r5
AC-3(3)-c,AC-3(3),ControlEnhancement,(c),Specifies that [Assignment: organization-defined subjects] may explicitly be granted [Assignment: organization-defined privileges] such that they are not limited by any defined subset (or all) of the above constraints.,NIST SP 800-53r5
AC-3(4)-a,AC-3(4),ControlEnhancement,(a),Pass the information to any other subjects or objects;,NIST SP 800-53r5
AC-3(4)-b,AC-3(4),ControlEnhancement,(b),Grant its privileges to other subjects;,NIST SP 800-53r5
AC-3(4)-c,AC-3(4),ControlEnhancement,(c),"Change security attributes on subjects, objects, the system, or the system’s components;",NIST SP 800-53r5
AC-3(4)-d,AC-3(4),ControlEnhancement,(d),Choose the security attributes to be associated with newly created or revised objects; or,NIST SP 800-53r5
AC-3(4)-e,AC-3(4),ControlEnhancement,(e),Change the rules governing access control.,NIST SP 800-53r5
AC-3(9)-a,AC-3(9),ControlEnhancement,(a),The receiving [Assignment: organization-defined system or system component] provides [Assignment: organization-defined controls]; and,NIST SP 800-53r5
AC-3(9)-b,AC-3(9),ControlEnhancement,(b),[Assignment: organization-defined controls] are used to validate the appropriateness of the information designated for release.,NIST SP 800-53r5
AC-3(12)-a,AC-3(12),ControlEnhancement,(a),"Require applications to assert, as part of the installation process, the access needed to the following system applications and functions: [Assignment: organization-defined system applications and functions];",NIST SP 800-53r5
AC-3(12)-b,AC-3(12),ControlEnhancement,(b),Provide an enforcement mechanism to prevent unauthorized access; and,NIST SP 800-53r5
AC-3(12)-c,AC-3(12),ControlEnhancement,(c),Approve access changes after initial installation of the application.,NIST SP 800-53r5
AC-3(15)-a,AC-3(15),ControlEnhancement,(a),Enforce [Assignment: organization-defined mandatory access control policy] over the set of covered subjects and objects specified in the policy; and,NIST SP 800-53r5
AC-3(15)-b,AC-3(15),ControlEnhancement,(b),Enforce [Assignment: organization-defined discretionary access control policy] over the set of covered subjects and objects specified in the policy.,NIST SP 800-53r5
AC-4(8)-a,AC-4(8),ControlEnhancement,(a),Enforce information flow control using [Assignment: organization-defined security or privacy policy filters] as a basis for flow control decisions for [Assignment: organization-defined information flows]; and,NIST SP 800-53r5
AC-4(8)-b,AC-4(8),ControlEnhancement,(b),[Selection (one or more): Block; Strip; Modify; Quarantine] data after a filter processing failure in accordance with [Assignment: organization-defined security or privacy policy].,NIST SP 800-53r5
AC-4(29)-a,AC-4(29),ControlEnhancement,(a),Content filtering mechanisms successfully complete execution without errors; and,NIST SP 800-53r5
AC-4(29)-b,AC-4(29),ControlEnhancement,(b),Content filtering actions occur in the correct order and comply with [Assignment: organization-defined policy].,NIST SP 800-53r5
AC-4(32)-a,AC-4(32),ControlEnhancement,(a),Does not filter message content;,NIST SP 800-53r5
AC-4(32)-b,AC-4(32),ControlEnhancement,(b),Validates filtering metadata;,NIST SP 800-53r5
AC-4(32)-c,AC-4(32),ControlEnhancement,(c),Ensures the content associated with the filtering metadata has successfully completed filtering; and,NIST SP 800-53r5
AC-4(32)-d,AC-4(32),ControlEnhancement,(d),Transfers the content to the destination filter pipeline.,NIST SP 800-53r5
AC-5-a,AC-5,Control,a.,Identify and document [Assignment: organization-defined duties of individuals requiring separation]; and,NIST SP 800-53r5
AC-5-b,AC-5,Control,b.,Define system access authorizations to support separation of duties.,NIST SP 800-53r5
AC-6(1)-a,AC-6(1),ControlEnhancement,(a),"[Assignment: organization-defined security functions (deployed in hardware, software, and firmware)]; and",NIST SP 800-53r5
AC-6(1)-b,AC-6(1),ControlEnhancement,(b),[Assignment: organization-defined security-relevant information].,NIST SP 800-53r5
AC-6(7)-a,AC-6(7),ControlEnhancement,(a),Review [Assignment: organization-defined frequency] the privileges assigned to [Assignment: organization-defined roles or classes of users] to validate the need for such privileges; and,NIST SP 800-53r5
AC-6(7)-b,AC-6(7),ControlEnhancement,(b),"Reassign or remove privileges, if necessary, to correctly reflect organizational mission and business needs.",NIST SP 800-53r5
AC-7-a,AC-7,Control,a.,Enforce a limit of [Assignment: organization-defined number] consecutive invalid logon attempts by a user during a [Assignment: organization-defined time period]; and,NIST SP 800-53r5
AC-7-b,AC-7,Control,b.,Automatically [Selection (one or more): lock the account or node for an [Assignment: organization-defined time period]; lock the account or node until released by an administrator; delay next logon prompt per [Assignment: organization-defined delay algorithm]; notify system administrator; take other [Assignment: organization-defined action]] when the maximum number of unsuccessful attempts is exceeded.,NIST SP 800-53r5
AC-7(4)-a,AC-7(4),ControlEnhancement,(a),Allow the use of [Assignment: organization-defined authentication factors] that are different from the primary authentication factors after the number of organization-defined consecutive invalid logon attempts have been exceeded; and,NIST SP 800-53r5
AC-7(4)-b,AC-7(4),ControlEnhancement,(b),Enforce a limit of [Assignment: organization-defined number] consecutive invalid logon attempts through use of the alternative factors by a user during a [Assignment: organization-defined time period].,NIST SP 800-53r5
AC-8-a,AC-8,Control,a.,"Display [Assignment: organization-defined system use notification message or banner] to users before granting access to the system that provides privacy and security notices consistent with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines and state that:",NIST SP 800-53r5
AC-8-a-1,AC-8-a,ControlItem,1.,Users are accessing a U.S. Government system;,NIST SP 800-53r5
AC-8-a-2,AC-8-a,ControlItem,2.,"System usage may be monitored, recorded, and subject to audit;",NIST SP 800-53r5
AC-8-a-3,AC-8-a,ControlItem,3.,Unauthorized use of the system is prohibited and subject to criminal and civil penalties; and,NIST SP 800-53r5
AC-8-a-4,AC-8-a,ControlItem,4.,Use of the system indicates consent to monitoring and recording;,NIST SP 800-53r5
AC-8-b,AC-8,Control,b.,Retain the notification message or banner on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the system; and,NIST SP 800-53r5
AC-8-c,AC-8,Control,c.,For publicly accessible systems:,NIST SP 800-53r5
AC-8-c-1,AC-8-c,ControlItem,1.,"Display system use information [Assignment: organization-defined conditions], before granting further access to the publicly accessible system;",NIST SP 800-53r5
AC-8-c-2,AC-8-c,ControlItem,2.,"Display references, if any, to monitoring, recording, or auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities; and",NIST SP 800-53r5
AC-8-c-3,AC-8-c,ControlItem,3.,Include a description of the authorized uses of the system.,NIST SP 800-53r5
AC-11-a,AC-11,Control,a.,Prevent further access to the system by [Selection (one or more): initiating a device lock after [Assignment: organization-defined time period] of inactivity; requiring the user to initiate a device lock before leaving the system unattended]; and,NIST SP 800-53r5
AC-11-b,AC-11,Control,b.,Retain the device lock until the user reestablishes access using established identification and authentication procedures.,NIST SP 800-53r5
AC-14-a,AC-14,Control,a.,Identify [Assignment: organization-defined user actions] that can be performed on the system without identification or authentication consistent with organizational mission and business functions; and,NIST SP 800-53r5
AC-14-b,AC-14,Control,b.,"Document and provide supporting rationale in the security plan for the system, user actions not requiring identification or authentication.",NIST SP 800-53r5
AC-16-a,AC-16,Control,a.,"Provide the means to associate [Assignment: organization-defined types of security and privacy attributes] with [Assignment: organization-defined security and privacy attribute values] for information in storage, in process, and/or in transmission;",NIST SP 800-53r5
AC-16-b,AC-16,Control,b.,Ensure that the attribute associations are made and retained with the information;,NIST SP 800-53r5
AC-16-c,AC-16,Control,c.,Establish the following permitted security and privacy attributes from the attributes defined in AC-16a for [Assignment: organization-defined systems]: [Assignment: organization-defined security and privacy attributes];,NIST SP 800-53r5
AC-16-d,AC-16,Control,d.,Determine the following permitted attribute values or ranges for each of the established attributes: [Assignment: organization-defined attribute values or ranges for established attributes];,NIST SP 800-53r5
AC-16-e,AC-16,Control,e.,Audit changes to attributes; and,NIST SP 800-53r5
AC-16-f,AC-16,Control,f.,Review [Assignment: organization-defined security and privacy attributes] for applicability [Assignment: organization-defined frequency].,NIST SP 800-53r5
AC-17-a,AC-17,Control,a.,"Establish and document usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed; and",NIST SP 800-53r5
AC-17-b,AC-17,Control,b.,Authorize each type of remote access to the system prior to allowing such connections.,NIST SP 800-53r5
AC-17(4)-a,AC-17(4),ControlEnhancement,(a),Authorize the execution of privileged commands and access to security-relevant information via remote access only in a format that provides assessable evidence and for the following needs: [Assignment: organization-defined needs]; and,NIST SP 800-53r5
AC-17(4)-b,AC-17(4),ControlEnhancement,(b),Document the rationale for remote access in the security plan for the system.,NIST SP 800-53r5
AC-18-a,AC-18,Control,a.,"Establish configuration requirements, connection requirements, and implementation guidance for each type of wireless access; and",NIST SP 800-53r5
AC-18-b,AC-18,Control,b.,Authorize each type of wireless access to the system prior to allowing such connections.,NIST SP 800-53r5
