source_id,target_id,rel_type
AC,AC-1,HAS_CONTROL
AC-1,AC-1-a,HAS_ITEM
AC-1-a,AC-1-a-ODP1,HAS_ODP
AC-1-a,AC-1-a-1,HAS_ITEM
AC-1-a-1,AC-1-a-1-ODP1,HAS_ODP
AC-1-a-1,AC-1-a-1-a,HAS_ITEM
AC-1-a-1,AC-1-a-1-b,HAS_ITEM
AC-1-a,AC-1-a-2,HAS_ITEM
AC-1,AC-1-b,HAS_ITEM
AC-1-b,AC-1-b-ODP1,HAS_ODP
AC-1,AC-1-c,HAS_ITEM
AC-1-c,AC-1-c-1,HAS_ITEM
AC-1-c-1,AC-1-c-1-ODP1,HAS_ODP
AC-1-c-1,AC-1-c-1-ODP2,HAS_ODP
AC-1-c,AC-1-c-2,HAS_ITEM
AC-1-c-2,AC-1-c-2-ODP1,HAS_ODP
AC-1-c-2,AC-1-c-2-ODP2,HAS_ODP
AC,AC-2,HAS_CONTROL
AC-2,AC-2-a,HAS_ITEM
AC-2,AC-2-b,HAS_ITEM
AC-2,AC-2-c,HAS_ITEM
AC-2-c,AC-2-c-ODP1,HAS_ODP
AC-2,AC-2-d,HAS_ITEM
AC-2-d,AC-2-d-1,HAS_ITEM
AC-2-d,AC-2-d-2,HAS_ITEM
AC-2-d,AC-2-d-3,HAS_ITEM
AC-2-d-3,AC-2-d-3-ODP1,HAS_ODP
AC-2,AC-2-e,HAS_ITEM
AC-2-e,AC-2-e-ODP1,HAS_ODP
AC-2,AC-2-f,HAS_ITEM
AC-2-f,AC-2-f-ODP1,HAS_ODP
AC-2,AC-2-g,HAS_ITEM
AC-2,AC-2-h,HAS_ITEM
AC-2-h,AC-2-h-ODP1,HAS_ODP
AC-2-h,AC-2-h-1,HAS_ITEM
AC-2-h-1,AC-2-h-1-ODP1,HAS_ODP
AC-2-h,AC-2-h-2,HAS_ITEM
AC-2-h-2,AC-2-h-2-ODP1,HAS_ODP
AC-2-h,AC-2-h-3,HAS_ITEM
AC-2-h-3,AC-2-h-3-ODP1,HAS_ODP
AC-2,AC-2-i,HAS_ITEM
AC-2-i,AC-2-i-1,HAS_ITEM
AC-2-i,AC-2-i-2,HAS_ITEM
AC-2-i,AC-2-i-3,HAS_ITEM
AC-2-i-3,AC-2-i-3-ODP1,HAS_ODP
AC-2,AC-2-j,HAS_ITEM
AC-2-j,AC-2-j-ODP1,HAS_ODP
AC-2,AC-2-k,HAS_ITEM
AC-2,AC-2-l,HAS_ITEM
AC-2,AC-2(1),HAS_ENHANCEMENT
AC-2(1),AC-2(1)-ODP1,HAS_ODP
AC-2,AC-2(2),HAS_ENHANCEMENT
AC-2(2),AC-2(2)-ODP1,HAS_ODP
AC-2(2),AC-2(2)-ODP2,HAS_ODP
AC-2,AC-2(3),HAS_ENHANCEMENT
AC-2(3),AC-2(3)-ODP1,HAS_ODP
AC-2(3),AC-2(3)-a,HAS_ITEM
AC-2(3),AC-2(3)-b,HAS_ITEM
AC-2(3),AC-2(3)-c,HAS_ITEM
AC-2(3),AC-2(3)-d,HAS_ITEM
AC-2(3)-d,AC-2(3)-d-ODP1,HAS_ODP
AC-2,AC-2(4),HAS_ENHANCEMENT
AC-2,AC-2(5),HAS_ENHANCEMENT
AC-2(5),AC-2(5)-ODP1,HAS_ODP
AC-2,AC-2(6),HAS_ENHANCEMENT
AC-2(6),AC-2(6)-ODP1,HAS_ODP
AC-2,AC-2(7),HAS_ENHANCEMENT
AC-2(7),AC-2(7)-a,HAS_ITEM
AC-2(7)-a,AC-2(7)-a-ODP1,HAS_ODP
AC-2(7),AC-2(7)-b,HAS_ITEM
AC-2(7),AC-2(7)-c,HAS_ITEM
AC-2(7),AC-2(7)-d,HAS_ITEM
AC-2,AC-2(8),HAS_ENHANCEMENT
AC-2(8),AC-2(8)-ODP1,HAS_ODP
AC-2,AC-2(9),HAS_ENHANCEMENT
AC-2(9),AC-2(9)-ODP1,HAS_ODP
AC-2,AC-2(10),HAS_ENHANCEMENT
AC-2,AC-2(11),HAS_ENHANCEMENT
AC-2(11),AC-2(11)-ODP1,HAS_ODP
AC-2(11),AC-2(11)-ODP2,HAS_ODP
AC-2,AC-2(12),HAS_ENHANCEMENT
AC-2(12),AC-2(12)-a,HAS_ITEM
AC-2(12)-a,AC-2(12)-a-ODP1,HAS_ODP
AC-2(12),AC-2(12)-b,HAS_ITEM
AC-2(12)-b,AC-2(12)-b-ODP1,HAS_ODP
AC-2,AC-2(13),HAS_ENHANCEMENT
AC-2(13),AC-2(13)-ODP1,HAS_ODP
AC-2(13),AC-2(13)-ODP2,HAS_ODP
AC,AC-3,HAS_CONTROL
AC-3,AC-3(1),HAS_ENHANCEMENT
AC-3,AC-3(2),HAS_ENHANCEMENT
AC-3(2),AC-3(2)-ODP1,HAS_ODP
AC-3,AC-3(3),HAS_ENHANCEMENT
AC-3(3),AC-3(3)-ODP1,HAS_ODP
AC-3(3),AC-3(3)-a,HAS_ITEM
AC-3(3),AC-3(3)-b,HAS_ITEM
AC-3(3)-b,AC-3(3)-b-1,HAS_ITEM
AC-3(3)-b,AC-3(3)-b-2,HAS_ITEM
AC-3(3)-b,AC-3(3)-b-3,HAS_ITEM
AC-3(3)-b,AC-3(3)-b-4,HAS_ITEM
AC-3(3)-b,AC-3(3)-b-5,HAS_ITEM
AC-3(3),AC-3(3)-c,HAS_ITEM
AC-3(3)-c,AC-3(3)-c-ODP1,HAS_ODP
AC-3(3)-c,AC-3(3)-c-ODP2,HAS_ODP
AC-3,AC-3(4),HAS_ENHANCEMENT
AC-3(4),AC-3(4)-ODP1,HAS_ODP
AC-3(4),AC-3(4)-a,HAS_ITEM
AC-3(4),AC-3(4)-b,HAS_ITEM
AC-3(4),AC-3(4)-c,HAS_ITEM
AC-3(4),AC-3(4)-d,HAS_ITEM
AC-3(4),AC-3(4)-e,HAS_ITEM
AC-3,AC-3(5),HAS_ENHANCEMENT
AC-3(5),AC-3(5)-ODP1,HAS_ODP
AC-3,AC-3(6),HAS_ENHANCEMENT
AC-3,AC-3(7),HAS_ENHANCEMENT
AC-3(7),AC-3(7)-ODP1,HAS_ODP
AC-3,AC-3(8),HAS_ENHANCEMENT
AC-3(8),AC-3(8)-ODP1,HAS_ODP
AC-3,AC-3(9),HAS_ENHANCEMENT
AC-3(9),AC-3(9)-a,HAS_ITEM
AC-3(9)-a,AC-3(9)-a-ODP1,HAS_ODP
AC-3(9)-a,AC-3(9)-a-ODP2,HAS_ODP
AC-3(9),AC-3(9)-b,HAS_ITEM
AC-3(9)-b,AC-3(9)-b-ODP1,HAS_ODP
AC-3,AC-3(10),HAS_ENHANCEMENT
AC-3(10),AC-3(10)-ODP1,HAS_ODP
AC-3(10),AC-3(10)-ODP2,HAS_ODP
AC-3,AC-3(11),HAS_ENHANCEMENT
AC-3(11),AC-3(11)-ODP1,HAS_ODP
AC-3,AC-3(12),HAS_ENHANCEMENT
AC-3(12),AC-3(12)-a,HAS_ITEM
AC-3(12)-a,AC-3(12)-a-ODP1,HAS_ODP
AC-3(12),AC-3(12)-b,HAS_ITEM
AC-3(12),AC-3(12)-c,HAS_ITEM
AC-3,AC-3(13),HAS_ENHANCEMENT
AC-3(13),AC-3(13)-ODP1,HAS_ODP
AC-3,AC-3(14),HAS_ENHANCEMENT
AC-3(14),AC-3(14)-ODP1,HAS_ODP
AC-3(14),AC-3(14)-ODP2,HAS_ODP
AC-3,AC-3(15),HAS_ENHANCEMENT
AC-3(15),AC-3(15)-a,HAS_ITEM
AC-3(15)-a,AC-3(15)-a-ODP1,HAS_ODP
AC-3(15),AC-3(15)-b,HAS_ITEM
AC-3(15)-b,AC-3(15)-b-ODP1,HAS_ODP
AC,AC-4,HAS_CONTROL
AC-4,AC-4-ODP1,HAS_ODP
AC-4,AC-4(1),HAS_ENHANCEMENT
AC-4(1),AC-4(1)-ODP1,HAS_ODP
AC-4(1),AC-4(1)-ODP2,HAS_ODP
AC-4(1),AC-4(1)-ODP3,HAS_ODP
AC-4,AC-4(2),HAS_ENHANCEMENT
AC-4(2),AC-4(2)-ODP1,HAS_ODP
AC-4,AC-4(3),HAS_ENHANCEMENT
AC-4(3),AC-4(3)-ODP1,HAS_ODP
AC-4,AC-4(4),HAS_ENHANCEMENT
AC-4(4),AC-4(4)-ODP1,HAS_ODP
AC-4(4),AC-4(4)-ODP2,HAS_ODP
AC-4,AC-4(5),HAS_ENHANCEMENT
AC-4(5),AC-4(5)-ODP1,HAS_ODP
AC-4,AC-4(6),HAS_ENHANCEMENT
AC-4(6),AC-4(6)-ODP1,HAS_ODP
AC-4,AC-4(7),HAS_ENHANCEMENT
AC-4,AC-4(8),HAS_ENHANCEMENT
AC-4(8),AC-4(8)-a,HAS_ITEM
AC-4(8)-a,AC-4(8)-a-ODP1,HAS_ODP
AC-4(8)-a,AC-4(8)-a-ODP2,HAS_ODP
AC-4(8),AC-4(8)-b,HAS_ITEM
AC-4(8)-b,AC-4(8)-b-ODP1,HAS_ODP
AC-4(8)-b,AC-4(8)-b-ODP2,HAS_ODP
AC-4,AC-4(9),HAS_ENHANCEMENT
AC-4(9),AC-4(9)-ODP1,HAS_ODP
AC-4(9),AC-4(9)-ODP2,HAS_ODP
AC-4,AC-4(10),HAS_ENHANCEMENT
AC-4(10),AC-4(10)-ODP1,HAS_ODP
AC-4(10),AC-4(10)-ODP2,HAS_ODP
AC-4,AC-4(11),HAS_ENHANCEMENT
AC-4(11),AC-4(11)-ODP1,HAS_ODP
AC-4,AC-4(12),HAS_ENHANCEMENT
AC-4(12),AC-4(12)-ODP1,HAS_ODP
AC-4,AC-4(13),HAS_ENHANCEMENT
AC-4(13),AC-4(13)-ODP1,HAS_ODP
AC-4,AC-4(14),HAS_ENHANCEMENT
AC-4(14),AC-4(14)-ODP1,HAS_ODP
AC-4,AC-4(15),HAS_ENHANCEMENT
AC-4(15),AC-4(15)-ODP1,HAS_ODP
AC-4(15),AC-4(15)-ODP2,HAS_ODP
AC-4,AC-4(16),HAS_ENHANCEMENT
AC-4,AC-4(17),HAS_ENHANCEMENT
AC-4(17),AC-4(17)-ODP1,HAS_ODP
AC-4,AC-4(18),HAS_ENHANCEMENT
AC-4,AC-4(19),HAS_ENHANCEMENT
AC-4(19),AC-4(19)-ODP1,HAS_ODP
AC-4,AC-4(20),HAS_ENHANCEMENT
AC-4(20),AC-4(20)-ODP1,HAS_ODP
AC-4(20),AC-4(20)-ODP2,HAS_ODP
AC-4,AC-4(21),HAS_ENHANCEMENT
AC-4(21),AC-4(21)-ODP1,HAS_ODP
AC-4(21),AC-4(21)-ODP2,HAS_ODP
AC-4,AC-4(22),HAS_ENHANCEMENT
AC-4,AC-4(23),HAS_ENHANCEMENT
AC-4(23),AC-4(23)-ODP1,HAS_ODP
AC-4,AC-4(24),HAS_ENHANCEMENT
AC-4,AC-4(25),HAS_ENHANCEMENT
AC-4(25),AC-4(25)-ODP1,HAS_ODP
AC-4(25),AC-4(25)-ODP2,HAS_ODP
AC-4,AC-4(26),HAS_ENHANCEMENT
AC-4,AC-4(27),HAS_ENHANCEMENT
AC-4,AC-4(28),HAS_ENHANCEMENT
AC-4,AC-4(29),HAS_ENHANCEMENT
AC-4(29),AC-4(29)-a,HAS_ITEM
AC-4(29),AC-4(29)-b,HAS_ITEM
AC-4(29)-b,AC-4(29)-b-ODP1,HAS_ODP
AC-4,AC-4(30),HAS_ENHANCEMENT
AC-4,AC-4(31),HAS_ENHANCEMENT
AC-4,AC-4(32),HAS_ENHANCEMENT
AC-4(32),AC-4(32)-a,HAS_ITEM
AC-4(32),AC-4(32)-b,HAS_ITEM
AC-4(32),AC-4(32)-c,HAS_ITEM
AC-4(32),AC-4(32)-d,HAS_ITEM
AC,AC-5,HAS_CONTROL
AC-5,AC-5-a,HAS_ITEM
AC-5-a,AC-5-a-ODP1,HAS_ODP
AC-5,AC-5-b,HAS_ITEM
AC,AC-6,HAS_CONTROL
AC-6,AC-6(1),HAS_ENHANCEMENT
AC-6(1),AC-6(1)-ODP1,HAS_ODP
AC-6(1),AC-6(1)-a,HAS_ITEM
AC-6(1)-a,AC-6(1)-a-ODP1,HAS_ODP
AC-6(1),AC-6(1)-b,HAS_ITEM
AC-6(1)-b,AC-6(1)-b-ODP1,HAS_ODP
AC-6,AC-6(2),HAS_ENHANCEMENT
AC-6(2),AC-6(2)-ODP1,HAS_ODP
AC-6,AC-6(3),HAS_ENHANCEMENT
AC-6(3),AC-6(3)-ODP1,HAS_ODP
AC-6(3),AC-6(3)-ODP2,HAS_ODP
AC-6,AC-6(4),HAS_ENHANCEMENT
AC-6,AC-6(5),HAS_ENHANCEMENT
AC-6(5),AC-6(5)-ODP1,HAS_ODP
AC-6,AC-6(6),HAS_ENHANCEMENT
AC-6,AC-6(7),HAS_ENHANCEMENT
AC-6(7),AC-6(7)-a,HAS_ITEM
AC-6(7)-a,AC-6(7)-a-ODP1,HAS_ODP
AC-6(7)-a,AC-6(7)-a-ODP2,HAS_ODP
AC-6(7),AC-6(7)-b,HAS_ITEM
AC-6,AC-6(8),HAS_ENHANCEMENT
AC-6(8),AC-6(8)-ODP1,HAS_ODP
AC-6,AC-6(9),HAS_ENHANCEMENT
AC-6,AC-6(10),HAS_ENHANCEMENT
AC,AC-7,HAS_CONTROL
AC-7,AC-7-a,HAS_ITEM
AC-7-a,AC-7-a-ODP1,HAS_ODP
AC-7-a,AC-7-a-ODP2,HAS_ODP
AC-7,AC-7-b,HAS_ITEM
AC-7-b,AC-7-b-ODP1,HAS_ODP
AC-7-b,AC-7-b-ODP2,HAS_ODP
AC-7-b,AC-7-b-ODP3,HAS_ODP
AC-7,AC-7(1),HAS_ENHANCEMENT
AC-7,AC-7(2),HAS_ENHANCEMENT
AC-7(2),AC-7(2)-ODP1,HAS_ODP
