articleitem_id,item_label,parent_id,parent_type,article_number,reference,text,source_document
A1-4-a,a,A1-4,SubArticle,1,Article 1(4)(a),A data subject who is within the territory of Nigeria – regardless of nationality and migration status;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A1-4-b,b,A1-4,SubArticle,1,Article 1(4)(b),A data subject whose personal data has been transferred to Nigeria;,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A1-4-c,c,A1-4,SubArticle,1,Article 1(4)(c),"A data subject whose personal data is in transit through Nigeria – without more – provided that the obligation of the data controller or data processor responsible for the transmission through Nigeria to another jurisdiction shall be limited to data confidentiality, integrity and availability;","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A1-4-d,d,A1-4,SubArticle,1,Article 1(4)(d),"A Nigerian citizen who is not within Nigeria – taking into account the universal right to privacy under the United Nations Universal Declaration of Human Rights, 1948, as well as the International Covenant on Civil and Political Rights, 1976, provided that:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A2-a,a,A2,Article,2,Article 2(a),"Every person, body or authority owes a duty of care to data subjects, to carefully examine the material context of personal data processing with a view to ascertaining whether the processing required in the said context is consistent with the constitutional right to privacy and the objectives set forth in section 1 of the NDP Act.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A2-b,b,A2,Article,2,Article 2(b),"The material context referred to in Sub-Article 2(a) which is essentially under the Exclusive Legislative List, 2nd Schedule to the 1999 Constitution may include any of the following items:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A2-c,c,A2,Article,2,Article 2(c),"The implication of the itemisation in Sub-Article 2(b) above is that personal data is fundamental to the performance of transnational and inherent functions of the Federal Government of Nigeria as well as to trade and commerce – by persons or entities – which transcend subnational levels; the Act, therefore, applies as a common statutory authority for the protection of privacy of data subjects in the Federal Republic of Nigeria; and","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A2-d,d,A2,Article,2,Article 2(d),"Data controllers and data processors shall take into consideration the material character of data – particularly its value, volume, variety, velocity and veracity – as it flows within and beyond the Nigerian territory and put in place appropriate technical and organisational measures to mitigate associated risks.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A5-2-a,a,A5-2,SubArticle,5,Article 5(2)(a),S. 24 – Principles of personal data processing,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A5-2-b,b,A5-2,SubArticle,5,Article 5(2)(b),S. 25 – Lawful basis of personal data processing,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
