definition_id,term,definition,defined_in,instrument,source_document
DEF-01,automated decision-making,"means a decision based solely on automated processing by automated means, without any human involvement",section 65,Nigeria Data Protection Act 2023,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DEF-02,applicable law,means any law enacted by the National Assembly or House of Assembly of any State in Nigeria,section 65,Nigeria Data Protection Act 2023,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DEF-03,binding corporate rules,means personal data protection policies and procedures adhered to by the members of a group of firms under common control with respect to the transfer of personal data among such members and containing provisions for the protection of such personal data,section 65,Nigeria Data Protection Act 2023,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DEF-04,biometric data,"means personal data resulting from specific technical processing relating to the physical, physiological, or behavioural characteristics of an individual, which allow or confirm the unique identification of that individual, including without limitation by physical measurements, facial images, blood typing, fingerprinting, retinal scanning, voice recognition and deoxyribonucleic acid (DNA) analysis",section 65,Nigeria Data Protection Act 2023,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DEF-05,certification mechanism,means certification by an official or professional third-party entity that evaluates the personal data protection policies and procedures of data controllers and data processors according to best practices,section 65,Nigeria Data Protection Act 2023,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DEF-06,child,"has the meaning ascribed in the Child's Right Act, No. 26, 2003",section 65,Nigeria Data Protection Act 2023,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DEF-07,Commission,means the Nigeria Data Protection Commission established under this Act,section 65,Nigeria Data Protection Act 2023,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DEF-08,consent,"means any freely given, specific, informed, and unambiguous indication, whether by a written or oral statement or an affirmative action, of an individual's agreement to the processing of personal data relating to him or to another individual on whose behalf he has the permission to provide such consent",section 65,Nigeria Data Protection Act 2023,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DEF-09,Council,means the Governing Council of the Commission established under this Act,section 65,Nigeria Data Protection Act 2023,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DEF-10,competent authority,"includes — (a) the Government of the Federal Republic of Nigeria or any foreign government; or (b) any state government, statutory authority, government authority, institution, agency, department, board, commission, or organisation within or outside Nigeria, exercising executive, legislative, judicial, investigative, regulatory, or administrative functions",section 65,Nigeria Data Protection Act 2023,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DEF-11,court,means any court of competent jurisdiction,section 65,Nigeria Data Protection Act 2023,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DEF-12,data controller,"means an individual, private entity, public Commission, agency or any other body who, alone or jointly with others, determines the purposes and means of processing of personal data",section 65,Nigeria Data Protection Act 2023,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DEF-13,data controller or data processor of major importance,"means a data controller or data processor that is domiciled, resident in, or operating in Nigeria and processes or intends to process personal data of more than such number of data subjects who are within Nigeria, as the Commission may prescribe, or such other class of data controller or data processor that is processing personal data of particular value or significance to the economy, society or security of Nigeria as the Commission may designate",section 65,Nigeria Data Protection Act 2023,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DEF-14,data processor,"means an individual, private entity, public authority, or any other body, who processes personal data on behalf of or at the direction of a data controller or another data processor",section 65,Nigeria Data Protection Act 2023,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DEF-15,data subject,means an individual to whom personal data relates,section 65,Nigeria Data Protection Act 2023,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DEF-16,Minister,means the Minister responsible for matters relating to communications and digital economy,section 65,Nigeria Data Protection Act 2023,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DEF-17,National Commissioner,means the National Commissioner of the Nigeria Data Protection Commission,section 65,Nigeria Data Protection Act 2023,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
