subarticle_id,subarticle_number,article_id,article_number,reference,text,source_document
A1-1,1,A1,1,Article 1(1),"In all processes and transactions relating to the personal data of data subjects in Nigeria, it is a constitutional obligation to carefully consider the material scope and the territorial scope of the NDP Act vis-à-vis its objectives before a decision affecting the fundamental right to privacy is taken one way or the other.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A1-2,2,A1,1,Article 1(2),Section 2(c) of the NDP Act applies to a data controller or data processor not domiciled in Nigeria but processes the personal data of a data subject in Nigeria or targets the personal data of data subjects in Nigeria. A data controller or data processor shall be cognisant of how domiciliation applies in Section 2 of the NDP Act. Sub-Articles 3 and 4 of this Article shall be relied upon for guidance when the right of a data subject and question of domiciliation of the data controller or data processor arises.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A1-3,3,A1,1,Article 1(3),"In line with the principle of universality of civil liberties, a natural person is entitled to the protection of his or her fundamental rights anywhere in the world. Accordingly, the categories of data subjects listed in Sub-Article 4 shall be entitled to the enjoyment of data subject rights under the NDP Act - subject only to the derogations permitted under the 1999 Constitution and any preemptory norm or international treaty applicable to Nigeria under International Law.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A1-4,4,A1,1,Article 1(4),The categories of data subjects to whom Sub-Article 3 relates to are:,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A3-1,1,A3,3,Article 3(1),"In order to guarantee certainty, harmony and efficacy on the regulation of: a) Informational self-determination (fundamental right to privacy); b) Data sovereignty (the inherent right of an independent country to govern data processing pertaining to persons in her territory); c) National and transborder data flows; and d) Treaty obligations (particularly in the material context highlighted in Article 2(b) of this NDP Act – GAID), it is imperative to uphold the provision of section 63 of the NDP Act in all proceedings and transactions pertaining to the processing of personal data. For ease of reference Section 63 of the NDP Act provides: ""Where the provisions of any other law or enactment, in so far as they provide or relate directly or indirectly to the processing of personal data, are inconsistent with any of the provisions of this Act, the provisions of this Act shall prevail.""","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A3-2,2,A3,3,Article 3(2),"In the event of a conflict between the NDP Act and this NDP Act-GAID, the NDP Act shall prevail.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A4-1,1,A4,4,Article 4(1),Section 5(h) of the NDP Act mandates the Commission to collaborate with public authorities among others in order to achieve the objectives set forth in the NDP Act.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A4-2,2,A4,4,Article 4(2),"Without prejudice to the provisions of Section 63 of the NDP Act, the Commission shall cooperate with relevant public authorities in the development of sub-national or sectoral guidelines on data protection.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A4-3,3,A4,4,Article 4(3),"The Commission shall conduct periodic reviews of sub-national or sectoral guidelines to determine whether such guidelines or instruments comply with the NDP Act, taking into account the provisions of Articles 1 & 2, of this NDP Act-GAID.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A4-4,4,A4,4,Article 4(4),"Where the Commission determines that a guideline by a public authority relating to the processing of personal data negates the objectives of the NDP Act, it shall communicate its decisions to the public authority and it may in addition, request joint reviews with a view to developing a harmonious sub-national or sectoral guideline.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A4-5,5,A4,4,Article 4(5),"The Commission shall take proactive steps in collaborating with public authorities and relevant institutions for the purposes of setting up Data Privacy Service Units and Centres of Excellence at sub-national, sectoral and organisational levels.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A5-1,1,A5,5,Article 5(1),"A data controller, a data processor or an individual who relies on or intends to rely on any exemption pursuant to Section 3 of the NDP Act, shall abide by other provisions which are not exempted by the NDP Act.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A5-2,2,A5,5,Article 5(2),"A data processing activity which falls within the exemptions under Section 3 of the NDP Act is at the minimum, bound by the following sections:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A5-3,3,A5,5,Article 5(3),"Exemptions under the NDP Act apply to the obligations under Chapter V of the NDP Act apart from the sections mentioned in Sub-Article 2 of this Article. Thus, the Commission shall hold a data controller or data processor accountable for the infraction of any other provision of the NDP Act not covered by the exemption.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A5-4,4,A5,5,Article 5(4),"In exercise of its power under the NDP Act, and in carrying out an assessment of data processing activities exempted under Section 3 of the NDP Act, the Commission shall take into consideration:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A6-1,1,A6,6,Article 6(1),"In line with the provision of Section 3(1) of the NDP Act, an individual who processes data solely for personal or household purposes shall respect the privacy of a data subject and shall be held accountable for the conduct which puts the privacy of a data subject at risk.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A6-2,2,A6,6,Article 6(2),The conduct referred to in Sub-Article 1 of this Article which may put another person at risk includes the following:,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
