source_id,target_id,rel_type
S65,DEF-01,DEFINES
S65,DEF-02,DEFINES
S65,DEF-03,DEFINES
S65,DEF-04,DEFINES
S65,DEF-05,DEFINES
S65,DEF-06,DEFINES
S65,DEF-07,DEFINES
S65,DEF-08,DEFINES
S65,DEF-09,DEFINES
S65,DEF-10,DEFINES
S65,DEF-11,DEFINES
S65,DEF-12,DEFINES
S65,DEF-13,DEFINES
S65,DEF-14,DEFINES
S65,DEF-15,DEFINES
S65,DEF-16,DEFINES
S65,DEF-17,DEFINES
S65,DEF-18,DEFINES
S65,DEF-19,DEFINES
S65,DEF-20,DEFINES
S65,DEF-21,DEFINES
S65,DEF-22,DEFINES
S65,DEF-23,DEFINES
S65,DEF-24,DEFINES
