source_id,target_id,rel_type
P1,S1,HAS_SECTION
P1,S2,HAS_SECTION
P1,S3,HAS_SECTION
P2,S4,HAS_SECTION
P2,S5,HAS_SECTION
P2,S6,HAS_SECTION
P2,S7,HAS_SECTION
P2,S8,HAS_SECTION
P2,S9,HAS_SECTION
P2,S10,HAS_SECTION
P2,S11,HAS_SECTION
P2,S12,HAS_SECTION
P2,S13,HAS_SECTION
P3,S14,HAS_SECTION
P3,S15,HAS_SECTION
P3,S16,HAS_SECTION
P3,S17,HAS_SECTION
P3,S18,HAS_SECTION
P4,S19,HAS_SECTION
P4,S20,HAS_SECTION
P4,S21,HAS_SECTION
P4,S22,HAS_SECTION
P4,S23,HAS_SECTION
P5,S24,HAS_SECTION
P5,S25,HAS_SECTION
P5,S26,HAS_SECTION
P5,S27,HAS_SECTION
P5,S28,HAS_SECTION
P5,S29,HAS_SECTION
P5,S30,HAS_SECTION
P5,S31,HAS_SECTION
P5,S32,HAS_SECTION
P5,S33,HAS_SECTION
P6,S34,HAS_SECTION
P6,S35,HAS_SECTION
P6,S36,HAS_SECTION
P6,S37,HAS_SECTION
P6,S38,HAS_SECTION
P7,S39,HAS_SECTION
P7,S40,HAS_SECTION
P8,S41,HAS_SECTION
P8,S42,HAS_SECTION
P8,S43,HAS_SECTION
P9,S44,HAS_SECTION
P9,S45,HAS_SECTION
P10,S46,HAS_SECTION
P10,S47,HAS_SECTION
P10,S48,HAS_SECTION
P10,S49,HAS_SECTION
P10,S50,HAS_SECTION
P10,S51,HAS_SECTION
P10,S52,HAS_SECTION
P10,S53,HAS_SECTION
P11,S54,HAS_SECTION
P11,S55,HAS_SECTION
P11,S56,HAS_SECTION
P11,S57,HAS_SECTION
P11,S58,HAS_SECTION
P11,S59,HAS_SECTION
P12,S60,HAS_SECTION
P12,S61,HAS_SECTION
P12,S62,HAS_SECTION
P12,S63,HAS_SECTION
P12,S64,HAS_SECTION
P12,S65,HAS_SECTION
P12,S66,HAS_SECTION
