source_id,target_id,rel_type
S1,S1-1,HAS_SUBSECTION
S2,S2-1,HAS_SUBSECTION
S2,S2-2,HAS_SUBSECTION
S3,S3-1,HAS_SUBSECTION
S3,S3-2,HAS_SUBSECTION
S3,S3-3,HAS_SUBSECTION
S3,S3-4,HAS_SUBSECTION
S4,S4-1,HAS_SUBSECTION
S4,S4-2,HAS_SUBSECTION
S4,S4-3,HAS_SUBSECTION
S4,S4-4,HAS_SUBSECTION
S8,S8-1,HAS_SUBSECTION
S8,S8-2,HAS_SUBSECTION
S8,S8-3,HAS_SUBSECTION
S9,S9-1,HAS_SUBSECTION
S9,S9-2,HAS_SUBSECTION
S10,S10-1,HAS_SUBSECTION
S10,S10-2,HAS_SUBSECTION
S11,S11-1,HAS_SUBSECTION
S11,S11-2,HAS_SUBSECTION
S11,S11-3,HAS_SUBSECTION
S12,S12-1,HAS_SUBSECTION
S12,S12-2,HAS_SUBSECTION
S13,S13-1,HAS_SUBSECTION
S13,S13-2,HAS_SUBSECTION
S14,S14-1,HAS_SUBSECTION
S14,S14-2,HAS_SUBSECTION
S14,S14-3,HAS_SUBSECTION
S14,S14-4,HAS_SUBSECTION
S17,S17-1,HAS_SUBSECTION
S17,S17-2,HAS_SUBSECTION
S18,S18-1,HAS_SUBSECTION
S18,S18-2,HAS_SUBSECTION
S18,S18-3,HAS_SUBSECTION
S19,S19-1,HAS_SUBSECTION
S19,S19-2,HAS_SUBSECTION
S19,S19-3,HAS_SUBSECTION
S19,S19-4,HAS_SUBSECTION
S20,S20-1,HAS_SUBSECTION
S20,S20-2,HAS_SUBSECTION
S21,S21-1,HAS_SUBSECTION
S21,S21-2,HAS_SUBSECTION
S22,S22-1,HAS_SUBSECTION
S22,S22-2,HAS_SUBSECTION
S22,S22-3,HAS_SUBSECTION
S22,S22-4,HAS_SUBSECTION
S23,S23-1,HAS_SUBSECTION
S23,S23-2,HAS_SUBSECTION
S24,S24-1,HAS_SUBSECTION
S24,S24-2,HAS_SUBSECTION
S24,S24-3,HAS_SUBSECTION
S24,S24-4,HAS_SUBSECTION
S25,S25-1,HAS_SUBSECTION
S25,S25-2,HAS_SUBSECTION
S26,S26-1,HAS_SUBSECTION
S26,S26-2,HAS_SUBSECTION
S26,S26-3,HAS_SUBSECTION
S26,S26-4,HAS_SUBSECTION
S26,S26-5,HAS_SUBSECTION
S26,S26-6,HAS_SUBSECTION
S26,S26-7,HAS_SUBSECTION
S27,S27-1,HAS_SUBSECTION
S27,S27-2,HAS_SUBSECTION
S27,S27-3,HAS_SUBSECTION
S28,S28-1,HAS_SUBSECTION
S28,S28-2,HAS_SUBSECTION
S28,S28-3,HAS_SUBSECTION
S28,S28-4,HAS_SUBSECTION
S29,S29-1,HAS_SUBSECTION
S29,S29-2,HAS_SUBSECTION
S30,S30-1,HAS_SUBSECTION
S30,S30-2,HAS_SUBSECTION
S30,S30-3,HAS_SUBSECTION
S31,S31-1,HAS_SUBSECTION
S31,S31-2,HAS_SUBSECTION
S31,S31-3,HAS_SUBSECTION
S31,S31-4,HAS_SUBSECTION
S31,S31-5,HAS_SUBSECTION
S31,S31-6,HAS_SUBSECTION
S32,S32-1,HAS_SUBSECTION
S32,S32-2,HAS_SUBSECTION
S32,S32-3,HAS_SUBSECTION
S34,S34-1,HAS_SUBSECTION
S34,S34-2,HAS_SUBSECTION
S35,S35-1,HAS_SUBSECTION
S35,S35-2,HAS_SUBSECTION
S36,S36-1,HAS_SUBSECTION
S36,S36-2,HAS_SUBSECTION
S36,S36-3,HAS_SUBSECTION
S36,S36-4,HAS_SUBSECTION
S37,S37-1,HAS_SUBSECTION
S37,S37-2,HAS_SUBSECTION
S37,S37-3,HAS_SUBSECTION
S38,S38-1,HAS_SUBSECTION
S38,S38-2,HAS_SUBSECTION
S38,S38-3,HAS_SUBSECTION
S39,S39-1,HAS_SUBSECTION
S39,S39-2,HAS_SUBSECTION
S40,S40-1,HAS_SUBSECTION
S40,S40-2,HAS_SUBSECTION
S40,S40-3,HAS_SUBSECTION
S40,S40-4,HAS_SUBSECTION
S40,S40-5,HAS_SUBSECTION
S40,S40-6,HAS_SUBSECTION
S40,S40-7,HAS_SUBSECTION
S40,S40-8,HAS_SUBSECTION
S40,S40-9,HAS_SUBSECTION
S41,S41-1,HAS_SUBSECTION
S41,S41-2,HAS_SUBSECTION
S41,S41-3,HAS_SUBSECTION
S41,S41-4,HAS_SUBSECTION
S42,S42-1,HAS_SUBSECTION
S42,S42-2,HAS_SUBSECTION
S42,S42-3,HAS_SUBSECTION
S42,S42-4,HAS_SUBSECTION
S42,S42-5,HAS_SUBSECTION
S42,S42-6,HAS_SUBSECTION
S42,S42-7,HAS_SUBSECTION
S43,S43-1,HAS_SUBSECTION
S43,S43-2,HAS_SUBSECTION
S44,S44-1,HAS_SUBSECTION
S44,S44-2,HAS_SUBSECTION
S44,S44-3,HAS_SUBSECTION
S44,S44-4,HAS_SUBSECTION
S44,S44-5,HAS_SUBSECTION
S44,S44-6,HAS_SUBSECTION
S46,S46-1,HAS_SUBSECTION
S46,S46-2,HAS_SUBSECTION
S46,S46-3,HAS_SUBSECTION
S46,S46-4,HAS_SUBSECTION
S46,S46-5,HAS_SUBSECTION
S46,S46-6,HAS_SUBSECTION
S46,S46-7,HAS_SUBSECTION
S46,S46-8,HAS_SUBSECTION
S47,S47-1,HAS_SUBSECTION
S47,S47-2,HAS_SUBSECTION
S47,S47-3,HAS_SUBSECTION
S48,S48-1,HAS_SUBSECTION
S48,S48-2,HAS_SUBSECTION
S48,S48-3,HAS_SUBSECTION
S48,S48-4,HAS_SUBSECTION
S48,S48-5,HAS_SUBSECTION
S48,S48-6,HAS_SUBSECTION
S49,S49-1,HAS_SUBSECTION
S53,S53-1,HAS_SUBSECTION
S53,S53-2,HAS_SUBSECTION
