clause_id,label,level,citation,text,section_id,parent_id,parent_type,source_document
SEC-3-a,a.,1,Section 3(a),"“Act” refers to Republic Act No. 10173, also known as the Data Privacy Act of 2012;",SEC-3,SEC-3,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-3-b,b.,1,Section 3(b),“Commission” refers to the National Privacy Commission;,SEC-3,SEC-3,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-3-c,c.,1,Section 3(c),"“Consent of the data subject” refers to any freely given, specific, informed indication of will, whereby the data subject agrees to the collection and processing of his or her personal, sensitive personal, or privileged information. Consent shall be evidenced by written, electronic or recorded means. It may also be given on behalf of a data subject by a lawful representative or an agent specifically authorized by the data subject to do so;",SEC-3,SEC-3,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-3-d,d.,1,Section 3(d),"“Data subject” refers to an individual whose personal, sensitive personal, or privileged information is processed;",SEC-3,SEC-3,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-3-e,e.,1,Section 3(e),"“Data processing systems” refers to the structure and procedure by which personal data is collected and further processed in an information and communications system or relevant filing system, including the purpose and intended output of the processing;",SEC-3,SEC-3,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-3-f,f.,1,Section 3(f),"“Data sharing” is the disclosure or transfer to a third party of personal data under the custody of a personal information controller or personal information processor. In the case of the latter, such disclosure or transfer must have been upon the instructions of the personal information controller concerned. The term excludes outsourcing, or the disclosure or transfer of personal data by a personal information controller to a personal information processor;",SEC-3,SEC-3,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-3-g,g.,1,Section 3(g),“Direct marketing” refers to communication by whatever means of any advertising or marketing material which is directed to particular individuals;,SEC-3,SEC-3,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-3-h,h.,1,Section 3(h),"“Filing system” refers to any set of information relating to natural or juridical persons to the extent that, although the information is not processed by equipment operating automatically in response to instructions given for that purpose, the set is structured, either by reference to individuals or by reference to criteria relating to individuals, in such a way that specific information relating to a particular individual is readily accessible;",SEC-3,SEC-3,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-3-i,i.,1,Section 3(i),"“Information and communications system” refers to a system for generating, sending, receiving, storing, or otherwise processing electronic data messages or electronic documents, and includes the computer system or other similar device by which data is recorded, transmitted, or stored, and any procedure related to the recording, transmission, or storage of electronic data, electronic message, or electronic document;",SEC-3,SEC-3,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-3-j,j.,1,Section 3(j),“Personal data” refers to all types of personal information;,SEC-3,SEC-3,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-3-k,k.,1,Section 3(k),"“Personal data breach” refers to a breach of security leading to the accidental or unlawful destruction, loss, alteration, unauthorized disclosure of, or access to, personal data transmitted, stored, or otherwise processed;",SEC-3,SEC-3,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-3-l,l.,1,Section 3(l),"“Personal information” refers to any information, whether recorded in a material form or not, from which the identity of an individual is apparent or can be reasonably and directly ascertained by the entity holding the information, or when put together with other information would directly and certainly identify an individual;",SEC-3,SEC-3,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-3-m,m.,1,Section 3(m),"“Personal information controller” refers to a natural or juridical person, or any other body who controls the processing of personal data, or instructs another to process personal data on its behalf. The term excludes:",SEC-3,SEC-3,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-3-m-1,1.,2,Section 3(m)(1),"A natural or juridical person, or any other body, who performs such functions as instructed by another person or organization; or",SEC-3,SEC-3-m,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-3-m-2,2.,2,Section 3(m)(2),"A natural person who processes personal data in connection with his or her personal, family, or household affairs; There is control if the natural or juridical person or any other body decides on what information is collected, or the purpose or extent of its processing;",SEC-3,SEC-3-m,Clause,KB 2/Philippines/IRR-of-the-DPA.pdf
SEC-3-n,n.,1,Section 3(n),“Personal information processor” refers to any natural or juridical person or any other body to whom a personal information controller may outsource or instruct the processing of personal data pertaining to a data subject;,SEC-3,SEC-3,Section,KB 2/Philippines/IRR-of-the-DPA.pdf
