externalreference_id,name,note,source_document
EXT-RA10173,Republic Act No. 10173 (Data Privacy Act of 2012),Statute implemented by these Rules. NOT PRESENT in this knowledge base.,KB 2/Philippines/IRR-of-the-DPA.pdf
EXT-RA53,Republic Act No. 53,Not present in this knowledge base.,KB 2/Philippines/IRR-of-the-DPA.pdf
EXT-RA1405,Republic Act No. 1405 (Secrecy of Bank Deposits Act),Not present in this knowledge base.,KB 2/Philippines/IRR-of-the-DPA.pdf
EXT-RA6426,Republic Act No. 6426 (Foreign Currency Deposit Act),Not present in this knowledge base.,KB 2/Philippines/IRR-of-the-DPA.pdf
EXT-RA9510,Republic Act No. 9510 (Credit Information System Act),Not present in this knowledge base.,KB 2/Philippines/IRR-of-the-DPA.pdf
EXT-RA9160,"Republic Act No. 9160, as amended (Anti-Money Laundering Act)",Not present in this knowledge base.,KB 2/Philippines/IRR-of-the-DPA.pdf
EXT-RA9372,Republic Act No. 9372 (Human Security Act of 2007),Not present in this knowledge base.,KB 2/Philippines/IRR-of-the-DPA.pdf
EXT-RA8349,"Republic Act No. 8349 (Magna Carta for scientists, engineers, researchers and other science and technology personnel)",Not present in this knowledge base.,KB 2/Philippines/IRR-of-the-DPA.pdf
EXT-EO292,"Executive Order No. 292, series of 1987 (Administrative Code of 1987)",Not present in this knowledge base.,KB 2/Philippines/IRR-of-the-DPA.pdf
EXT-CIVILCODE,New Civil Code,Not present in this knowledge base.,KB 2/Philippines/IRR-of-the-DPA.pdf
EXT-RULESCOURT,Rules of Court,Not present in this knowledge base.,KB 2/Philippines/IRR-of-the-DPA.pdf
EXT-GAA,General Appropriations Act,Not present in this knowledge base.,KB 2/Philippines/IRR-of-the-DPA.pdf
EXT-CONSTITUTION,Philippine Constitution,Not present in this knowledge base.,KB 2/Philippines/IRR-of-the-DPA.pdf
