source_id,target_id,rel_type
PH-DPA-IRR-2016,RULE-I,CONTAINS
PH-DPA-IRR-2016,RULE-II,CONTAINS
PH-DPA-IRR-2016,RULE-III,CONTAINS
PH-DPA-IRR-2016,RULE-IV,CONTAINS
PH-DPA-IRR-2016,RULE-V,CONTAINS
PH-DPA-IRR-2016,RULE-VI,CONTAINS
PH-DPA-IRR-2016,RULE-VII,CONTAINS
PH-DPA-IRR-2016,RULE-VIII,CONTAINS
PH-DPA-IRR-2016,RULE-IX,CONTAINS
PH-DPA-IRR-2016,RULE-X,CONTAINS
PH-DPA-IRR-2016,RULE-XI,CONTAINS
PH-DPA-IRR-2016,RULE-XII,CONTAINS
PH-DPA-IRR-2016,RULE-XIII,CONTAINS
PH-DPA-IRR-2016,RULE-XIV,CONTAINS
RULE-I,SEC-1,CONTAINS
RULE-I,SEC-2,CONTAINS
RULE-I,SEC-3,CONTAINS
RULE-II,SEC-4,CONTAINS
RULE-II,SEC-5,CONTAINS
RULE-II,SEC-6,CONTAINS
RULE-II,SEC-7,CONTAINS
RULE-III,SEC-8,CONTAINS
RULE-III,SEC-9,CONTAINS
RULE-III,SEC-10,CONTAINS
RULE-III,SEC-11,CONTAINS
RULE-III,SEC-12,CONTAINS
RULE-III,SEC-13,CONTAINS
RULE-III,SEC-14,CONTAINS
RULE-III,SEC-15,CONTAINS
RULE-III,SEC-16,CONTAINS
RULE-IV,SEC-17,CONTAINS
RULE-IV,SEC-18,CONTAINS
RULE-IV,SEC-19,CONTAINS
RULE-IV,SEC-20,CONTAINS
RULE-V,SEC-21,CONTAINS
RULE-V,SEC-22,CONTAINS
RULE-V,SEC-23,CONTAINS
RULE-V,SEC-24,CONTAINS
RULE-VI,SEC-25,CONTAINS
RULE-VI,SEC-26,CONTAINS
RULE-VI,SEC-27,CONTAINS
RULE-VI,SEC-28,CONTAINS
RULE-VI,SEC-29,CONTAINS
RULE-VII,SEC-30,CONTAINS
RULE-VII,SEC-31,CONTAINS
RULE-VII,SEC-32,CONTAINS
RULE-VII,SEC-33,CONTAINS
RULE-VIII,SEC-34,CONTAINS
RULE-VIII,SEC-35,CONTAINS
RULE-VIII,SEC-36,CONTAINS
RULE-VIII,SEC-37,CONTAINS
RULE-IX,SEC-38,CONTAINS
RULE-IX,SEC-39,CONTAINS
RULE-IX,SEC-40,CONTAINS
RULE-IX,SEC-41,CONTAINS
RULE-IX,SEC-42,CONTAINS
RULE-X,SEC-43,CONTAINS
RULE-X,SEC-44,CONTAINS
RULE-X,SEC-45,CONTAINS
RULE-XI,SEC-46,CONTAINS
RULE-XI,SEC-47,CONTAINS
RULE-XI,SEC-48,CONTAINS
RULE-XI,SEC-49,CONTAINS
RULE-XII,SEC-50,CONTAINS
RULE-XII,SEC-51,CONTAINS
RULE-XIII,SEC-52,CONTAINS
RULE-XIII,SEC-53,CONTAINS
RULE-XIII,SEC-54,CONTAINS
RULE-XIII,SEC-55,CONTAINS
RULE-XIII,SEC-56,CONTAINS
RULE-XIII,SEC-57,CONTAINS
RULE-XIII,SEC-58,CONTAINS
RULE-XIII,SEC-59,CONTAINS
RULE-XIII,SEC-60,CONTAINS
RULE-XIII,SEC-61,CONTAINS
RULE-XIII,SEC-62,CONTAINS
RULE-XIII,SEC-63,CONTAINS
RULE-XIII,SEC-64,CONTAINS
RULE-XIII,SEC-65,CONTAINS
RULE-XIV,SEC-66,CONTAINS
RULE-XIV,SEC-67,CONTAINS
RULE-XIV,SEC-68,CONTAINS
RULE-XIV,SEC-69,CONTAINS
RULE-XIV,SEC-70,CONTAINS
RULE-XIV,SEC-71,CONTAINS
RULE-XIV,SEC-72,CONTAINS
SEC-3,SEC-3-a,CONTAINS
SEC-3,SEC-3-b,CONTAINS
SEC-3,SEC-3-c,CONTAINS
SEC-3,SEC-3-d,CONTAINS
SEC-3,SEC-3-e,CONTAINS
SEC-3,SEC-3-f,CONTAINS
SEC-3,SEC-3-g,CONTAINS
SEC-3,SEC-3-h,CONTAINS
SEC-3,SEC-3-i,CONTAINS
SEC-3,SEC-3-j,CONTAINS
SEC-3,SEC-3-k,CONTAINS
SEC-3,SEC-3-l,CONTAINS
