source_id,target_id,rel_type,source_node_type
SEC-56,PEN-S56,IMPOSES_PENALTY,Section
SEC-57,PEN-S57,IMPOSES_PENALTY,Section
SEC-58,PEN-S58,IMPOSES_PENALTY,Section
SEC-60,PEN-S60,IMPOSES_PENALTY,Section
SEC-52-a,PEN-S52-a,IMPOSES_PENALTY,Clause
SEC-52-b,PEN-S52-b,IMPOSES_PENALTY,Clause
SEC-53-a,PEN-S53-a,IMPOSES_PENALTY,Clause
SEC-53-b,PEN-S53-b,IMPOSES_PENALTY,Clause
SEC-54-a,PEN-S54-a,IMPOSES_PENALTY,Clause
SEC-54-b,PEN-S54-b,IMPOSES_PENALTY,Clause
SEC-55-a,PEN-S55-a,IMPOSES_PENALTY,Clause
SEC-55-b,PEN-S55-b,IMPOSES_PENALTY,Clause
SEC-59-a,PEN-S59-a,IMPOSES_PENALTY,Clause
SEC-59-b,PEN-S59-b,IMPOSES_PENALTY,Clause
