source_id,target_id,rel_type,article_number
CH-1,ART-1,HAS_ARTICLE,1
CH-1,ART-2,HAS_ARTICLE,2
CH-2,ART-3,HAS_ARTICLE,3
CH-2,ART-4,HAS_ARTICLE,4
CH-2,ART-5,HAS_ARTICLE,5
CH-2,ART-6,HAS_ARTICLE,6
CH-2,ART-7,HAS_ARTICLE,7
CH-3,ART-8,HAS_ARTICLE,8
CH-3,ART-9,HAS_ARTICLE,9
CH-3,ART-10,HAS_ARTICLE,10
CH-3,ART-11,HAS_ARTICLE,11
CH-3,ART-12,HAS_ARTICLE,12
CH-3,ART-13,HAS_ARTICLE,13
CH-3,ART-14,HAS_ARTICLE,14
CH-3,ART-15,HAS_ARTICLE,15
CH-4,ART-16,HAS_ARTICLE,16
CH-4,ART-17,HAS_ARTICLE,17
CH-5,ART-18,HAS_ARTICLE,18
CH-5,ART-19,HAS_ARTICLE,19
CH-5,ART-20,HAS_ARTICLE,20
CH-5,ART-21,HAS_ARTICLE,21
CH-6,ART-22,HAS_ARTICLE,22
CH-7,ART-23,HAS_ARTICLE,23
CH-7,ART-24,HAS_ARTICLE,24
CH-7,ART-25,HAS_ARTICLE,25
CH-8,ART-26,HAS_ARTICLE,26
CH-8,ART-27,HAS_ARTICLE,27
CH-8,ART-28,HAS_ARTICLE,28
CH-8,ART-29,HAS_ARTICLE,29
CH-8,ART-30,HAS_ARTICLE,30
CH-8,ART-31,HAS_ARTICLE,31
CH-8,ART-32,HAS_ARTICLE,32
