source_id,target_id,rel_type
ANNEX-1,A1-D1,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D2,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D3,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D4,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D5,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D6,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D7,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D8,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D9,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D10,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D11,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D12,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D13,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D14,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D15,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D16,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D17,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D18,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D19,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D20,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D21,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D22,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D23,HAS_CONTROL_DOMAIN
ANNEX-1,A1-D24,HAS_CONTROL_DOMAIN
