amendment_id,citation,date,number,publication_reference,source_document
amd_266_2009,"Federal Law dated November 25, 2009 N 266-FZ","November 25, 2009",266-FZ,"Legislation Bulletin of the Russian Federation, 2009, N 48, art. 5716","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
amd_363_2009,"Federal Law dated December 27, 2009 N 363-FZ","December 27, 2009",363-FZ,"Legislation Bulletin of the Russian Federation, 2009, N 52, art. 6439","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
amd_123_2010,"Federal Law dated June 28, 2010 N 123-FZ","June 28, 2010",123-FZ,"Legislation Bulletin of the Russian Federation, 2010, N 27, art. 3407","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
amd_204_2010,"Federal Law dated July 27, 2010 N 204-FZ","July 27, 2010",204-FZ,"Legislation Bulletin of the Russian Federation, 2010, N 31, art. 4173","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
amd_227_2010,"Federal Law dated July 27, 2010 N 227-FZ","July 27, 2010",227-FZ,"Legislation Bulletin of the Russian Federation, 2010, N 31, art. 4196","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
amd_313_2010,"Federal Law dated November 29, 2010 N 313-FZ","November 29, 2010",313-FZ,"Legislation Bulletin of the Russian Federation, 2010, N 49, art. 6409","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
amd_359_2010,"Federal Law dated December 23, 2010 N 359-FZ","December 23, 2010",359-FZ,"Legislation Bulletin of the Russian Federation, 2010, N 52, art. 6974","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
amd_261_2011,"Federal Law dated July 25, 2011 N 261-FZ","July 25, 2011",261-FZ,"Legislation Bulletin of the Russian Federation, 2011, N 31, art. 4701","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
amd_43_2013,"Federal Law dated April 5, 2013 N 43-FZ","April 5, 2013",43-FZ,"Legislation Bulletin of the Russian Federation, 2013, N 14, art. 1651","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
amd_205_2013,"Federal Law dated July 23, 2013 N 205-FZ","July 23, 2013",205-FZ,"Legislation Bulletin of the Russian Federation, 2013, N 30, art. 4038","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
amd_363_2013,"Federal Law dated December 21, 2013 N 363-FZ","December 21, 2013",363-FZ,"Legislation Bulletin of the Russian Federation, 2013, N 51, art. 6683","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
amd_142_2014,"Federal Law dated June 4, 2014 N 142-FZ","June 4, 2014",142-FZ,"Legislation Bulletin of the Russian Federation, 2014, N 23, art. 2927","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
amd_216_2014,"Federal Law dated July 21, 2014 N 216-FZ","July 21, 2014",216-FZ,"Legislation Bulletin of the Russian Federation, 2014, N 30, art. 4217","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
amd_242_2014,"Federal Law dated July 21, 2014 N 242-FZ","July 21, 2014",242-FZ,"Legislation Bulletin of the Russian Federation, 2014, N 30, art. 4243","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
amd_231_2016,"Federal Law dated July 3, 2016 N 231-FZ","July 3, 2016",231-FZ,"Legislation Bulletin of the Russian Federation, 2016, N 27, art. 4164","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
amd_16_2017,"Federal Law dated February 22, 2017 N 16-FZ","February 22, 2017",16-FZ,"Legislation Bulletin of the Russian Federation, 2017, N 9, art. 1276","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
amd_148_2017,"Federal Law dated July 1, 2017 N 148-FZ","July 1, 2017",148-FZ,"Legislation Bulletin of the Russian Federation 2017, N 27, art. 3945","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
amd_223_2017,"Federal Law dated July 29, 2017 N 223-FZ","July 29, 2017",223-FZ,"Legislation Bulletin of the Russian Federation 2017, N 31, art. 4772","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
amd_498_2017,"Federal Law dated December 31, 2017 N 498-FZ","December 31, 2017",498-FZ,"Legislation Bulletin of the Russian Federation, 2018, N 1, art. 82","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
