part_id,part_number,article_id,text,source_document
article_1_part_1,1,article_1,"This Federal Law regulates activities related to the processing of personal data by federal government bodies, state bodies of constituent entities of the Russian Federation and other state bodies (hereinafter referred to as “state bodies”), by local government bodies and other municipal bodies (hereinafter referred to as “municipal bodies”), by legal entities and private entities, both automatically, including in data telecommunications networks, and without the use of such means, provided that the data processing is by its nature similar to the actions(operations) of automatic data processing, that is, allowing users to search personal data recorded in physical media or contained in card catalogs or other systematized legislation of personal data in accordance with the specified algorithm and (or) to have access to such personal data (ed. Federal Law dated July 25, 2011 N 261-FZ - Legislation Bulletin of the Russian Federation, 2011, N 31, art. 4701).","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_1_part_2,2,article_1,The operation of this Federal Law does not apply to activities related to:,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_1_part_3,3,article_1,"The provision, distribution, transfer and receipt of information on the activity of courts in the Russian Federation that contains personal data, and the maintenance and use of information systems and information and telecommunication networks in order to create conditions for the access to this information, are conducted in accordance with Federal Law dated December 22, 2008 N 262-FZ “On the provision of access to information on the activity of courts in the Russian Federation” (part 3 introduced by Federal Law dated July 29, 2017 N 223-FZ - Collected Legislation of the Russian Federation, 2017, N 31, Art. 4772).","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_2_part_0,,article_2,"The purpose of this Federal Law is to provide protection of human rights and liberties while processing personal data, including the right of integrity, personal and family secrecy.","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_3_part_0,,article_3,The following main terms are used in this Federal Law:,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_4_part_1,1,article_4,"The legislation of the Russian Federation on personal data is based on the Constitution of the Russian Federation and international agreements entered into by the Russian Federation, and comprises this Federal Law and other federal laws that regulate issues related to personal data processing.","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_4_part_2,2,article_4,"On the grounds of and pursuant to the federal laws, state bodies, and the Bank of Russia, local authorities may, within the scope of their competence, adopt regulatory legal acts, normative acts, legislative acts (hereinafter referred to as “regulatory legal acts”) with respect to issues related to personal data processing. Such regulations shall not include provisions that would restrict the rights of the data subject, place limitations that are not stipulated by federal laws on the activities of controllers, or impose obligations that are not stipulated by federal laws on controllers, and are subject to official publishing (ed. Federal Law dated July 25, 2011 N 261- FZ - Legislation Bulletin of the Russian Federation, 2011, N 31, art. 4701).","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_4_part_3,3,article_4,The peculiarities of personal data processing without the use of automation technology may be prescribed by federal laws and other regulatory legal acts of the Russian Federation subject to the provisions of this Federal Law.,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_4_part_4,4,article_4,"If international agreements entered into by the Russian Federation prescribe regulations different to those stipulated by this Federal Law, the regulations of such international agreements shall be applied.","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_5_part_1,1,article_5,The processing of personal data shall be conducted on a legal and equitable basis.,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_5_part_2,2,article_5,"Personal data processing shall be restricted by the attainment of specific, pre-defined and legal purposes. The processing of personal data that is incompatible with the purpose of personal data legislation is not permitted.","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_5_part_3,3,article_5,The merging of databases containing personal data to be processed for purposes that are incompatible with one another is not permitted.,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_5_part_4,4,article_5,Only personal data that comply with the purposes of their processing shall be processed.,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_5_part_5,5,article_5,The content and volume of personal data to be processed shall comply with the intended purposes of such data processing. The personal data to be processed shall not be superfluous to the declared purposes of their processing.,"Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_5_part_6,6,article_5,"In the course of personal data processing it is necessary to ensure the accuracy of the personal data, their sufficiency, and their adequacy for processing purposes as necessary. The controller shall take the required measures or ensure the deletion or rectification of incomplete or inaccurate data.","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
article_5_part_7,7,article_5,"Personal data shall be stored in a format that allows identification of the data subject for no longer than the processing purposes, unless the personal data storage time is not prescribed by federal law or agreements concluded with the data subject as a beneficiary or guarantor. Personal data shall be destroyed or anonymized upon attainment of the set purposes or when such purposes cease to be relevant, unless otherwise stipulated by federal law. (Article 5 ed. Federal Law dated July 25, 2011 N 261-FZ - Legislation Bulletin of the Russian Federation, 2011, N 31, art. 4701)","Russian Federation Federal Law No. 152-FZ of July 27, 2006 On Personal Data (unofficial English translation, KB 2/Russia/Russian Federal Law No. 152-FZ on Personal Data.pdf)"
