source_id,target_id,rel_type
article_3_part_0_item_1,def_personal_data,DEFINES
article_3_part_0_item_2,def_controller,DEFINES
article_3_part_0_item_3,def_personal_data_processing,DEFINES
article_3_part_0_item_4,def_automated_personal_data_processing,DEFINES
article_3_part_0_item_5,def_distribution_of_personal_data,DEFINES
article_3_part_0_item_6,def_provision_of_personal_data,DEFINES
article_3_part_0_item_7,def_blocking_of_personal_data,DEFINES
article_3_part_0_item_8,def_destruction_of_personal_data,DEFINES
article_3_part_0_item_9,def_anonymization_of_personal_data,DEFINES
article_3_part_0_item_10,def_personal_data_information_system,DEFINES
article_3_part_0_item_11,def_cross_border_transfer_of_personal_data,DEFINES
