cciparameter_id,sn,measure_id,measure,measure_type,formula,target,weightage,standard_ids,source_document
CCI-01,1,Security Budget Measure,Percentage (%) of the organisation’s information system budget devoted to information security.,Impact,(Information security budget/ total organisation’s information technology budget) ×100,10%,8%,GV.RR.S4,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CCI-02,2,Vulnerability Measure,Percentage of vulnerabilities mitigated pertaining to organization in a specified time frame.,Effectiveness Measure,(Number of vulnerabilities mitigated/ Number of vulnerabilities identified)×100,100%,18%,DE.CM.S5,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CCI-03,3,Security Training Measure,Percentage (%) of information system security personnel that have received security training within the past one years.,Implementation,(Number of information system security personnel that have completed security training within the past year/total number of information system security personnel) ×100,100%,5%,PR.AT.S1,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CCI-04,4,Remote Access Control Measure,Percentage (%) of remote users logging through MFA.,Effectiveness,(Number of remote users logging through MFA/ total number of remote users) ×100,100%,2%,PR.AA.S12,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CCI-05,5,Audit Record Review Measure,Percentage (%) of critical systems integrated with SIEM.,Efficiency,(Number of critical systems integrated with SIEM tool/total number of critical systems) ×100,100%,2%,DE.CM.S1,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CCI-06,6,Configuration Changes Measure,Percentage (%) approved and implemented configuration changes identified in the latest automated baseline configuration.,Implementation,(Number of approved and implemented configuration changes identified in the latest automated baseline configuration/ total number of configuration changes identified through automated or manual scans) × 100,100%,2%,DE.CM.S5,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CCI-07,7,Contingency Plan Testing Measure,Percentage (%) of information systems that have conducted contingency plan testing at least once in a year.,Effectiveness,(Number of information systems that have conducted contingency plans testing at least once in a year/ number of information systems in the system inventory) ×100,100%,4%,RS.MA.S3,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CCI-08,8,User Accounts Measure,Percentage (%) of privileged access through PIM.,Effectiveness,(Number of systems accessed through PIM/ total number of systems) ×100,100%,3%,PR.AA.S7,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CCI-09,9,Incident Response Measure,Percentage (%) of incidents reported within required time frame.,Effectiveness,(number of incidents reported on time/ total number of reported incidents) ×100,100%,2%,RS.CO.S2,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
CCI-10,10,Maintenance Measure,Percentage (%) of system components that undergo maintenance in accordance with planned maintenance schedules.,Efficiency,(Number of system components that undergo maintenance according to planned maintenance schedules/ total number of system components) ×100,100%,5%,PR.MA.S1,"SEBI Circular SEBI/HO/ITD-1/ITD_CSC_EXT/P/CIR/2024/113 dated August 20, 2024 — Cybersecurity and Cyber Resilience Framework (CSCRF) for SEBI Regulated Entities (REs), Version 1.0 (KB 2/India/SEBI Cybersecurity & Cyber Resilience Framework.pdf)"
