source_id,target_id,rel_type
THR-01,RET-01,THRESHOLD_OF
THR-02,RET-01,THRESHOLD_OF
THR-03,RET-01,THRESHOLD_OF
THR-04,RET-01,THRESHOLD_OF
THR-05,RET-02,THRESHOLD_OF
THR-06,RET-03,THRESHOLD_OF
THR-07,RET-03,THRESHOLD_OF
THR-08,RET-03,THRESHOLD_OF
THR-09,RET-03,THRESHOLD_OF
THR-10,RET-04,THRESHOLD_OF
THR-11,RET-05,THRESHOLD_OF
THR-12,RET-06,THRESHOLD_OF
THR-13,RET-06,THRESHOLD_OF
THR-14,RET-06,THRESHOLD_OF
THR-15,RET-07,THRESHOLD_OF
THR-16,RET-08,THRESHOLD_OF
THR-17,RET-08,THRESHOLD_OF
THR-18,RET-08,THRESHOLD_OF
THR-19,RET-09,THRESHOLD_OF
THR-20,RET-10,THRESHOLD_OF
THR-21,RET-11,THRESHOLD_OF
THR-22,RET-12,THRESHOLD_OF
THR-23,RET-12,THRESHOLD_OF
THR-24,RET-13,THRESHOLD_OF
THR-25,RET-13,THRESHOLD_OF
THR-26,RET-14,THRESHOLD_OF
THR-27,RET-15,THRESHOLD_OF
THR-28,RET-16,THRESHOLD_OF
THR-29,RET-16,THRESHOLD_OF
THR-30,RET-16,THRESHOLD_OF
THR-31,RET-17,THRESHOLD_OF
THR-32,RET-17,THRESHOLD_OF
THR-33,RET-17,THRESHOLD_OF
THR-34,RET-18,THRESHOLD_OF
THR-35,RET-18,THRESHOLD_OF
THR-36,RET-18,THRESHOLD_OF
THR-37,RET-18,THRESHOLD_OF
THR-38,RET-19,THRESHOLD_OF
THR-39,RET-20,THRESHOLD_OF
THR-40,RET-21,THRESHOLD_OF
THR-41,RET-21,THRESHOLD_OF
THR-42,RET-21,THRESHOLD_OF
THR-43,RET-21,THRESHOLD_OF
THR-44,RET-21,THRESHOLD_OF
THR-45,RET-22,THRESHOLD_OF
THR-46,RET-23,THRESHOLD_OF
THR-47,RET-23,THRESHOLD_OF
THR-48,RET-23,THRESHOLD_OF
THR-49,RET-23,THRESHOLD_OF
