source_id,target_id,rel_type
CRIT-CC1.1,CAT-SEC,APPLIES_TO_CATEGORY
CRIT-CC1.1,CAT-AVL,APPLIES_TO_CATEGORY
CRIT-CC1.1,CAT-PI,APPLIES_TO_CATEGORY
CRIT-CC1.1,CAT-CONF,APPLIES_TO_CATEGORY
CRIT-CC1.1,CAT-PRIV,APPLIES_TO_CATEGORY
CRIT-CC1.2,CAT-SEC,APPLIES_TO_CATEGORY
CRIT-CC1.2,CAT-AVL,APPLIES_TO_CATEGORY
CRIT-CC1.2,CAT-PI,APPLIES_TO_CATEGORY
CRIT-CC1.2,CAT-CONF,APPLIES_TO_CATEGORY
CRIT-CC1.2,CAT-PRIV,APPLIES_TO_CATEGORY
CRIT-CC1.3,CAT-SEC,APPLIES_TO_CATEGORY
CRIT-CC1.3,CAT-AVL,APPLIES_TO_CATEGORY
CRIT-CC1.3,CAT-PI,APPLIES_TO_CATEGORY
CRIT-CC1.3,CAT-CONF,APPLIES_TO_CATEGORY
CRIT-CC1.3,CAT-PRIV,APPLIES_TO_CATEGORY
CRIT-CC1.4,CAT-SEC,APPLIES_TO_CATEGORY
CRIT-CC1.4,CAT-AVL,APPLIES_TO_CATEGORY
CRIT-CC1.4,CAT-PI,APPLIES_TO_CATEGORY
CRIT-CC1.4,CAT-CONF,APPLIES_TO_CATEGORY
CRIT-CC1.4,CAT-PRIV,APPLIES_TO_CATEGORY
CRIT-CC1.5,CAT-SEC,APPLIES_TO_CATEGORY
CRIT-CC1.5,CAT-AVL,APPLIES_TO_CATEGORY
CRIT-CC1.5,CAT-PI,APPLIES_TO_CATEGORY
CRIT-CC1.5,CAT-CONF,APPLIES_TO_CATEGORY
CRIT-CC1.5,CAT-PRIV,APPLIES_TO_CATEGORY
CRIT-CC2.1,CAT-SEC,APPLIES_TO_CATEGORY
CRIT-CC2.1,CAT-AVL,APPLIES_TO_CATEGORY
CRIT-CC2.1,CAT-PI,APPLIES_TO_CATEGORY
CRIT-CC2.1,CAT-CONF,APPLIES_TO_CATEGORY
CRIT-CC2.1,CAT-PRIV,APPLIES_TO_CATEGORY
CRIT-CC2.2,CAT-SEC,APPLIES_TO_CATEGORY
CRIT-CC2.2,CAT-AVL,APPLIES_TO_CATEGORY
CRIT-CC2.2,CAT-PI,APPLIES_TO_CATEGORY
CRIT-CC2.2,CAT-CONF,APPLIES_TO_CATEGORY
CRIT-CC2.2,CAT-PRIV,APPLIES_TO_CATEGORY
CRIT-CC2.3,CAT-SEC,APPLIES_TO_CATEGORY
CRIT-CC2.3,CAT-AVL,APPLIES_TO_CATEGORY
CRIT-CC2.3,CAT-PI,APPLIES_TO_CATEGORY
CRIT-CC2.3,CAT-CONF,APPLIES_TO_CATEGORY
CRIT-CC2.3,CAT-PRIV,APPLIES_TO_CATEGORY
CRIT-CC3.1,CAT-SEC,APPLIES_TO_CATEGORY
CRIT-CC3.1,CAT-AVL,APPLIES_TO_CATEGORY
CRIT-CC3.1,CAT-PI,APPLIES_TO_CATEGORY
CRIT-CC3.1,CAT-CONF,APPLIES_TO_CATEGORY
CRIT-CC3.1,CAT-PRIV,APPLIES_TO_CATEGORY
CRIT-CC3.2,CAT-SEC,APPLIES_TO_CATEGORY
CRIT-CC3.2,CAT-AVL,APPLIES_TO_CATEGORY
CRIT-CC3.2,CAT-PI,APPLIES_TO_CATEGORY
CRIT-CC3.2,CAT-CONF,APPLIES_TO_CATEGORY
CRIT-CC3.2,CAT-PRIV,APPLIES_TO_CATEGORY
CRIT-CC3.3,CAT-SEC,APPLIES_TO_CATEGORY
CRIT-CC3.3,CAT-AVL,APPLIES_TO_CATEGORY
CRIT-CC3.3,CAT-PI,APPLIES_TO_CATEGORY
CRIT-CC3.3,CAT-CONF,APPLIES_TO_CATEGORY
CRIT-CC3.3,CAT-PRIV,APPLIES_TO_CATEGORY
CRIT-CC3.4,CAT-SEC,APPLIES_TO_CATEGORY
CRIT-CC3.4,CAT-AVL,APPLIES_TO_CATEGORY
CRIT-CC3.4,CAT-PI,APPLIES_TO_CATEGORY
CRIT-CC3.4,CAT-CONF,APPLIES_TO_CATEGORY
CRIT-CC3.4,CAT-PRIV,APPLIES_TO_CATEGORY
CRIT-CC4.1,CAT-SEC,APPLIES_TO_CATEGORY
CRIT-CC4.1,CAT-AVL,APPLIES_TO_CATEGORY
CRIT-CC4.1,CAT-PI,APPLIES_TO_CATEGORY
CRIT-CC4.1,CAT-CONF,APPLIES_TO_CATEGORY
CRIT-CC4.1,CAT-PRIV,APPLIES_TO_CATEGORY
CRIT-CC4.2,CAT-SEC,APPLIES_TO_CATEGORY
CRIT-CC4.2,CAT-AVL,APPLIES_TO_CATEGORY
CRIT-CC4.2,CAT-PI,APPLIES_TO_CATEGORY
CRIT-CC4.2,CAT-CONF,APPLIES_TO_CATEGORY
CRIT-CC4.2,CAT-PRIV,APPLIES_TO_CATEGORY
CRIT-CC5.1,CAT-SEC,APPLIES_TO_CATEGORY
CRIT-CC5.1,CAT-AVL,APPLIES_TO_CATEGORY
CRIT-CC5.1,CAT-PI,APPLIES_TO_CATEGORY
CRIT-CC5.1,CAT-CONF,APPLIES_TO_CATEGORY
CRIT-CC5.1,CAT-PRIV,APPLIES_TO_CATEGORY
CRIT-CC5.2,CAT-SEC,APPLIES_TO_CATEGORY
CRIT-CC5.2,CAT-AVL,APPLIES_TO_CATEGORY
CRIT-CC5.2,CAT-PI,APPLIES_TO_CATEGORY
CRIT-CC5.2,CAT-CONF,APPLIES_TO_CATEGORY
CRIT-CC5.2,CAT-PRIV,APPLIES_TO_CATEGORY
CRIT-CC5.3,CAT-SEC,APPLIES_TO_CATEGORY
CRIT-CC5.3,CAT-AVL,APPLIES_TO_CATEGORY
CRIT-CC5.3,CAT-PI,APPLIES_TO_CATEGORY
CRIT-CC5.3,CAT-CONF,APPLIES_TO_CATEGORY
CRIT-CC5.3,CAT-PRIV,APPLIES_TO_CATEGORY
CRIT-CC6.1,CAT-SEC,APPLIES_TO_CATEGORY
CRIT-CC6.1,CAT-AVL,APPLIES_TO_CATEGORY
CRIT-CC6.1,CAT-PI,APPLIES_TO_CATEGORY
CRIT-CC6.1,CAT-CONF,APPLIES_TO_CATEGORY
CRIT-CC6.1,CAT-PRIV,APPLIES_TO_CATEGORY
