term_id,term,definition,source_document
TERM-advanced-persistent-threats-apt-protection,Advanced Persistent Threats (APT) Protection,"Protection against advanced threats that use invisible techniques to gain unauthorized access to technology systems and networks and stay as long as possible by circumventing detection and protection tools. To accomplish this, zero-day malware are usually used in these techniques.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-asset,Asset,"Any tangible or intangible thing of value to the entity. There are many types of assets, and some of which are obvious, such as persons, machinery, facilities, patents, software, and services. The term could also include less obvious things, such as information and characteristics (such as the entity’s reputation and public image, as well as skills and knowledge).","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-attack,Attack,"Any kind of malicious activity aimed at gaining unauthorized access to, collecting, disabling, preventing, destroying, or sabotaging information system resources or the information itself.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-audit,Audit,"Independent review and examination of records and activities, in order to assess the effectiveness of cybersecurity controls and to ensure compliance with policies, operational procedures, standards, and relevant legislative and regulatory requirements.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-authentication,Authentication,"Verification of the user's identity, process, or device, which is often a prerequisite for allowing access to resources on the system.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-authorization,Authorization,The property of identifying and verifying the rights/licenses of the user to access the information and technology assets and resources of the entity and allowing access based on the user’s rights/licenses previously defined.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-availability,Availability,"Ensuring timely access and use of information, data, systems, and applications.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-backup,Backup,"Files, devices, data, and procedures available for use in case of failure or loss, or in case of deletion or suspension of their original copies.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-bring-your-own-device-byod,Bring Your Own Device (BYOD),"This term refers to an entity's policy that allows (in whole or in part) its personnel to bring their personal devices (laptops, tablets, and smartphones) to their workplace within the entity and use such devices to access the entity’s networks, information, applications, and systems to which access is restricted.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-change-management,Change Management,"A service management system that ensures a systematic and proactive approach using effective standard methods and procedures (for example, change in the entity’s infrastructure and networks, etc.). Change management helps all stakeholders, including individuals and teams alike, move from their current state to the next desired state. It also helps reduce the impact of relevant incidents on service.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-closed-circuit-television-cctv,Closed-Circuit Television (CCTV),"CCTV, also known as video surveillance, uses video cameras to transmit a signal to a specific location on a limited set of screens. This term is often used to refer to the surveillance technique employed in areas that require monitoring due to the importance of physical security.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-cloud-computing,Cloud Computing,"A model to enable on-demand access to a shared pool of information technology resources (e.g. networks, servers, storage, applications, and services) that can be rapidly provided and launched with minimal operational management effort and service setup intervention/interaction from the service provider. Cloud computing allows users to access technology-based services over a cloud computing network without needing to know or control the technology infrastructure that supports them. Cloud computing models are composed of five essential characteristics: on-demand self-service, broad network access, resource pooling, rapid elasticity, and measured service. There are three models of cloud computing services: Software as a Service (SaaS), Platform as a Service (PaaS), and Infrastructure as a Service (IaaS). Moreover, according to the nature of access, there are four cloud computing models: Public Cloud Computing, Community Cloud Computing, Private Cloud Computing, and Hybrid Cloud Computing.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-compromise,Compromise,"Disclosure or acquisition of information not authorized to be leaked to or obtained by third parties, or violation of the entity's cybersecurity policy through the disclosure, alteration, sabotage, or loss of anything, either intentionally or unintentionally. Compromise also means the disclosure, acquisition, leakage, alteration, or use of sensitive data without authorization (including cryptographic keys and other critical cybersecurity standards).","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-sensitive-data-information,Sensitive Data/Information,"Information (or data) that is highly sensitive and important, as classified by the entity, and intended for their use. One of the methods that can be used to classify this type of information is to measure the extent of damage when it is disclosed, accessed in an unauthorized manner, lost, or sabotaged, as this may result in material or moral damage to the entity or its clients, affecting the lives of persons associated with that information, or affecting and damaging the State security, national economy, or national capacities. Sensitive information includes all information whose unauthorized disclosure, loss, or sabotage results in accountability or statutory penalties.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-confidentiality,Confidentiality,"Maintaining authorized restrictions on access to and disclosure of information, including means of privacy/personal information protection.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-critical-national-infrastructure-cni,Critical National Infrastructure (CNI),"Essential elements of infrastructure (i.e. assets, facilities, systems, networks, processes, and key personnel who operate and process them) whose loss or compromise may result in:  Significant negative impact on the availability, integration, or delivery of basic services, including services whose integrity could, if compromised, result in serious loss of property, lives, and/or injuries, taking into account significant national-level economic and/or social impacts.  Significant impact on national security, national defense, and/or State economy or national capacities.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-cryptography,Cryptography,"It is also called (cryptology). It refers to rules that include the principles, methods, and means of storing and transmitting data or information in a particular form, in order to conceal its semantic content and prevent unauthorized use or prevent undetected modification, so that only the concerned persons can read and process them.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-cyber-attack,Cyber-Attack,"An intentional attempt to impact cybersecurity negatively, whether successful or not.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-cyber-risks,Cyber Risks,"Risks that harm the entity’s business operations (including the entity’s vision, mission, management, image, or reputation), assets, individuals, other entities, or the State due to unauthorized access, use, disclosure, disruption, modification, or damage of information and/or information systems.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-cybersecurity,Cybersecurity,"Pursuant to the provisions of the NCA's Statute issued by Royal Order No. 6801, dated 11/02/1439H., cybersecurity is the protection of networks, IT systems, operational technologies systems, their hardware and software components, services, and the data they contain, from any unauthorized penetration, disruption, modification, access, use, or exploitation. The concept of cybersecurity also encompasses information security, digital security, and the like.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-cybersecurity-resilience,Cybersecurity Resilience,"The overall ability of entities to withstand cyber events and, where harm is caused, recover from them.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-cyberspace,Cyberspace,"The interconnected network of IT infrastructure, including the Internet, communication networks, computer systems, Internet-connected devices, and associated processors and control devices. The term can also refer to a virtual world or domain, such as experimental phenomenon or abstract concept.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-data-and-information-classification,Data and Information Classification,"Determining the sensitivity level of data and information which gives rise to security controls for each classification level. Data and information sensitivity levels are set according to predefined categories, where data and information is created, modified, improved, stored, or transmitted. The classification level is an indicator of the value or significance of data and information to the entity.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-data-archiving,Data Archiving,"The process of transferring data that is no longer actively used to a separate storage device for long-term retention. Archive data consists of older data that is still important to the entity and may be needed for future reference, as well as data that shall be retained for legal and regulatory compliance purposes.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-defense-in-depth,Defense-in-Depth,A concept of information assurance where multiple levels of security controls are used (as a defense) in the IT/OT system.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-disaster-recovery,Disaster Recovery,"Programs, activities, and plans designed to restore the entity’s critical business functions and services to an acceptable state, following exposure to cyber-attacks or disruption of such functions or services.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-domain-name-system-dns,Domain Name System (DNS),"A technical system that uses a database distributed over the network and/or the Internet to allow the translation of domain names into IP addresses and vice versa, in order to identify service addresses, such as web and e-mail servers.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-effectiveness,Effectiveness,"A degree whereby a planned impact is achieved. Planned activities are considered effective if they are already implemented, and planned results are considered effective if they are already achieved. The Key Performance Indicators (KPIs) can be used to measure and evaluate the effectiveness level.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-efficiency,Efficiency,Relationship between the results achieved (outputs) and the resources used (inputs). The efficiency of a process or system can be enhanced by achieving more results using the same resources (inputs) or even less.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-event,Event,"An event related to the cybersecurity state of a network, a system, a service, data, or any other digital device.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-hyper-text-transfer-protocol-secure-https,Hyper Text Transfer Protocol Secure (HTTPS),A protocol that uses encryption to secure the web pages and data when they are transmitted over the network. It is a secure version of the Hyper Text Transfer Protocol (HTTP).,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-identification,Identification,"A means for verifying the user’s identity, process, or device, which is usually a prerequisite for granting access to system resources.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-incident,Incident,"An event that occurred and negatively impacted cybersecurity, whether intentional or unintentional.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-integrity,Integrity,"Protection against unauthorized modification or destruction of information, including ensuring information non-repudiation and reliability.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-international-requirements,International Requirements,"International requirements are those developed by an international entity or organization for regulatory use worldwide (e.g. SWIFT, PCI, etc.).","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-intrusion-prevention-system-ips,Intrusion Prevention System (IPS),"A system with intrusion detection capabilities, as well as capabilities to prevent and stop suspicious or potential activities and incidents.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-key-performance-indicator-kpi,Key Performance Indicator (KPI),A type of performance measurement tools that evaluate the success of an activity or an entity in achieving specific objectives.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-labeling,Labeling,"Display of information (with specific and standard naming and coding) on the entity’s assets (such as devices, applications, documents, etc.) to refer to some information on the classification, ownership, and type of the asset and other asset management information.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-least-privilege,Least Privilege,A basic principle in cybersecurity that aims at granting users only access privileges they need to fulfill their official responsibilities.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-malware,Malware,"A program that infects systems, usually covertly, with the intent of compromising the confidentiality, integrity, accuracy, or availability of data, applications, or operating system.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-multi-factor-authentication-mfa,Multi-Factor Authentication (MFA),"A security system that verifies user identity, using several authentication factors through authentication technique. Authentication factors are:  Knowledge (something only the user knows “like using password technique”).  Possession (something only owned by the user “such as using technique like a program, device generating random numbers or SMSs” for login records, which are called: One-Time-Password).  Inherent characteristics (characteristics of the user only, such as using fingerprint or face recognition techniques).","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-multi-tier-architecture,Multi-tier Architecture,"An architecture or structure that applies a client-server approach in which the functional process logic, data access, data storage, and user interface are developed and maintained as separate units on separate platforms.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-need-to-know-and-need-to-use,Need-to-Know and Need-to-Use,"Restrictions on data, which is considered confidential, unless a person has a specific need to know for official business duties.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-offline-offsite-backup,Offline/Offsite Backup,"A backup of databases, and settings of systems, applications, and devices when the copy is offline and cannot be updated. Typically, backup tapes are utilized for offsite backup.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-online-backup,Online Backup,A storage method whereby the backup is regularly taken on a remote server over a network (either within the entity’s network or hosted by a service provider).,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-organization-staff,Organization Staff,"Individuals who work for the entity (including official employees, temporary employees, and contractors).","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-outsourcing,Outsourcing,Obtaining goods or services by contracting with a supplier or a service provider.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-patch,Patch,"Supporting data packages used to upgrade, fix, or improve computer operating system, software, or applications. This includes fixing security vulnerabilities and other bugs. Such patches are usually called fixes, bug fixes, and usability or performance improvements.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-penetration-testing,Penetration Testing,"Testing a computer system, network, web application, or mobile application to find vulnerabilities that can be exploited by an attacker.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-phishing-emails,Phishing Emails,"An attempt to obtain confidential information, such as usernames, passwords, or credit card details, often for malicious reasons and intentions, by disguising as a trustworthy entity in emails.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-physical-security,Physical Security,"Physical security describes security measures designed to prevent unauthorized access to the entity’s facilities, equipment, and resources, and to protect individuals and property against damage or harm (such as espionage, theft, or terrorist attacks). Physical security involves the use of multiple tiers of interconnected systems, including CCTV, security guards, security limits, locks, access control systems, and many other technologies.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-policy,Policy,"A document with clauses specifying a general obligation, direction, or intent as formally expressed by the Authorized Official of the entity. Cybersecurity policy is a document with clauses reflecting official commitment of the senior management of the entity to implement and improve the cybersecurity program within the entity. Such policy includes the entity’s objectives relating to the cybersecurity program, as well as its controls, requirements, and improvement and development mechanisms.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
TERM-privileged-access-management,Privileged Access Management,"The process of managing high-risk authorizations on the entity’s systems, which often need special handling to minimize risks that may arise from the misuse thereof.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
