updateentry_id,update_type,section,target_reference,rationale,previous_version,framework,source_document
UPD-01,Modification,ECC Scope of Work,SEC-scope-of-work,Clarification,ECC – 1 : 2018,ECC-2:2024,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
UPD-02,Deletion,ECC Statement of Applicability,SEC-statement-of-applicability,Deletion of main domain 5. Controls in domain 5 moved to the OTCC (Operational Technology Cybersecurity Controls),ECC – 1 : 2018,ECC-2:2024,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
UPD-03,Modification,Control 1-2-2,1-2-2,Cybersecurity enhancement,ECC – 1 : 2018,ECC-2:2024,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
UPD-04,Deletion,Control 1-7-1,,"Cybersecurity regulatory maturity, and supporting entities’ compliance",ECC – 1 : 2018,ECC-2:2024,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
UPD-05,Modification,Control 1-7-2,1-7-1,Clarification,ECC – 1 : 2018,ECC-2:2024,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
UPD-06,Modification,Sub-control 2-2-3-1,2-2-3-1,Clarification,ECC – 1 : 2018,ECC-2:2024,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
UPD-07,Modification,Sub-control 2-2-3-2,2-2-3-2,Clarification,ECC – 1 : 2018,ECC-2:2024,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
UPD-08,Modification,Sub-control 2-4-3-2,2-4-3-2,Clarification,ECC – 1 : 2018,ECC-2:2024,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
UPD-09,Modification,Sub-control 2-4-3-5,2-4-3-5,Clarification,ECC – 1 : 2018,ECC-2:2024,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
UPD-10,Addition,Sub-control 2-5-3-9,2-5-3-9,Cybersecurity enhancement,ECC – 1 : 2018,ECC-2:2024,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
UPD-11,Modification,Control 2-7-2,2-7-2,Clarification,ECC – 1 : 2018,ECC-2:2024,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
UPD-12,Deletion,Control 2-7-3,,"For the National Data Management Office (NDMO) at the Saudi Data and Artificial Intelligence Authority mandates, entities must refer to the National Data Management Office regarding data privacy before taking any action in this regard.",ECC – 1 : 2018,ECC-2:2024,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
UPD-13,Modification,Control 2-8-3,2-8-3,Clarification,ECC – 1 : 2018,ECC-2:2024,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
UPD-14,Modification,Sub-control 2-15-3-5,2-15-3-5,Clarification,ECC – 1 : 2018,ECC-2:2024,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
