source_id,target_id,rel_type
1-1,1-1-1,HAS_CONTROL
1-1,1-1-2,HAS_CONTROL
1-1,1-1-3,HAS_CONTROL
1-2,1-2-1,HAS_CONTROL
1-2,1-2-2,HAS_CONTROL
1-2,1-2-3,HAS_CONTROL
1-3,1-3-1,HAS_CONTROL
1-3,1-3-2,HAS_CONTROL
1-3,1-3-3,HAS_CONTROL
1-3,1-3-4,HAS_CONTROL
1-4,1-4-1,HAS_CONTROL
1-4,1-4-2,HAS_CONTROL
1-5,1-5-1,HAS_CONTROL
1-5,1-5-2,HAS_CONTROL
1-5,1-5-3,HAS_CONTROL
1-5,1-5-4,HAS_CONTROL
1-6,1-6-1,HAS_CONTROL
1-6,1-6-2,HAS_CONTROL
1-6,1-6-3,HAS_CONTROL
1-6,1-6-4,HAS_CONTROL
1-7,1-7-1,HAS_CONTROL
1-8,1-8-1,HAS_CONTROL
1-8,1-8-2,HAS_CONTROL
1-8,1-8-3,HAS_CONTROL
1-9,1-9-1,HAS_CONTROL
1-9,1-9-2,HAS_CONTROL
1-9,1-9-3,HAS_CONTROL
1-9,1-9-4,HAS_CONTROL
1-9,1-9-5,HAS_CONTROL
1-9,1-9-6,HAS_CONTROL
1-10,1-10-1,HAS_CONTROL
1-10,1-10-2,HAS_CONTROL
1-10,1-10-3,HAS_CONTROL
1-10,1-10-4,HAS_CONTROL
1-10,1-10-5,HAS_CONTROL
2-1,2-1-1,HAS_CONTROL
2-1,2-1-2,HAS_CONTROL
2-1,2-1-3,HAS_CONTROL
2-1,2-1-4,HAS_CONTROL
2-1,2-1-5,HAS_CONTROL
2-1,2-1-6,HAS_CONTROL
2-2,2-2-1,HAS_CONTROL
2-2,2-2-2,HAS_CONTROL
2-2,2-2-3,HAS_CONTROL
2-2,2-2-4,HAS_CONTROL
2-3,2-3-1,HAS_CONTROL
2-3,2-3-2,HAS_CONTROL
2-3,2-3-3,HAS_CONTROL
2-3,2-3-4,HAS_CONTROL
2-4,2-4-1,HAS_CONTROL
2-4,2-4-2,HAS_CONTROL
2-4,2-4-3,HAS_CONTROL
2-4,2-4-4,HAS_CONTROL
2-5,2-5-1,HAS_CONTROL
2-5,2-5-2,HAS_CONTROL
2-5,2-5-3,HAS_CONTROL
2-5,2-5-4,HAS_CONTROL
2-6,2-6-1,HAS_CONTROL
2-6,2-6-2,HAS_CONTROL
2-6,2-6-3,HAS_CONTROL
2-6,2-6-4,HAS_CONTROL
2-7,2-7-1,HAS_CONTROL
2-7,2-7-2,HAS_CONTROL
2-7,2-7-3,HAS_CONTROL
2-8,2-8-1,HAS_CONTROL
2-8,2-8-2,HAS_CONTROL
2-8,2-8-3,HAS_CONTROL
2-8,2-8-4,HAS_CONTROL
2-9,2-9-1,HAS_CONTROL
2-9,2-9-2,HAS_CONTROL
2-9,2-9-3,HAS_CONTROL
2-9,2-9-4,HAS_CONTROL
2-10,2-10-1,HAS_CONTROL
2-10,2-10-2,HAS_CONTROL
2-10,2-10-3,HAS_CONTROL
2-10,2-10-4,HAS_CONTROL
2-11,2-11-1,HAS_CONTROL
2-11,2-11-2,HAS_CONTROL
2-11,2-11-3,HAS_CONTROL
2-11,2-11-4,HAS_CONTROL
2-12,2-12-1,HAS_CONTROL
2-12,2-12-2,HAS_CONTROL
2-12,2-12-3,HAS_CONTROL
2-12,2-12-4,HAS_CONTROL
2-13,2-13-1,HAS_CONTROL
2-13,2-13-2,HAS_CONTROL
2-13,2-13-3,HAS_CONTROL
2-13,2-13-4,HAS_CONTROL
2-14,2-14-1,HAS_CONTROL
2-14,2-14-2,HAS_CONTROL
2-14,2-14-3,HAS_CONTROL
2-14,2-14-4,HAS_CONTROL
2-15,2-15-1,HAS_CONTROL
2-15,2-15-2,HAS_CONTROL
2-15,2-15-3,HAS_CONTROL
2-15,2-15-4,HAS_CONTROL
3-1,3-1-1,HAS_CONTROL
3-1,3-1-2,HAS_CONTROL
3-1,3-1-3,HAS_CONTROL
3-1,3-1-4,HAS_CONTROL
4-1,4-1-1,HAS_CONTROL
4-1,4-1-2,HAS_CONTROL
4-1,4-1-3,HAS_CONTROL
4-1,4-1-4,HAS_CONTROL
4-2,4-2-1,HAS_CONTROL
4-2,4-2-2,HAS_CONTROL
4-2,4-2-3,HAS_CONTROL
4-2,4-2-4,HAS_CONTROL
