source_id,target_id,rel_type
1,1-1,HAS_SUBDOMAIN
1,1-2,HAS_SUBDOMAIN
1,1-3,HAS_SUBDOMAIN
1,1-4,HAS_SUBDOMAIN
1,1-5,HAS_SUBDOMAIN
1,1-6,HAS_SUBDOMAIN
1,1-7,HAS_SUBDOMAIN
1,1-8,HAS_SUBDOMAIN
1,1-9,HAS_SUBDOMAIN
1,1-10,HAS_SUBDOMAIN
2,2-1,HAS_SUBDOMAIN
2,2-2,HAS_SUBDOMAIN
2,2-3,HAS_SUBDOMAIN
2,2-4,HAS_SUBDOMAIN
2,2-5,HAS_SUBDOMAIN
2,2-6,HAS_SUBDOMAIN
2,2-7,HAS_SUBDOMAIN
2,2-8,HAS_SUBDOMAIN
2,2-9,HAS_SUBDOMAIN
2,2-10,HAS_SUBDOMAIN
2,2-11,HAS_SUBDOMAIN
2,2-12,HAS_SUBDOMAIN
2,2-13,HAS_SUBDOMAIN
2,2-14,HAS_SUBDOMAIN
2,2-15,HAS_SUBDOMAIN
3,3-1,HAS_SUBDOMAIN
4,4-1,HAS_SUBDOMAIN
4,4-2,HAS_SUBDOMAIN
