deadline_id,period_text,provision,provision_id,verbatim_text,source_document
dl_001,for every day,56,s_56,"A person guilty of an offence under this Act for which no penalty is expressly provided shall be liable on conviction to a fine not exceeding $10,000 or to imprisonment for a term not exceeding 3 years or to both and, in the case of a continuing offence, to a further fine not exceeding $1,000 for every day or part of a day during which the offence continues after conviction.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
dl_002,for at least 100 years,4(4)(a),s_4(4)(a),(a) personal data about an individual that is contained in a record that has been in existence for at least 100 years; or,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
dl_003,for 10 years,4(4)(b),s_4(4)(b),"(b) personal data about a deceased individual, except that the provisions relating to the disclosure of personal data and section 24 (protection of personal data) apply in respect of personal data about an individual who has been dead for 10 years or less.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
dl_004,within a year,21(1)(b),s_21(1)(b),(b) information about the ways in which the personal data mentioned in paragraph (a) has been or may have been used or disclosed by the organisation within a year before the date of the request.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
dl_005,within a year,22(2)(b),s_22(2)(b),"(b) subject to subsection (3), send the corrected personal data to every other organisation to which the personal data was disclosed by the organisation within a year before the date the correction was made, unless that other organisation does not need the corrected personal data for any legal or business purpose.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
dl_006,within a year,22(3),s_22(3),"(3) An organisation (not being a credit bureau) may, if the individual consents, send the corrected personal data only to specific organisations to which the personal data was disclosed by the organisation within a year before the date the correction was made.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
dl_007,no later than 3 calendar days,26D(1),s_26D(1),"(1) Where an organisation assesses, in accordance with section 26C, that a data breach is a notifiable data breach, the organisation must notify the Commission as soon as is practicable, but in any case no later than 3 calendar days after the day the organisation makes that assessment.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
dl_008,for at least 30 days,44(d),s_44(d),(d) the information included in the specified message in compliance with this section is reasonably likely to be valid for at least 30 days after the message is sent.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
dl_009,at least 14 days,48K(2),s_48K(2),"(2) Where the Commission intends to impose a financial penalty under section 48J(1) on an organisation or a person, the time specified in the notice within which written representations may be made to the Commission must be at least 14 days after the date the notice is served on that organisation or person.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
dl_010,not earlier than 28 days,48K(8),s_48K(8),"(8) Where the Commission imposes a financial penalty under section 48J(1) on an organisation or a person, the written notice issued by the Commission to the organisation or person must specify the date before which the financial penalty is to be paid, being a date not earlier than 28 days after the notice is issued.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
dl_011,for one year,50(4),s_50(4),(4) An organisation must retain records relating to an investigation under this section for one year after the conclusion of the investigation or any longer period specified in writing by the Commission.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
dl_012,at least 2 working days,2(2)(a),sch_9_para2(2)(a),(a) gives at least 2 working days’ notice of the intended entry; and,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
dl_013,until the end of one month,3(6)(b),sch_9_para3(6)(b),(b) continues in force until the end of one month beginning from the day on which it is issued.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
dl_014,for a period of not more than 3 months,3(12),sch_9_para3(12),(12) Any document of which possession is taken under sub‑paragraph (2)(d) or (3) may be retained for a period of not more than 3 months.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
