definition_id,term,definition_text,scope,defined_in,source_document
def_s_2__advisory_committee,advisory committee,“advisory committee” means an advisory committee appointed under section 7;,section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__appeal_committee,Appeal Committee,"“Appeal Committee” means a Data Protection Appeal Committee constituted under section 48P(4), read with the Seventh Schedule;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__appeal_panel,Appeal Panel,“Appeal Panel” means the Data Protection Appeal Panel established by section 48P(1);,section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__authorised_officer,authorised officer,"“authorised officer”, in relation to the exercise of any power or performance of any function or duty under any provision of this Act, means a person to whom the exercise of that power or performance of that function or duty under that provision has been delegated under section 38 of the Info‑communications Media Development Authority Act 2016;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__authority,Authority,“Authority” means the Info‑communications Media Development Authority established by section 3 of the Info‑communications Media Development Authority Act 2016;,section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__benefit_plan,benefit plan,"“benefit plan” means an insurance policy, a pension plan, an annuity, a provident fund plan or other similar plan;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__business,business,"“business” includes the activity of any organisation, whether or not carried on for purposes of gain, or conducted on a regular, repetitive or continuous basis, but does not include an individual acting in his or her personal or domestic capacity;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__business_contact_information,business contact information,"“business contact information” means an individual’s name, position name or title, business telephone number, business address, business electronic mail address or business fax number and any other similar information about the individual, not provided by the individual solely for his or her personal purposes;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__chief_executive,Chief Executive,"“Chief Executive”, in relation to the Authority, means the Chief Executive of the Authority appointed under section 40(2) of the Info‑communications Media Development Authority Act 2016, and includes any individual acting in that capacity;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__commission,Commission,“Commission” means the person designated as the Personal Data Protection Commission under section 5 to be responsible for the administration of this Act;,section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__commissioner,Commissioner,"“Commissioner” means the Commissioner for Personal Data Protection appointed under section 8(1)(a), and includes any Deputy Commissioner for Personal Data Protection or Assistant Commissioner for Personal Data Protection appointed under section 8(1)(b);",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__credit_bureau,credit bureau,"“credit bureau” means an organisation which — (a) provides credit reports for gain or profit; or (b) provides credit reports on a routine, non‑profit basis as an ancillary part of a business carried on for gain or profit;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__credit_report,credit report,"“credit report” means a communication, whether in written, oral or other form, provided to an organisation to assess the creditworthiness of an individual in relation to a transaction between the organisation and the individual;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__data_intermediary,data intermediary,“data intermediary” means an organisation which processes personal data on behalf of another organisation but does not include an employee of that other organisation;,section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__derived_personal_data,derived personal data,"“derived personal data” — (a) means personal data about an individual that is derived by an organisation in the course of business from other personal data, about the individual or another individual, in the possession or under the control of the organisation; but (b) does not include personal data derived by the organisation using any prescribed means or method;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__document,document,“document” includes information recorded in any form;,section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__domestic,domestic,“domestic” means related to home or family;,section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__education_institution,education institution,"“education institution” means an organisation that provides education, including instruction, training or teaching, whether by itself or in association or collaboration with, or by affiliation with, any other person;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__employee,employee,“employee” includes a volunteer;,section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__employment,employment,“employment” includes working under an unpaid volunteer work relationship;,section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__evaluative_purpose,evaluative purpose,"“evaluative purpose” means — (a) the purpose of determining the suitability, eligibility or qualifications of the individual to whom the data relates — (i) for employment or for appointment to office; (ii) for promotion in employment or office or for continuance in employment or office; (iii) for removal from employment or office; (iv) for admission to an education institution; (v) for the awarding of contracts, awards, bursaries, scholarships, honours or other similar benefits; (vi) for selection for an athletic or artistic purpose; or (vii) for grant of financial or social assistance, or the delivery of appropriate health services, under any scheme administered by a public agency; (b) the purpose of determining whether any contract, award, bursary, scholarship, honour or other similar benefit should be continued, modified or cancelled; (c) the purpose of deciding whether to insure any individual or property or to continue or renew the insurance of any individual or property; or (d) such other similar purposes as the Minister may prescribe;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__individual,individual,"“individual” means a natural person, whether living or deceased;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__inspector,inspector,“inspector” means an individual appointed as an inspector under section 8(1)(b);,section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__investigation,investigation,"“investigation” means an investigation relating to — (a) a breach of an agreement; (b) a contravention of any written law, or any rule of professional conduct or other requirement imposed by any regulatory authority in exercise of its powers under any written law; or (c) a circumstance or conduct that may result in a remedy or relief being available under any law;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__national_interest,national interest,"“national interest” includes national defence, national security, public security, the maintenance of essential services and the conduct of international affairs;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
def_s_2__organisation,organisation,"“organisation” includes any individual, company, association or body of persons, corporate or unincorporated, whether or not — (a) formed or recognised under the law of Singapore; or (b) resident, or having an office or a place of business, in Singapore;",section 2,s_2(1),Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
