part_id,number,title,source_document
part_1,1,PRELIMINARY,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
part_2,2,PERSONAL DATA PROTECTION COMMISSION AND ADMINISTRATION,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
part_3,3,GENERAL RULES WITH RESPECT TO PROTECTION OF AND ACCOUNTABILITY FOR PERSONAL DATA,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
part_4,4,"COLLECTION, USE AND DISCLOSURE OF PERSONAL DATA",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
part_5,5,ACCESS TO AND CORRECTION OF PERSONAL DATA,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
part_6,6,CARE OF PERSONAL DATA,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
part_6A,6A,NOTIFICATION OF DATA BREACHES,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
part_7,7,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
part_8,8,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
part_9,9,DO NOT CALL REGISTRY,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
part_9A,9A,DICTIONARY ATTACKS AND ADDRESS‑HARVESTING SOFTWARE,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
part_9B,9B,OFFENCES AFFECTING PERSONAL DATA AND ANONYMISED INFORMATION,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
part_9C,9C,ENFORCEMENT,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
part_9D,9D,APPEALS,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
part_10,10,GENERAL,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
