penalty_id,penalty_type,imposed_by,max_fine,max_imprisonment,turnover_cap,turnover_threshold,continuing_offence_fine,provision,provision_id,verbatim_text,source_document
pen_001,criminal penalty,on conviction,"$10,000",3 years,,,"$1,000 for every day or part of a day during which the offence continues after conviction",56,s_56,"A person guilty of an offence under this Act for which no penalty is expressly provided shall be liable on conviction to a fine not exceeding $10,000 or to imprisonment for a term not exceeding 3 years or to both and, in the case of a continuing offence, to a further fine not exceeding $1,000 for every day or part of a day during which the offence continues after conviction.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
pen_002,criminal penalty,on conviction,"$10,000",,,,,42(2),s_42(2),"(2) A telecommunications service provider which contravenes subsection (1) shall be guilty of an offence and shall be liable on conviction to a fine not exceeding $10,000.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
pen_003,criminal penalty,on conviction,"$5,000",2 years,,,,48D(1),s_48D(1),"(1) If — the individual shall be guilty of an offence and shall be liable on conviction to a fine not exceeding $5,000 or to imprisonment for a term not exceeding 2 years or to both.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
pen_004,criminal penalty,on conviction,"$5,000",2 years,,,,48E(1),s_48E(1),"(1) If — the individual shall be guilty of an offence and shall be liable on conviction to a fine not exceeding $5,000 or to imprisonment for a term not exceeding 2 years or to both.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
pen_005,criminal penalty,on conviction,"$5,000",2 years,,,,48F(1),s_48F(1),"(1) If — the individual shall be guilty of an offence and shall be liable on conviction to a fine not exceeding $5,000 or to imprisonment for a term not exceeding 2 years or to both.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
pen_006,financial penalty,the Commission,,,10% of the annual turnover in Singapore of the organisation,annual turnover in Singapore exceeds $10 million,,48J(3)(a),s_48J(3)(a),(a) in the case of a contravention on or after the date of commencement of section 24 of the Personal Data Protection (Amendment) Act 2020 by an organisation whose annual turnover in Singapore exceeds $10 million — 10% of the annual turnover in Singapore of the organisation;,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
pen_007,financial penalty,the Commission,$1 million,,,,,48J(3)(b),s_48J(3)(b),(b) in any other case — $1 million.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
pen_008,financial penalty,the Commission,"$200,000",,,,,48J(4)(a),s_48J(4)(a),"(a) in the case of an individual — $200,000;",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
pen_009,financial penalty,the Commission,$1 million,,,,,48J(4)(b),s_48J(4)(b),(b) in any other case — $1 million.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
pen_010,financial penalty,the Commission,"$200,000",,,,,48J(4A)(a),s_48J(4A)(a),"(a) in the case of an individual — $200,000;",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
pen_011,financial penalty,the Commission,,,5% of the annual turnover of the person in Singapore,annual turnover in Singapore exceeds $20 million,,48J(4A)(b),s_48J(4A)(b),(b) in the case of a contravention on or after the date of commencement of section 24 of the Personal Data Protection (Amendment) Act 2020 by a person whose annual turnover in Singapore exceeds $20 million — 5% of the annual turnover of the person in Singapore;,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
pen_012,financial penalty,the Commission,$1 million,,,,,48J(4A)(c),s_48J(4A)(c),(c) in any other case — $1 million.,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
pen_013,criminal penalty,on conviction,"$5,000",12 months,,,,51(2),s_51(2),"(2) A person guilty of an offence under subsection (1) shall be liable on conviction to a fine not exceeding $5,000 or to imprisonment for a term not exceeding 12 months or to both.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
pen_014,criminal penalty,on conviction,"$5,000",12 months,,,,51(4)(a),s_51(4)(a),"(a) in the case of an individual, to a fine not exceeding $5,000 or to imprisonment for a term not exceeding 12 months or to both; and",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
pen_015,criminal penalty,on conviction,"$50,000",,,,,51(4)(b),s_51(4)(b),"(b) in any other case, to a fine not exceeding $50,000.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
pen_016,criminal penalty,on conviction,"$10,000",12 months,,,,51(5)(a),s_51(5)(a),"(a) in the case of an individual, to a fine not exceeding $10,000 or to imprisonment for a term not exceeding 12 months or to both; and",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
pen_017,criminal penalty,on conviction,"$100,000",,,,,51(5)(b),s_51(5)(b),"(b) in any other case, to a fine not exceeding $100,000.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
pen_018,criminal penalty,on conviction,"$5,000",6 months,,,,51(6)(a),s_51(6)(a),"(a) in the case of an individual — to a fine not exceeding $5,000 or to imprisonment for a term not exceeding 6 months or to both; and",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
pen_019,criminal penalty,on conviction,"$10,000",,,,,51(6)(b),s_51(6)(b),"(b) in any other case — to a fine not exceeding $10,000.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
pen_020,composition sum,the Commission,the lower of the following:,,,,,55(1),s_55(1),(1) The Commission may compound any offence under this Act (except Part 9) that is prescribed as a compoundable offence by collecting from a person reasonably suspected of having committed the offence a sum not exceeding the lower of the following:,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
pen_021,composition sum,the Commission,"$1,000",,,,,55(2),s_55(2),"(2) The Commission may compound any offence under Part 9 that is prescribed as a compoundable offence by collecting from a person reasonably suspected of having committed the offence a sum not exceeding $1,000.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
pen_022,criminal penalty,on conviction,"$2,000",6 months,,,,61(2),s_61(2),"(2) A person who, without the authority of the Commission, uses a symbol or representation identical with that of the Commission, or which so resembles the symbol or representation of the Commission as to deceive or cause confusion, or to be likely to deceive or to cause confusion, shall be guilty of an offence and shall be liable on conviction to a fine not exceeding $2,000 or to imprisonment for a term not exceeding 6 months or to both.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
pen_023,criminal penalty,on conviction,"$5,000",6 months,,,,4(4),sch_7_para4(4),"(4) Where any person being duly summoned to attend before an Appeal Committee does not so attend, that person shall be guilty of an offence and shall be liable on conviction to a fine not exceeding $5,000 or to imprisonment for a term not exceeding 6 months or to both.",Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
