schedule_id,name,ordinal,authority,title,status,note,source_document
sch_1,FIRST SCHEDULE,1,Section 17(1) and Fifth and Twelfth Schedules,"COLLECTION, USE AND DISCLOSURE OF PERSONAL DATA WITHOUT CONSENT",in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_2,SECOND SCHEDULE,2,Sections 2(1) and 17(1),"ADDITIONAL BASES FOR COLLECTION, USE AND DISCLOSURE OF PERSONAL DATA WITHOUT CONSENT",in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_3,THIRD SCHEDULE,3,,[Repealed],repealed,[Repealed by Act 40 of 2020],Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_4,FOURTH SCHEDULE,4,,[Repealed],repealed,[Repealed by Act 40 of 2020],Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_5,FIFTH SCHEDULE,5,Section 21(2),EXCEPTIONS FROM ACCESS REQUIREMENT,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_6,SIXTH SCHEDULE,6,Section 22(7),EXCEPTIONS FROM CORRECTION REQUIREMENT,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_7,SEVENTH SCHEDULE,7,Section 48P(5),CONSTITUTION AND PROCEEDINGS OF DATA PROTECTION APPEAL PANEL AND DATA PROTECTION APPEAL COMMITTEES,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_8,EIGHTH SCHEDULE,8,Section 37(5),EXCLUSION FROM MEANING OF “SPECIFIED MESSAGE”,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_9,NINTH SCHEDULE,9,Section 50(2),POWERS OF INVESTIGATION OF COMMISSION AND INSPECTORS,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_10,TENTH SCHEDULE,10,Section 37(6),APPLICABLE PURPOSES,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
sch_11,ELEVENTH SCHEDULE,11,Section 48F(4),SPECIFIED PURPOSES,in force,,Personal Data Protection Act 2012 (2020 Revised Edition) — KB 2/Singapore/Personal Data Protection Act (PDPA).pdf
