source_id,target_id,rel_type,paragraph_number
sch_1_p1,sch_1_p1_para1,HAS_PARAGRAPH,1
sch_1_p1,sch_1_p1_para2,HAS_PARAGRAPH,2
sch_1_p1,sch_1_p1_para3,HAS_PARAGRAPH,3
sch_1_p1,sch_1_p1_para4,HAS_PARAGRAPH,4
sch_1_p2,sch_1_p2_para1,HAS_PARAGRAPH,1
sch_1_p2,sch_1_p2_para2,HAS_PARAGRAPH,2
sch_1_p2,sch_1_p2_para3,HAS_PARAGRAPH,3
sch_1_p2,sch_1_p2_para4,HAS_PARAGRAPH,4
sch_1_p2,sch_1_p2_para5,HAS_PARAGRAPH,5
sch_1_p2,sch_1_p2_para6,HAS_PARAGRAPH,6
sch_1_p3,sch_1_p3_para1,HAS_PARAGRAPH,1
sch_1_p3,sch_1_p3_para2,HAS_PARAGRAPH,2
sch_1_p3,sch_1_p3_para3,HAS_PARAGRAPH,3
sch_1_p3,sch_1_p3_para4,HAS_PARAGRAPH,4
sch_1_p3,sch_1_p3_para5,HAS_PARAGRAPH,5
sch_1_p3,sch_1_p3_para6,HAS_PARAGRAPH,6
sch_1_p3,sch_1_p3_para7,HAS_PARAGRAPH,7
sch_1_p3,sch_1_p3_para8,HAS_PARAGRAPH,8
sch_1_p3,sch_1_p3_para9,HAS_PARAGRAPH,9
sch_1_p3,sch_1_p3_para10,HAS_PARAGRAPH,10
sch_1_p4,sch_1_p4_para1,HAS_PARAGRAPH,1
sch_1_p4,sch_1_p4_para2,HAS_PARAGRAPH,2
sch_1_p4,sch_1_p4_para3,HAS_PARAGRAPH,3
sch_1_p5,sch_1_p5_para1,HAS_PARAGRAPH,1
sch_1_p5,sch_1_p5_para2,HAS_PARAGRAPH,2
sch_2_p1,sch_2_p1_para1,HAS_PARAGRAPH,1
sch_2_p2_d1,sch_2_p2_d1_para1,HAS_PARAGRAPH,1
sch_2_p2_d2,sch_2_p2_d2_para1,HAS_PARAGRAPH,1
sch_2_p2_d3,sch_2_p2_d3_para1,HAS_PARAGRAPH,1
sch_2_p3_d1,sch_2_p3_d1_para1,HAS_PARAGRAPH,1
sch_2_p3_d1,sch_2_p3_d1_para2,HAS_PARAGRAPH,2
sch_2_p3_d1,sch_2_p3_d1_para3,HAS_PARAGRAPH,3
sch_2_p3_d1,sch_2_p3_d1_para4,HAS_PARAGRAPH,4
sch_2_p3_d2,sch_2_p3_d2_para1,HAS_PARAGRAPH,1
sch_5,sch_5_para1,HAS_PARAGRAPH,1
sch_5,sch_5_para2,HAS_PARAGRAPH,2
sch_6,sch_6_para1,HAS_PARAGRAPH,1
sch_7,sch_7_para1,HAS_PARAGRAPH,1
sch_7,sch_7_para2,HAS_PARAGRAPH,2
sch_7,sch_7_para2A,HAS_PARAGRAPH,2A
sch_7,sch_7_para2B,HAS_PARAGRAPH,2B
sch_7,sch_7_para3,HAS_PARAGRAPH,3
sch_7,sch_7_para4,HAS_PARAGRAPH,4
sch_7,sch_7_para5,HAS_PARAGRAPH,5
sch_7,sch_7_para6,HAS_PARAGRAPH,6
sch_7,sch_7_para7,HAS_PARAGRAPH,7
sch_8,sch_8_para1,HAS_PARAGRAPH,1
sch_9,sch_9_para1,HAS_PARAGRAPH,1
sch_9,sch_9_para1A,HAS_PARAGRAPH,1A
sch_9,sch_9_para2,HAS_PARAGRAPH,2
sch_9,sch_9_para3,HAS_PARAGRAPH,3
sch_10,sch_10_para1,HAS_PARAGRAPH,1
sch_10,sch_10_para2,HAS_PARAGRAPH,2
sch_10,sch_10_para3,HAS_PARAGRAPH,3
sch_10,sch_10_para4,HAS_PARAGRAPH,4
sch_10,sch_10_para5,HAS_PARAGRAPH,5
sch_10,sch_10_para6,HAS_PARAGRAPH,6
sch_10,sch_10_para7,HAS_PARAGRAPH,7
sch_10,sch_10_para8,HAS_PARAGRAPH,8
sch_10,sch_10_para9,HAS_PARAGRAPH,9
sch_11,sch_11_para1,HAS_PARAGRAPH,1
sch_11,sch_11_para2,HAS_PARAGRAPH,2
sch_11,sch_11_para3,HAS_PARAGRAPH,3
