article_id,article_number,title,chapter_id,section_id,chapeau_text,is_deleted,source_document
ART_1,1,Purpose,CH_I,,"The purpose of this Act is to protect the freedom and rights of individuals, and further, to realize the dignity and value of the individuals, by prescribing the processing and protection of personal information. <Amended by Act No. 12504, Mar. 24, 2014>",false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_2,2,Definitions,CH_I,,"The terms used in this Act shall be defined as follows: <Amended by Act No. 12504, Mar. 24, 2014; Act No. 16930, Feb. 4, 2020>",false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_3,3,Principles for Protecting Personal Information,CH_I,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_4,4,Rights of Data Subjects,CH_I,,A data subject has the following rights in relation to the processing of his or her own personal information:,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_5,5,"Obligations of State, etc.",CH_I,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_6,6,Relationship to other Acts,CH_I,,"The protection of personal information shall be governed by this Act, except where special provisions exist in other laws. <Amended by Act No. 12504, Mar. 24, 2014>",false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7,7,Personal Information Protection Commission,CH_II,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-2,7-2,Composition of the Protection Commission,CH_II,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-3,7-3,Chairperson,CH_II,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-4,7-4,Term of Office of Commissioners,CH_II,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-5,7-5,Status Guarantee for Commissioners,CH_II,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-6,7-6,Prohibition on Dual Office Holding,CH_II,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-7,7-7,Grounds for Disqualification,CH_II,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-8,7-8,Affairs under Jurisdiction of the Protection Commission,CH_II,,The Protection Commission shall perform the following affairs:,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-9,7-9,Matters to be Deliberated and Resolved on by the Protection Commission,CH_II,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-10,7-10,Meetings,CH_II,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-11,7-11,"Disqualification of, Challenge to, and Refrainment by, Commissioners",CH_II,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-12,7-12,Subcommission,CH_II,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-13,7-13,Secretariat,CH_II,,"The Protection Commission shall have a secretariat to handle its work, and matters that are not specified in this Act in relation to the organization of the Protection Commission shall be prescribed by Presidential Decree.",false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_7-14,7-14,Operation,CH_II,,Matters that are not specified in this Act and other statutes in relation to the operation of the Protection Commission shall be prescribed by the rules of the Protection Commission.,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_8,8,"Deleted. <by Act No. 16930, Feb. 4, 2020>",CH_II,,,true,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_8-2,8-2,Assessment of Data Breach Incident Factors,CH_II,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_9,9,Master Plan,CH_II,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_10,10,Implementation Plan,CH_II,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_11,11,"Request for Materials, etc.",CH_II,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_12,12,Personal Information Protection Guidelines,CH_II,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_13,13,Promotion and Support of Self-Regulation,CH_II,,"The Protection Commission shall establish policies necessary for the following matters to promote and support self-regulating activities of personal information controllers to protect personal information: <Amended by Act No. 11690, Mar. 23, 2013; Act No. 12844, Nov. 19, 2014; Act No. 14839, Jul. 26, 2017; Act No 16930, February. 4, 2020>",false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_14,14,International Cooperation,CH_II,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_15,15,Collection and Use of Personal Information,CH_III,CH_III_S1,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_16,16,Limitation to Collection of Personal Information,CH_III,CH_III_S1,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_17,17,Provision of Personal Information,CH_III,CH_III_S1,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_18,18,Limitation to Out-of-Purpose Use and Provision of Personal Information,CH_III,CH_III_S1,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_19,19,Limitation to Use and Provision of Personal Information on Part of Its Recipients,CH_III,CH_III_S1,"A person who receives personal information from a personal information controller shall not use the personal information, or provide it to a third party, for any purpose other than the intended one, except in the following circumstances:",false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_20,20,"Notification on Sources, etc. of Personal Information Collected from Third Parties",CH_III,CH_III_S1,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_21,21,Destruction of Personal Information,CH_III,CH_III_S1,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_22,22,Methods of Obtaining Consent,CH_III,CH_III_S1,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_23,23,Limitation to Processing of Sensitive Information,CH_III,CH_III_S2,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_24,24,Limitation to Processing of Personally Identifiable Information,CH_III,CH_III_S2,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_24-2,24-2,Limitation to Processing of Resident Registration Numbers,CH_III,CH_III_S2,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_25,25,Limitation to Installation and Operation of Visual Data Processing Devices,CH_III,CH_III_S2,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_26,26,Limitation to Personal Information Processing Subsequent to Outsourcing of Work,CH_III,CH_III_S2,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_27,27,"Limitation to Transfer of Personal Information following Business Transfer, etc.",CH_III,CH_III_S2,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_28,28,Supervision of Personal Information Handlers,CH_III,CH_III_S2,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_28-2,28-2,Processing of Pseudonymous Data,CH_III,CH_III_S3,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_28-3,28-3,Restriction on Combination of Pseudonymous Data,CH_III,CH_III_S3,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_28-4,28-4,Obligation to Take Safety Measures for Pseudonymous Data,CH_III,CH_III_S3,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_28-5,28-5,Prohibited Acts for the Processing of the Pseudonymized Information,CH_III,CH_III_S3,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_28-6,28-6,Imposition of Administrative Surcharges for the Processing of the Pseudonymized Information,CH_III,CH_III_S3,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_28-7,28-7,Scope of Application,CH_III,CH_III_S3,"@Articles 20, 21, 27, 34 (1), 35 through 37, 39-3, 39-4, 39-6 through 39-8 shall not apply to the pseudonymized information.",false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_29,29,Duty of Safeguards,CH_IV,,"Every personal information controller shall take such technical, managerial, and physical measures as establishing an internal management plan and preserving access records, etc. that are necessary to ensure safety as prescribed by Presidential Decree so that the personal information may not be lost, stolen, divulged, forged, altered, or damaged. <Amended by Act No. 13423, Jul. 24, 2015>",false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_30,30,Establishment and Disclosure of Privacy Policy,CH_IV,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_31,31,Designation of Privacy Officers,CH_IV,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_32,32,Registration and Disclosure of Personal Information Files,CH_IV,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_32-2,32-2,Certification of Personal Information Protection,CH_IV,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_33,33,Privacy Impact Assessment,CH_IV,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_34,34,Data Breach Notification,CH_IV,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_34-2,34-2,"Imposition, etc. of Penalty Surcharges",CH_IV,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_35,35,Access to Personal Information,CH_V,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
ART_36,36,Rectification or Erasure of Personal Information,CH_V,,,false,KB 2/South Korea/Personal Information Protection Act (PIPA).pdf
