source_id,target_id,rel_type
ART_12_P1,DEF_Standard_Guidelines,DEFINES
ART_23_P1,DEF_sensitive_information,DEFINES
ART_24_P1,DEF_personally_identifiable_information,DEFINES
ART_25_P4,DEF_VDPD_operator,DEFINES
ART_26_P2,DEF_outsourcee,DEFINES
ART_26_P2,DEF_outsourcer,DEFINES
ART_27_P1_SP2,DEF_business_transferee_etc,DEFINES
ART_28_P1,DEF_personal_information_handler,DEFINES
ART_2_SP1,DEF_personal_information,DEFINES
ART_2_SP1-2,DEF_pseudonymization,DEFINES
ART_2_SP1_ITc,DEF_pseudonymized_information,DEFINES
ART_2_SP2,DEF_processing,DEFINES
ART_2_SP3,DEF_data_subject,DEFINES
ART_2_SP4,DEF_personal_information_file,DEFINES
ART_2_SP5,DEF_personal_information_controller,DEFINES
ART_2_SP6,DEF_public_institution,DEFINES
ART_2_SP7,DEF_visual_data_processing_devices,DEFINES
ART_2_SP8,DEF_scientific_research,DEFINES
ART_30_P1,DEF_Privacy_Policy,DEFINES
ART_33_P1,DEF_PIA_institution,DEFINES
ART_33_P1,DEF_privacy_impact_assessment,DEFINES
ART_38_P1,DEF_request_for_access_etc,DEFINES
ART_39-11_P1,DEF_domestic_agent,DEFINES
ART_39-12_P2,DEF_transfer,DEFINES
ART_39-14,DEF_broadcasting_service_provider_etc,DEFINES
ART_39-4_P1,DEF_divulgence_etc,DEFINES
ART_39-4_P1,DEF_information_and_communications_service_provider_etc,DEFINES
ART_40_P1,DEF_Dispute_Mediation_Committee,DEFINES
ART_49_P1,DEF_collective_dispute_mediation,DEFINES
ART_51,DEF_class_action_lawsuit,DEFINES
ART_62_P2,DEF_Privacy_Call_Center,DEFINES
ART_7_P1,DEF_Protection_Commission,DEFINES
ART_9_P1,DEF_Master_Plan,DEFINES
