source_id,target_id,rel_type
ART_10,ART_10_P1,HAS_PARAGRAPH
ART_10,ART_10_P2,HAS_PARAGRAPH
ART_11,ART_11_P1,HAS_PARAGRAPH
ART_11,ART_11_P2,HAS_PARAGRAPH
ART_11,ART_11_P3,HAS_PARAGRAPH
ART_11,ART_11_P4,HAS_PARAGRAPH
ART_11,ART_11_P5,HAS_PARAGRAPH
ART_12,ART_12_P1,HAS_PARAGRAPH
ART_12,ART_12_P2,HAS_PARAGRAPH
ART_12,ART_12_P3,HAS_PARAGRAPH
ART_14,ART_14_P1,HAS_PARAGRAPH
ART_14,ART_14_P2,HAS_PARAGRAPH
ART_15,ART_15_P1,HAS_PARAGRAPH
ART_15,ART_15_P2,HAS_PARAGRAPH
ART_15,ART_15_P3,HAS_PARAGRAPH
ART_16,ART_16_P1,HAS_PARAGRAPH
ART_16,ART_16_P2,HAS_PARAGRAPH
ART_16,ART_16_P3,HAS_PARAGRAPH
ART_17,ART_17_P1,HAS_PARAGRAPH
ART_17,ART_17_P2,HAS_PARAGRAPH
ART_17,ART_17_P3,HAS_PARAGRAPH
ART_17,ART_17_P4,HAS_PARAGRAPH
ART_18,ART_18_P1,HAS_PARAGRAPH
ART_18,ART_18_P2,HAS_PARAGRAPH
ART_18,ART_18_P3,HAS_PARAGRAPH
ART_18,ART_18_P4,HAS_PARAGRAPH
ART_18,ART_18_P5,HAS_PARAGRAPH
ART_20,ART_20_P1,HAS_PARAGRAPH
ART_20,ART_20_P2,HAS_PARAGRAPH
ART_20,ART_20_P3,HAS_PARAGRAPH
ART_20,ART_20_P4,HAS_PARAGRAPH
ART_21,ART_21_P1,HAS_PARAGRAPH
ART_21,ART_21_P2,HAS_PARAGRAPH
ART_21,ART_21_P3,HAS_PARAGRAPH
ART_21,ART_21_P4,HAS_PARAGRAPH
ART_22,ART_22_P1,HAS_PARAGRAPH
ART_22,ART_22_P2,HAS_PARAGRAPH
ART_22,ART_22_P3,HAS_PARAGRAPH
ART_22,ART_22_P4,HAS_PARAGRAPH
ART_22,ART_22_P5,HAS_PARAGRAPH
ART_22,ART_22_P6,HAS_PARAGRAPH
ART_22,ART_22_P7,HAS_PARAGRAPH
ART_23,ART_23_P1,HAS_PARAGRAPH
ART_23,ART_23_P2,HAS_PARAGRAPH
ART_24,ART_24_P1,HAS_PARAGRAPH
ART_24,ART_24_P2,HAS_PARAGRAPH
ART_24,ART_24_P3,HAS_PARAGRAPH
ART_24,ART_24_P4,HAS_PARAGRAPH
ART_24,ART_24_P5,HAS_PARAGRAPH
ART_24-2,ART_24-2_P1,HAS_PARAGRAPH
ART_24-2,ART_24-2_P2,HAS_PARAGRAPH
ART_24-2,ART_24-2_P3,HAS_PARAGRAPH
ART_24-2,ART_24-2_P4,HAS_PARAGRAPH
ART_25,ART_25_P1,HAS_PARAGRAPH
ART_25,ART_25_P2,HAS_PARAGRAPH
ART_25,ART_25_P3,HAS_PARAGRAPH
ART_25,ART_25_P4,HAS_PARAGRAPH
ART_25,ART_25_P5,HAS_PARAGRAPH
ART_25,ART_25_P6,HAS_PARAGRAPH
ART_25,ART_25_P7,HAS_PARAGRAPH
ART_25,ART_25_P8,HAS_PARAGRAPH
ART_26,ART_26_P1,HAS_PARAGRAPH
ART_26,ART_26_P2,HAS_PARAGRAPH
ART_26,ART_26_P3,HAS_PARAGRAPH
