source_id,target_id,rel_type
ART_13,ART_13_SP1,HAS_SUBPARAGRAPH
ART_13,ART_13_SP2,HAS_SUBPARAGRAPH
ART_13,ART_13_SP3,HAS_SUBPARAGRAPH
ART_13,ART_13_SP4,HAS_SUBPARAGRAPH
ART_13,ART_13_SP5,HAS_SUBPARAGRAPH
ART_15_P1,ART_15_P1_SP1,HAS_SUBPARAGRAPH
ART_15_P1,ART_15_P1_SP2,HAS_SUBPARAGRAPH
ART_15_P1,ART_15_P1_SP3,HAS_SUBPARAGRAPH
ART_15_P1,ART_15_P1_SP4,HAS_SUBPARAGRAPH
ART_15_P1,ART_15_P1_SP5,HAS_SUBPARAGRAPH
ART_15_P1,ART_15_P1_SP6,HAS_SUBPARAGRAPH
ART_15_P2,ART_15_P2_SP1,HAS_SUBPARAGRAPH
ART_15_P2,ART_15_P2_SP2,HAS_SUBPARAGRAPH
ART_15_P2,ART_15_P2_SP3,HAS_SUBPARAGRAPH
ART_15_P2,ART_15_P2_SP4,HAS_SUBPARAGRAPH
ART_17_P1,ART_17_P1_SP1,HAS_SUBPARAGRAPH
ART_17_P1,ART_17_P1_SP2,HAS_SUBPARAGRAPH
ART_17_P2,ART_17_P2_SP1,HAS_SUBPARAGRAPH
ART_17_P2,ART_17_P2_SP2,HAS_SUBPARAGRAPH
ART_17_P2,ART_17_P2_SP3,HAS_SUBPARAGRAPH
ART_17_P2,ART_17_P2_SP4,HAS_SUBPARAGRAPH
ART_17_P2,ART_17_P2_SP5,HAS_SUBPARAGRAPH
ART_18_P2,ART_18_P2_SP1,HAS_SUBPARAGRAPH
ART_18_P2,ART_18_P2_SP2,HAS_SUBPARAGRAPH
ART_18_P2,ART_18_P2_SP3,HAS_SUBPARAGRAPH
ART_18_P2,ART_18_P2_SP4,HAS_SUBPARAGRAPH
ART_18_P2,ART_18_P2_SP5,HAS_SUBPARAGRAPH
ART_18_P2,ART_18_P2_SP6,HAS_SUBPARAGRAPH
ART_18_P2,ART_18_P2_SP7,HAS_SUBPARAGRAPH
ART_18_P2,ART_18_P2_SP8,HAS_SUBPARAGRAPH
ART_18_P2,ART_18_P2_SP9,HAS_SUBPARAGRAPH
ART_18_P3,ART_18_P3_SP1,HAS_SUBPARAGRAPH
ART_18_P3,ART_18_P3_SP2,HAS_SUBPARAGRAPH
ART_18_P3,ART_18_P3_SP3,HAS_SUBPARAGRAPH
ART_18_P3,ART_18_P3_SP4,HAS_SUBPARAGRAPH
ART_18_P3,ART_18_P3_SP5,HAS_SUBPARAGRAPH
ART_19,ART_19_SP1,HAS_SUBPARAGRAPH
ART_19,ART_19_SP2,HAS_SUBPARAGRAPH
ART_2,ART_2_SP1,HAS_SUBPARAGRAPH
ART_2,ART_2_SP1-2,HAS_SUBPARAGRAPH
ART_2,ART_2_SP2,HAS_SUBPARAGRAPH
ART_2,ART_2_SP3,HAS_SUBPARAGRAPH
ART_2,ART_2_SP4,HAS_SUBPARAGRAPH
ART_2,ART_2_SP5,HAS_SUBPARAGRAPH
ART_2,ART_2_SP6,HAS_SUBPARAGRAPH
ART_2,ART_2_SP7,HAS_SUBPARAGRAPH
ART_2,ART_2_SP8,HAS_SUBPARAGRAPH
ART_20_P1,ART_20_P1_SP1,HAS_SUBPARAGRAPH
ART_20_P1,ART_20_P1_SP2,HAS_SUBPARAGRAPH
ART_20_P1,ART_20_P1_SP3,HAS_SUBPARAGRAPH
ART_20_P4,ART_20_P4_SP1,HAS_SUBPARAGRAPH
ART_20_P4,ART_20_P4_SP2,HAS_SUBPARAGRAPH
ART_23_P1,ART_23_P1_SP1,HAS_SUBPARAGRAPH
ART_23_P1,ART_23_P1_SP2,HAS_SUBPARAGRAPH
ART_24-2_P1,ART_24-2_P1_SP1,HAS_SUBPARAGRAPH
ART_24-2_P1,ART_24-2_P1_SP2,HAS_SUBPARAGRAPH
ART_24-2_P1,ART_24-2_P1_SP3,HAS_SUBPARAGRAPH
ART_24_P1,ART_24_P1_SP1,HAS_SUBPARAGRAPH
ART_24_P1,ART_24_P1_SP2,HAS_SUBPARAGRAPH
ART_25_P1,ART_25_P1_SP1,HAS_SUBPARAGRAPH
ART_25_P1,ART_25_P1_SP2,HAS_SUBPARAGRAPH
ART_25_P1,ART_25_P1_SP3,HAS_SUBPARAGRAPH
ART_25_P1,ART_25_P1_SP4,HAS_SUBPARAGRAPH
ART_25_P1,ART_25_P1_SP5,HAS_SUBPARAGRAPH
ART_25_P4,ART_25_P4_SP1,HAS_SUBPARAGRAPH
ART_25_P4,ART_25_P4_SP2,HAS_SUBPARAGRAPH
ART_25_P4,ART_25_P4_SP3,HAS_SUBPARAGRAPH
ART_25_P4,ART_25_P4_SP4,HAS_SUBPARAGRAPH
ART_26_P1,ART_26_P1_SP1,HAS_SUBPARAGRAPH
ART_26_P1,ART_26_P1_SP2,HAS_SUBPARAGRAPH
ART_26_P1,ART_26_P1_SP3,HAS_SUBPARAGRAPH
ART_27_P1,ART_27_P1_SP1,HAS_SUBPARAGRAPH
ART_27_P1,ART_27_P1_SP2,HAS_SUBPARAGRAPH
ART_27_P1,ART_27_P1_SP3,HAS_SUBPARAGRAPH
ART_30_P1,ART_30_P1_SP1,HAS_SUBPARAGRAPH
ART_30_P1,ART_30_P1_SP2,HAS_SUBPARAGRAPH
ART_30_P1,ART_30_P1_SP3,HAS_SUBPARAGRAPH
ART_30_P1,ART_30_P1_SP3-2,HAS_SUBPARAGRAPH
ART_30_P1,ART_30_P1_SP4,HAS_SUBPARAGRAPH
ART_30_P1,ART_30_P1_SP5,HAS_SUBPARAGRAPH
ART_30_P1,ART_30_P1_SP6,HAS_SUBPARAGRAPH
ART_30_P1,ART_30_P1_SP7,HAS_SUBPARAGRAPH
ART_30_P1,ART_30_P1_SP8,HAS_SUBPARAGRAPH
ART_31_P2,ART_31_P2_SP1,HAS_SUBPARAGRAPH
ART_31_P2,ART_31_P2_SP2,HAS_SUBPARAGRAPH
ART_31_P2,ART_31_P2_SP3,HAS_SUBPARAGRAPH
ART_31_P2,ART_31_P2_SP4,HAS_SUBPARAGRAPH
ART_31_P2,ART_31_P2_SP5,HAS_SUBPARAGRAPH
ART_31_P2,ART_31_P2_SP6,HAS_SUBPARAGRAPH
ART_31_P2,ART_31_P2_SP7,HAS_SUBPARAGRAPH
ART_32-2_P3,ART_32-2_P3_SP1,HAS_SUBPARAGRAPH
ART_32-2_P3,ART_32-2_P3_SP2,HAS_SUBPARAGRAPH
ART_32-2_P3,ART_32-2_P3_SP3,HAS_SUBPARAGRAPH
ART_32-2_P3,ART_32-2_P3_SP4,HAS_SUBPARAGRAPH
ART_32_P1,ART_32_P1_SP1,HAS_SUBPARAGRAPH
ART_32_P1,ART_32_P1_SP2,HAS_SUBPARAGRAPH
ART_32_P1,ART_32_P1_SP3,HAS_SUBPARAGRAPH
ART_32_P1,ART_32_P1_SP4,HAS_SUBPARAGRAPH
ART_32_P1,ART_32_P1_SP5,HAS_SUBPARAGRAPH
ART_32_P1,ART_32_P1_SP6,HAS_SUBPARAGRAPH
ART_32_P1,ART_32_P1_SP7,HAS_SUBPARAGRAPH
ART_32_P2,ART_32_P2_SP1,HAS_SUBPARAGRAPH
ART_32_P2,ART_32_P2_SP2,HAS_SUBPARAGRAPH
ART_32_P2,ART_32_P2_SP3,HAS_SUBPARAGRAPH
ART_32_P2,ART_32_P2_SP4,HAS_SUBPARAGRAPH
ART_32_P2,ART_32_P2_SP5,HAS_SUBPARAGRAPH
ART_33_P2,ART_33_P2_SP1,HAS_SUBPARAGRAPH
ART_33_P2,ART_33_P2_SP2,HAS_SUBPARAGRAPH
ART_33_P2,ART_33_P2_SP3,HAS_SUBPARAGRAPH
ART_33_P2,ART_33_P2_SP4,HAS_SUBPARAGRAPH
ART_34-2_P2,ART_34-2_P2_SP1,HAS_SUBPARAGRAPH
ART_34-2_P2,ART_34-2_P2_SP2,HAS_SUBPARAGRAPH
ART_34-2_P2,ART_34-2_P2_SP3,HAS_SUBPARAGRAPH
ART_34_P1,ART_34_P1_SP1,HAS_SUBPARAGRAPH
ART_34_P1,ART_34_P1_SP2,HAS_SUBPARAGRAPH
ART_34_P1,ART_34_P1_SP3,HAS_SUBPARAGRAPH
ART_34_P1,ART_34_P1_SP4,HAS_SUBPARAGRAPH
ART_34_P1,ART_34_P1_SP5,HAS_SUBPARAGRAPH
ART_35_P4,ART_35_P4_SP1,HAS_SUBPARAGRAPH
ART_35_P4,ART_35_P4_SP2,HAS_SUBPARAGRAPH
ART_35_P4,ART_35_P4_SP3,HAS_SUBPARAGRAPH
ART_37_P2,ART_37_P2_SP1,HAS_SUBPARAGRAPH
ART_37_P2,ART_37_P2_SP2,HAS_SUBPARAGRAPH
ART_37_P2,ART_37_P2_SP3,HAS_SUBPARAGRAPH
ART_37_P2,ART_37_P2_SP4,HAS_SUBPARAGRAPH
ART_39-11_P1,ART_39-11_P1_SP1,HAS_SUBPARAGRAPH
ART_39-11_P1,ART_39-11_P1_SP2,HAS_SUBPARAGRAPH
ART_39-11_P1,ART_39-11_P1_SP3,HAS_SUBPARAGRAPH
ART_39-11_P3,ART_39-11_P3_SP1,HAS_SUBPARAGRAPH
ART_39-11_P3,ART_39-11_P3_SP2,HAS_SUBPARAGRAPH
ART_39-12_P3,ART_39-12_P3_SP1,HAS_SUBPARAGRAPH
ART_39-12_P3,ART_39-12_P3_SP2,HAS_SUBPARAGRAPH
ART_39-12_P3,ART_39-12_P3_SP3,HAS_SUBPARAGRAPH
ART_39-12_P3,ART_39-12_P3_SP4,HAS_SUBPARAGRAPH
ART_39-15_P1,ART_39-15_P1_SP1,HAS_SUBPARAGRAPH
ART_39-15_P1,ART_39-15_P1_SP2,HAS_SUBPARAGRAPH
ART_39-15_P1,ART_39-15_P1_SP3,HAS_SUBPARAGRAPH
ART_39-15_P1,ART_39-15_P1_SP4,HAS_SUBPARAGRAPH
ART_39-15_P1,ART_39-15_P1_SP5,HAS_SUBPARAGRAPH
ART_39-15_P1,ART_39-15_P1_SP6,HAS_SUBPARAGRAPH
ART_39-15_P1,ART_39-15_P1_SP7,HAS_SUBPARAGRAPH
ART_39-15_P3,ART_39-15_P3_SP1,HAS_SUBPARAGRAPH
ART_39-15_P3,ART_39-15_P3_SP2,HAS_SUBPARAGRAPH
ART_39-15_P3,ART_39-15_P3_SP3,HAS_SUBPARAGRAPH
ART_39-3_P1,ART_39-3_P1_SP1,HAS_SUBPARAGRAPH
ART_39-3_P1,ART_39-3_P1_SP2,HAS_SUBPARAGRAPH
ART_39-3_P1,ART_39-3_P1_SP3,HAS_SUBPARAGRAPH
ART_39-3_P1_dup2,ART_39-3_P1_dup2_SP2,HAS_SUBPARAGRAPH
ART_39-3_P1_dup2,ART_39-3_P1_dup2_SP3,HAS_SUBPARAGRAPH
ART_39-3_P2,ART_39-3_P2_SP1,HAS_SUBPARAGRAPH
ART_39-4_P1,ART_39-4_P1_SP1,HAS_SUBPARAGRAPH
ART_39-4_P1,ART_39-4_P1_SP2,HAS_SUBPARAGRAPH
ART_39-4_P1,ART_39-4_P1_SP3,HAS_SUBPARAGRAPH
ART_39-4_P1,ART_39-4_P1_SP4,HAS_SUBPARAGRAPH
ART_39-4_P1,ART_39-4_P1_SP5,HAS_SUBPARAGRAPH
ART_39_P4,ART_39_P4_SP1,HAS_SUBPARAGRAPH
ART_39_P4,ART_39_P4_SP2,HAS_SUBPARAGRAPH
ART_39_P4,ART_39_P4_SP3,HAS_SUBPARAGRAPH
ART_39_P4,ART_39_P4_SP4,HAS_SUBPARAGRAPH
ART_39_P4,ART_39_P4_SP5,HAS_SUBPARAGRAPH
ART_39_P4,ART_39_P4_SP6,HAS_SUBPARAGRAPH
ART_39_P4,ART_39_P4_SP7,HAS_SUBPARAGRAPH
ART_39_P4,ART_39_P4_SP8,HAS_SUBPARAGRAPH
ART_4,ART_4_SP1,HAS_SUBPARAGRAPH
ART_4,ART_4_SP2,HAS_SUBPARAGRAPH
ART_4,ART_4_SP3,HAS_SUBPARAGRAPH
ART_4,ART_4_SP4,HAS_SUBPARAGRAPH
ART_4,ART_4_SP5,HAS_SUBPARAGRAPH
ART_40_P3,ART_40_P3_SP1,HAS_SUBPARAGRAPH
ART_40_P3,ART_40_P3_SP2,HAS_SUBPARAGRAPH
ART_40_P3,ART_40_P3_SP3,HAS_SUBPARAGRAPH
ART_40_P3,ART_40_P3_SP4,HAS_SUBPARAGRAPH
ART_40_P3,ART_40_P3_SP5,HAS_SUBPARAGRAPH
ART_42_P1,ART_42_P1_SP1,HAS_SUBPARAGRAPH
ART_42_P1,ART_42_P1_SP2,HAS_SUBPARAGRAPH
ART_42_P1,ART_42_P1_SP3,HAS_SUBPARAGRAPH
ART_42_P1,ART_42_P1_SP4,HAS_SUBPARAGRAPH
ART_47_P1,ART_47_P1_SP1,HAS_SUBPARAGRAPH
ART_47_P1,ART_47_P1_SP2,HAS_SUBPARAGRAPH
ART_47_P1,ART_47_P1_SP3,HAS_SUBPARAGRAPH
ART_51,ART_51_SP1,HAS_SUBPARAGRAPH
ART_51,ART_51_SP2,HAS_SUBPARAGRAPH
ART_54_P1,ART_54_P1_SP1,HAS_SUBPARAGRAPH
ART_54_P1,ART_54_P1_SP2,HAS_SUBPARAGRAPH
ART_54_P1,ART_54_P1_SP3,HAS_SUBPARAGRAPH
ART_54_P2,ART_54_P2_SP1,HAS_SUBPARAGRAPH
ART_54_P2,ART_54_P2_SP2,HAS_SUBPARAGRAPH
ART_55_P1,ART_55_P1_SP1,HAS_SUBPARAGRAPH
ART_55_P1,ART_55_P1_SP2,HAS_SUBPARAGRAPH
ART_56,ART_56_SP1,HAS_SUBPARAGRAPH
ART_56,ART_56_SP2,HAS_SUBPARAGRAPH
ART_58_P1,ART_58_P1_SP1,HAS_SUBPARAGRAPH
ART_58_P1,ART_58_P1_SP2,HAS_SUBPARAGRAPH
ART_58_P1,ART_58_P1_SP3,HAS_SUBPARAGRAPH
ART_58_P1,ART_58_P1_SP4,HAS_SUBPARAGRAPH
ART_59,ART_59_SP1,HAS_SUBPARAGRAPH
ART_59,ART_59_SP2,HAS_SUBPARAGRAPH
ART_59,ART_59_SP3,HAS_SUBPARAGRAPH
ART_60,ART_60_SP1,HAS_SUBPARAGRAPH
ART_60,ART_60_SP1-2,HAS_SUBPARAGRAPH
ART_60,ART_60_SP2,HAS_SUBPARAGRAPH
ART_60,ART_60_SP3,HAS_SUBPARAGRAPH
ART_62_P3,ART_62_P3_SP1,HAS_SUBPARAGRAPH
ART_62_P3,ART_62_P3_SP2,HAS_SUBPARAGRAPH
ART_62_P3,ART_62_P3_SP3,HAS_SUBPARAGRAPH
ART_63_P1,ART_63_P1_SP1,HAS_SUBPARAGRAPH
ART_63_P1,ART_63_P1_SP2,HAS_SUBPARAGRAPH
ART_63_P1,ART_63_P1_SP3,HAS_SUBPARAGRAPH
ART_64_P1,ART_64_P1_SP1,HAS_SUBPARAGRAPH
ART_64_P1,ART_64_P1_SP2,HAS_SUBPARAGRAPH
ART_64_P1,ART_64_P1_SP3,HAS_SUBPARAGRAPH
ART_67_P2,ART_67_P2_SP1,HAS_SUBPARAGRAPH
ART_67_P2,ART_67_P2_SP2,HAS_SUBPARAGRAPH
ART_67_P2,ART_67_P2_SP3,HAS_SUBPARAGRAPH
ART_67_P2,ART_67_P2_SP4,HAS_SUBPARAGRAPH
