source_id,target_id,rel_type
ART_28-6_P1,PEN_ART_28-6_P1,IMPOSES_PENALTY
ART_34-2_P1,PEN_ART_34-2_P1,IMPOSES_PENALTY
ART_39-15_P1,PEN_ART_39-15_P1,IMPOSES_PENALTY
ART_70,PEN_ART_70,IMPOSES_PENALTY
ART_71,PEN_ART_71,IMPOSES_PENALTY
ART_72,PEN_ART_72,IMPOSES_PENALTY
ART_73,PEN_ART_73,IMPOSES_PENALTY
ART_74_P1,PEN_ART_74_P1,IMPOSES_PENALTY
ART_75_P1,PEN_ART_75_P1,IMPOSES_PENALTY
ART_75_P2,PEN_ART_75_P2,IMPOSES_PENALTY
ART_75_P3,PEN_ART_75_P3,IMPOSES_PENALTY
ART_75_P4,PEN_ART_75_P4,IMPOSES_PENALTY
