article_id,number,label,heading,chapter_id,section_id,source_document
art_1,1,Art. 1,Purpose,ch_1,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_2,2,Art. 2,Personal and material scope of application,ch_1,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_3,3,Art. 3,Territorial scope of application,ch_1,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_4,4,Art. 4,Federal Data Protection and Information Commissioner,ch_1,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_5,5,Art. 5,Definitions,ch_2,sec_2_1,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_6,6,Art. 6,Principles,ch_2,sec_2_1,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_7,7,Art. 7,Data protection by design and data protection by default,ch_2,sec_2_1,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_8,8,Art. 8,Data security,ch_2,sec_2_1,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_9,9,Art. 9,Processing by processors,ch_2,sec_2_1,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_10,10,Art. 10,Data protection officer,ch_2,sec_2_1,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_11,11,Art. 11,Code of conduct,ch_2,sec_2_1,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_12,12,Art. 12,Record of processing activities,ch_2,sec_2_1,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_13,13,Art. 13,Certification,ch_2,sec_2_1,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_14,14,Art. 14,Representative,ch_2,sec_2_2,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_15,15,Art. 15,Duties of the representative,ch_2,sec_2_2,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_16,16,Art. 16,Principles,ch_2,sec_2_3,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_17,17,Art. 17,Exceptions,ch_2,sec_2_3,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_18,18,Art. 18,Publication of personal data in electronic form,ch_2,sec_2_3,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_19,19,Art. 19,Duty to provide information when collecting personal data,ch_3,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_20,20,Art. 20,Exceptions from the duty to provide information and restrictions,ch_3,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_21,21,Art. 21,Duty to provide information in the case of an automated individual decision,ch_3,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_22,22,Art. 22,Data protection impact assessment,ch_3,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_23,23,Art. 23,Consultation of the FDPIC,ch_3,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_24,24,Art. 24,Notifications of data security breaches,ch_3,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_25,25,Art. 25,Right to information,ch_4,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_26,26,Art. 26,Limitations on the right to information,ch_4,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_27,27,Art. 27,Limitation on the right to information for the media,ch_4,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_28,28,Art. 28,Right to data portability,ch_4,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_29,29,Art. 29,Restrictions on the right to data portability,ch_4,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_30,30,Art. 30,Breaches of personality rights,ch_5,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_31,31,Art. 31,Grounds for justification,ch_5,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_32,32,Art. 32,Legal rights,ch_5,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_33,33,Art. 33,Control and responsibility in the case of the joint processing of personal data,ch_6,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_34,34,Art. 34,Legal basis,ch_6,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_35,35,Art. 35,Automated data processing as part of pilot trials,ch_6,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_36,36,Art. 36,Disclosure of personal data,ch_6,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_37,37,Art. 37,Objecting to the disclosure of personal data,ch_6,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_38,38,Art. 38,Offering documents to the Federal Archives,ch_6,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_39,39,Art. 39,Data processing for purposes not related to specific persons,ch_6,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_40,40,Art. 40,Private law activities by federal bodies,ch_6,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_41,41,Art. 41,Rights and procedures,ch_6,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_42,42,Art. 42,Procedure for disclosing official documents that contain personal data,ch_6,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_43,43,Art. 43,Election and status,ch_7,sec_7_1,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_44,44,Art. 44,"Term of office, re-election and termination of office",ch_7,sec_7_1,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_44a,44a,Art. 44a,Reprimand,ch_7,sec_7_1,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
art_45,45,Art. 45,Budget,ch_7,sec_7_1,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
