definition_id,term,text,letter_id,citation,source_document
def_a,personal data,personal data means any information relating to an identified or identifiable natural person;,art_5_p0_a,Art. 5 let. a,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
def_b,data subject,data subject means a natural person whose personal data is processed;,art_5_p0_b,Art. 5 let. b,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
def_c,sensitive personal data,sensitive personal data means:,art_5_p0_c,Art. 5 let. c,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
def_d,processing,"processing means any handling of personal data, irrespective of the means and procedures used, in particular the collection, storage, keeping, use, modification, disclosure, archiving, deletion or destruction of data;",art_5_p0_d,Art. 5 let. d,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
def_e,disclosure,disclosure means transmitting personal data or making such data accessible;,art_5_p0_e,Art. 5 let. e,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
def_f,profiling,"profiling means any form of automated processing of personal data consisting of the use of personal data to evaluate certain personal aspects relating to a natural person, in particular to analyse or predict aspects concerning that natural person's performance at work, economic situation, health, personal preferences, interests, reliability, behaviour, location or movements;",art_5_p0_f,Art. 5 let. f,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
def_g,high-risk profiling,high-risk profiling means profiling that poses a high risk to the data subject's personality or fundamental rights by matching data that allow an assessment to be made of essential aspects of the personality of a natural person;,art_5_p0_g,Art. 5 let. g,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
def_h,breach of data security,"breach of data security means a breach of security that leads to the accidental or unlawful loss, deletion, destruction or modification or unauthorised disclosure or access to personal data;",art_5_p0_h,Art. 5 let. h,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
def_i,federal body,federal body means an authority or service of the Confederation or a person entrusted to carry out public tasks on behalf of the Confederation;,art_5_p0_i,Art. 5 let. i,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
def_j,controller,"controller means a private person who or federal body which, alone or jointly with others, determines the purpose and the means of processing personal data;",art_5_p0_j,Art. 5 let. j,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
def_k,processor,processor means a private person or federal body that processes personal data on behalf of the controller.,art_5_p0_k,Art. 5 let. k,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
