source_id,target_id,rel_type
art_1,art_1_p0,HAS_PARAGRAPH
art_2,art_2_p1,HAS_PARAGRAPH
art_2,art_2_p2,HAS_PARAGRAPH
art_2,art_2_p3,HAS_PARAGRAPH
art_2,art_2_p4,HAS_PARAGRAPH
art_3,art_3_p1,HAS_PARAGRAPH
art_3,art_3_p2,HAS_PARAGRAPH
art_4,art_4_p1,HAS_PARAGRAPH
art_4,art_4_p2,HAS_PARAGRAPH
art_5,art_5_p0,HAS_PARAGRAPH
art_6,art_6_p1,HAS_PARAGRAPH
art_6,art_6_p2,HAS_PARAGRAPH
art_6,art_6_p3,HAS_PARAGRAPH
art_6,art_6_p4,HAS_PARAGRAPH
art_6,art_6_p5,HAS_PARAGRAPH
art_6,art_6_p6,HAS_PARAGRAPH
art_6,art_6_p7,HAS_PARAGRAPH
art_7,art_7_p1,HAS_PARAGRAPH
art_7,art_7_p2,HAS_PARAGRAPH
art_7,art_7_p3,HAS_PARAGRAPH
art_8,art_8_p1,HAS_PARAGRAPH
art_8,art_8_p2,HAS_PARAGRAPH
art_8,art_8_p3,HAS_PARAGRAPH
art_9,art_9_p1,HAS_PARAGRAPH
art_9,art_9_p2,HAS_PARAGRAPH
art_9,art_9_p3,HAS_PARAGRAPH
art_9,art_9_p4,HAS_PARAGRAPH
art_10,art_10_p1,HAS_PARAGRAPH
art_10,art_10_p2,HAS_PARAGRAPH
art_10,art_10_p3,HAS_PARAGRAPH
art_10,art_10_p4,HAS_PARAGRAPH
art_11,art_11_p1,HAS_PARAGRAPH
art_11,art_11_p2,HAS_PARAGRAPH
art_12,art_12_p1,HAS_PARAGRAPH
art_12,art_12_p2,HAS_PARAGRAPH
art_12,art_12_p3,HAS_PARAGRAPH
art_12,art_12_p4,HAS_PARAGRAPH
art_12,art_12_p5,HAS_PARAGRAPH
art_13,art_13_p1,HAS_PARAGRAPH
art_13,art_13_p2,HAS_PARAGRAPH
art_14,art_14_p1,HAS_PARAGRAPH
art_14,art_14_p2,HAS_PARAGRAPH
art_14,art_14_p3,HAS_PARAGRAPH
art_15,art_15_p1,HAS_PARAGRAPH
art_15,art_15_p2,HAS_PARAGRAPH
art_15,art_15_p3,HAS_PARAGRAPH
art_16,art_16_p1,HAS_PARAGRAPH
art_16,art_16_p2,HAS_PARAGRAPH
art_16,art_16_p3,HAS_PARAGRAPH
art_17,art_17_p1,HAS_PARAGRAPH
art_17,art_17_p2,HAS_PARAGRAPH
art_18,art_18_p0,HAS_PARAGRAPH
art_19,art_19_p1,HAS_PARAGRAPH
art_19,art_19_p2,HAS_PARAGRAPH
art_19,art_19_p3,HAS_PARAGRAPH
art_19,art_19_p4,HAS_PARAGRAPH
art_19,art_19_p5,HAS_PARAGRAPH
