penalty_id,section_id,liability_type,addressee,sanction_text,max_imprisonment,max_fine,note,source_document
PEN_79_1,s79,Criminal Liability,Data Controller,"imprisonment for a term not exceeding six months, or a fine not exceeding five hundred thousand Baht, or both",not exceeding six months,not exceeding five hundred thousand Baht,The offenses under this Section are compoundable offenses.,KB 2/Thailand/Personal Data Protection Act.pdf
PEN_79_2,s79,Criminal Liability,Data Controller,"imprisonment for a term not exceeding one year, or a fine not exceeding one million Baht, or both",not exceeding one year,not exceeding one million Baht,The offenses under this Section are compoundable offenses.,KB 2/Thailand/Personal Data Protection Act.pdf
PEN_80,s80,Criminal Liability,Any person who comes to know the Personal Data of another person as a result of performing duties under this Act,"imprisonment for a term not exceeding six months, or a fine not exceeding five hundred thousand Baht, or both",not exceeding six months,not exceeding five hundred thousand Baht,,KB 2/Thailand/Personal Data Protection Act.pdf
PEN_81,s81,Criminal Liability,"any director, manager or person, who shall be responsible for such act of the juristic person",such person shall also be punished with the punishment as prescribed for such offense,,,,KB 2/Thailand/Personal Data Protection Act.pdf
PEN_82,s82,Administrative Liability,Data Controller,an administrative fine not exceeding one million Baht,,not exceeding one million Baht,,KB 2/Thailand/Personal Data Protection Act.pdf
PEN_83,s83,Administrative Liability,Data Controller,an administrative fine not exceeding three million Baht,,not exceeding three million Baht,,KB 2/Thailand/Personal Data Protection Act.pdf
PEN_84,s84,Administrative Liability,Data Controller,an administrative fine not exceeding five million Baht,,not exceeding five million Baht,,KB 2/Thailand/Personal Data Protection Act.pdf
PEN_85,s85,Administrative Liability,Data Processor,an administrative fine not exceeding one million Baht,,not exceeding one million Baht,,KB 2/Thailand/Personal Data Protection Act.pdf
PEN_86,s86,Administrative Liability,Data Processor,an administrative fine not exceeding three million Baht,,not exceeding three million Baht,,KB 2/Thailand/Personal Data Protection Act.pdf
PEN_87,s87,Administrative Liability,Data Processor,an administrative fine not exceeding five million Baht,,not exceeding five million Baht,,KB 2/Thailand/Personal Data Protection Act.pdf
PEN_88,s88,Administrative Liability,representative of the Data Controller or of the Data Processor,an administrative fine not exceeding one million Baht,,not exceeding one million Baht,,KB 2/Thailand/Personal Data Protection Act.pdf
PEN_89,s89,Administrative Liability,Any person,an administrative fine not exceeding five hundred thousand Baht,,not exceeding five hundred thousand Baht,,KB 2/Thailand/Personal Data Protection Act.pdf
PEN_77,s77,Civil Liability,Data Controller or the Data Processor,"shall compensate the Data subject for such damages, regardless of whether such operation is performed intentionally or negligently",,,,KB 2/Thailand/Personal Data Protection Act.pdf
PEN_78,s78,Civil Liability,Data Controller or the Data Processor,"punitive damages in addition to the actual compensation rendered by the court as deems fit, but shall not exceeding 2 times of such actual compensation amount",,,"The claim for compensation from the wrongful act against the Personal Data under this Act shall be barred by prescription after the lapse of 3 years from the date that the injured person know of the damages and the identity of the Data Controller or the Data Processor who is to be liable, or after 10 years from the date of which the wrongful act against the Personal Data took place.",KB 2/Thailand/Personal Data Protection Act.pdf
