source_id,target_id,rel_type
CH_II,PT_II_1,HAS_PART
CH_II,PT_II_2,HAS_PART
CH_II,PT_II_3,HAS_PART
CH_VII,PT_VII_1,HAS_PART
CH_VII,PT_VII_2,HAS_PART
CH_PRELIM,s1,HAS_SECTION
CH_PRELIM,s2,HAS_SECTION
CH_PRELIM,s3,HAS_SECTION
CH_PRELIM,s4,HAS_SECTION
CH_PRELIM,s5,HAS_SECTION
CH_PRELIM,s6,HAS_SECTION
CH_PRELIM,s7,HAS_SECTION
CH_I,s8,HAS_SECTION
CH_I,s9,HAS_SECTION
CH_I,s10,HAS_SECTION
CH_I,s11,HAS_SECTION
CH_I,s12,HAS_SECTION
CH_I,s13,HAS_SECTION
CH_I,s14,HAS_SECTION
CH_I,s15,HAS_SECTION
CH_I,s16,HAS_SECTION
CH_I,s17,HAS_SECTION
CH_I,s18,HAS_SECTION
PT_II_1,s19,HAS_SECTION
PT_II_1,s20,HAS_SECTION
PT_II_1,s21,HAS_SECTION
PT_II_2,s22,HAS_SECTION
PT_II_2,s23,HAS_SECTION
PT_II_2,s24,HAS_SECTION
PT_II_2,s25,HAS_SECTION
PT_II_2,s26,HAS_SECTION
PT_II_3,s27,HAS_SECTION
PT_II_3,s28,HAS_SECTION
PT_II_3,s29,HAS_SECTION
CH_III,s30,HAS_SECTION
CH_III,s31,HAS_SECTION
CH_III,s32,HAS_SECTION
CH_III,s33,HAS_SECTION
CH_III,s34,HAS_SECTION
CH_III,s35,HAS_SECTION
CH_III,s36,HAS_SECTION
CH_III,s37,HAS_SECTION
CH_III,s38,HAS_SECTION
CH_III,s39,HAS_SECTION
CH_III,s40,HAS_SECTION
CH_III,s41,HAS_SECTION
CH_III,s42,HAS_SECTION
CH_IV,s43,HAS_SECTION
CH_IV,s44,HAS_SECTION
CH_IV,s45,HAS_SECTION
CH_IV,s46,HAS_SECTION
CH_IV,s47,HAS_SECTION
CH_IV,s48,HAS_SECTION
CH_IV,s49,HAS_SECTION
CH_IV,s50,HAS_SECTION
CH_IV,s51,HAS_SECTION
CH_IV,s52,HAS_SECTION
CH_IV,s53,HAS_SECTION
CH_IV,s54,HAS_SECTION
CH_IV,s55,HAS_SECTION
CH_IV,s56,HAS_SECTION
CH_IV,s57,HAS_SECTION
CH_IV,s58,HAS_SECTION
CH_IV,s59,HAS_SECTION
CH_IV,s60,HAS_SECTION
CH_IV,s61,HAS_SECTION
CH_IV,s62,HAS_SECTION
CH_IV,s63,HAS_SECTION
CH_IV,s64,HAS_SECTION
CH_IV,s65,HAS_SECTION
CH_IV,s66,HAS_SECTION
CH_IV,s67,HAS_SECTION
CH_IV,s68,HAS_SECTION
CH_IV,s69,HAS_SECTION
CH_IV,s70,HAS_SECTION
CH_V,s71,HAS_SECTION
CH_V,s72,HAS_SECTION
CH_V,s73,HAS_SECTION
CH_V,s74,HAS_SECTION
CH_V,s75,HAS_SECTION
CH_V,s76,HAS_SECTION
CH_VI,s77,HAS_SECTION
CH_VI,s78,HAS_SECTION
PT_VII_1,s79,HAS_SECTION
PT_VII_1,s80,HAS_SECTION
PT_VII_1,s81,HAS_SECTION
PT_VII_2,s82,HAS_SECTION
PT_VII_2,s83,HAS_SECTION
PT_VII_2,s84,HAS_SECTION
PT_VII_2,s85,HAS_SECTION
PT_VII_2,s86,HAS_SECTION
PT_VII_2,s87,HAS_SECTION
PT_VII_2,s88,HAS_SECTION
PT_VII_2,s89,HAS_SECTION
PT_VII_2,s90,HAS_SECTION
CH_TRANS,s91,HAS_SECTION
CH_TRANS,s92,HAS_SECTION
CH_TRANS,s93,HAS_SECTION
CH_TRANS,s94,HAS_SECTION
CH_TRANS,s95,HAS_SECTION
CH_TRANS,s96,HAS_SECTION
