source_id,target_id,rel_type,item_label
art_2_1,art_2_1_a,HAS_SUBCLAUSE,a
art_2_1,art_2_1_b,HAS_SUBCLAUSE,b
art_2_1,art_2_1_c,HAS_SUBCLAUSE,c
art_2_2,art_2_2_a,HAS_SUBCLAUSE,a
art_2_2,art_2_2_b,HAS_SUBCLAUSE,b
art_2_2,art_2_2_c,HAS_SUBCLAUSE,c
art_2_2,art_2_2_d,HAS_SUBCLAUSE,d
art_2_2,art_2_2_e,HAS_SUBCLAUSE,e
art_2_2,art_2_2_f,HAS_SUBCLAUSE,f
art_2_2,art_2_2_g,HAS_SUBCLAUSE,g
art_6_1,art_6_1_a,HAS_SUBCLAUSE,a
art_6_1,art_6_1_b,HAS_SUBCLAUSE,b
art_6_1,art_6_1_c,HAS_SUBCLAUSE,c
art_9_1,art_9_1_a,HAS_SUBCLAUSE,a
art_9_1,art_9_1_b,HAS_SUBCLAUSE,b
art_9_1,art_9_1_c,HAS_SUBCLAUSE,c
art_9_1,art_9_1_d,HAS_SUBCLAUSE,d
art_9_1,art_9_1_e,HAS_SUBCLAUSE,e
art_9_1,art_9_1_f,HAS_SUBCLAUSE,f
art_10_1,art_10_1_a,HAS_SUBCLAUSE,a
art_10_1,art_10_1_b,HAS_SUBCLAUSE,b
art_10_1,art_10_1_c,HAS_SUBCLAUSE,c
art_11_1,art_11_1_b_i,HAS_SUBCLAUSE,b
art_11_1,art_11_1_b_ii,HAS_SUBCLAUSE,b
art_11_1,art_11_1_c,HAS_SUBCLAUSE,c
art_11_1,art_11_1_d,HAS_SUBCLAUSE,d
art_11_1,art_11_1_e,HAS_SUBCLAUSE,e
art_12_1,art_12_1_a,HAS_SUBCLAUSE,a
art_12_1,art_12_1_b,HAS_SUBCLAUSE,b
art_12_1,art_12_1_c,HAS_SUBCLAUSE,c
art_12_1,art_12_1_d,HAS_SUBCLAUSE,d
art_13_1,art_13_1_a,HAS_SUBCLAUSE,a
art_13_1,art_13_1_b,HAS_SUBCLAUSE,b
art_13_1,art_13_1_c,HAS_SUBCLAUSE,c
art_13_1,art_13_1_d,HAS_SUBCLAUSE,d
art_13_1,art_13_1_e,HAS_SUBCLAUSE,e
art_13_1,art_13_1_f,HAS_SUBCLAUSE,f
art_13_1,art_13_1_g,HAS_SUBCLAUSE,g
art_13_1,art_13_1_h,HAS_SUBCLAUSE,h
art_13_1,art_13_1_i,HAS_SUBCLAUSE,i
art_13_3,art_13_3_a,HAS_SUBCLAUSE,a
art_13_3,art_13_3_b,HAS_SUBCLAUSE,b
art_13_3,art_13_3_c,HAS_SUBCLAUSE,c
art_13_3,art_13_3_d,HAS_SUBCLAUSE,d
art_15_2,art_15_2_a,HAS_SUBCLAUSE,a
art_15_2,art_15_2_b,HAS_SUBCLAUSE,b
art_15_2,art_15_2_c,HAS_SUBCLAUSE,c
art_15_2,art_15_2_d,HAS_SUBCLAUSE,d
art_15_3,art_15_3_a,HAS_SUBCLAUSE,a
art_15_3,art_15_3_b,HAS_SUBCLAUSE,b
art_15_3,art_15_3_c,HAS_SUBCLAUSE,c
art_15_3,art_15_3_d,HAS_SUBCLAUSE,d
art_16_1,art_16_1_a,HAS_SUBCLAUSE,a
art_16_1,art_16_1_b,HAS_SUBCLAUSE,b
art_16_1,art_16_1_c,HAS_SUBCLAUSE,c
art_16_3,art_16_3_a,HAS_SUBCLAUSE,a
art_16_3,art_16_3_b,HAS_SUBCLAUSE,b
art_16_3,art_16_3_c,HAS_SUBCLAUSE,c
art_16_3,art_16_3_d,HAS_SUBCLAUSE,d
art_18_2,art_18_2_a,HAS_SUBCLAUSE,a
art_18_2,art_18_2_b,HAS_SUBCLAUSE,b
art_18_2,art_18_2_c,HAS_SUBCLAUSE,c
art_20_1,art_20_1_a,HAS_SUBCLAUSE,a
art_20_1,art_20_1_b,HAS_SUBCLAUSE,b
art_20_1,art_20_1_c,HAS_SUBCLAUSE,c
art_20_1,art_20_1_d,HAS_SUBCLAUSE,d
art_20_2,art_20_2_a,HAS_SUBCLAUSE,a
art_20_2,art_20_2_b,HAS_SUBCLAUSE,b
art_21_2,art_21_2_a,HAS_SUBCLAUSE,a
art_21_2,art_21_2_b,HAS_SUBCLAUSE,b
art_21_3,art_21_3_a,HAS_SUBCLAUSE,a
art_21_3,art_21_3_b,HAS_SUBCLAUSE,b
art_21_3,art_21_3_c,HAS_SUBCLAUSE,c
art_21_3,art_21_3_d,HAS_SUBCLAUSE,d
art_23_1,art_23_1_a,HAS_SUBCLAUSE,a
art_23_1,art_23_1_b,HAS_SUBCLAUSE,b
art_23_1,art_23_1_c,HAS_SUBCLAUSE,c
art_23_1,art_23_1_d,HAS_SUBCLAUSE,d
art_23_1,art_23_1_e,HAS_SUBCLAUSE,e
art_23_1,art_23_1_f,HAS_SUBCLAUSE,f
