essentialservice_id,name,subsector,specified_in,source_document
es_01,electricity supply,electricity,sch2p1(2),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_02,the single electricity market in Northern Ireland,electricity,sch2p1(3),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_03,electricity transmission,electricity,sch2p1(4),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_04,electricity distribution,electricity,sch2p1(5),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_05,oil transmission by pipeline,oil,sch2p2(3),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_06,the operation of relevant oil processing facilities,oil,sch2p2(4),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_07,"oil production, refining, treatment, storage and transmission",oil,sch2p2(5),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_08,the operation of petroleum production projects (other than projects which are primarily used for the storage of gas),oil,sch2p2(6),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_09,gas supply,gas,sch2p3(2),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_10,gas transmission,gas,sch2p3(3),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_11,gas distribution,gas,sch2p3(4),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_12,the operation of gas storage facilities,gas,sch2p3(5),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_13,the operation of LNG facilities,gas,sch2p3(6),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_14,the operation of relevant gas processing facilities,gas,sch2p3(7),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_15,the operation of petroleum production projects (other than projects which are primarily used for the storage of gas),gas,sch2p3(8),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_16,the provision of services by the owner or manager of an aerodrome,air_transport,sch2p4(2),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_17,the provision of air traffic services (as defined in the Transport Act 2000),air_transport,sch2p4(3),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_18,the provision of services by air carriers,air_transport,sch2p4(4),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_19,shipping in the United Kingdom,water_transport,sch2p5(2),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_20,the provision of services by a harbour authority for a port in the United Kingdom,water_transport,sch2p5(3),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_21,the provision of services by an operator of a port facility in the United Kingdom,water_transport,sch2p5(4),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_22,vessel traffic services in the United Kingdom,water_transport,sch2p5(5),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_23,rail services,rail_transport,sch2p6(2),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_24,high speed rail services,rail_transport,sch2p6(3),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_25,"metros, trams and other light rail services (including underground services)",rail_transport,sch2p6(4),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_26,international rail services,rail_transport,sch2p6(5),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_27,road transport services,road_transport,sch2p7(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_28,road services provided by Intelligent Transport Systems,road_transport,sch2p7(2),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_29,healthcare services,health_care_settings_including_hospitals_private_clinics_and_online_settings,sch2p8(2),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_30,Top Level Domain (”TLD”) Name Registries,digital_infrastructure,sch2p10(2),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_31,Domain Name System (“DNS”) Service providers,digital_infrastructure,sch2p10(3),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_32,Internet Exchange Point (IXP) Operators,digital_infrastructure,sch2p10(4),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
es_33,the supply of potable water in the United Kingdom,drinking_water_supply_and_distribution,sch2p9,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
