thresholdrequirement_id,essential_service,text,specified_in,source_document
thr_01,electricity supply,For the essential service of electricity supply the threshold requirements are—,sch2p1(2),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_02,the single electricity market in Northern Ireland,"For the essential service of the single electricity market in Northern Ireland, the threshold requirement is the holder of a Single Electricity Market operator licence under Article 10(1)(d) of the Electricity (Northern Ireland) Order 1992(a).",sch2p1(3),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_03,electricity transmission,"For the essential service of electricity transmission, the threshold requirements are—",sch2p1(4),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_04,electricity distribution,"For the essential service of electricity distribution, the threshold requirements are—",sch2p1(5),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_05,oil transmission by pipeline,"For the essential service of oil transmission by pipeline, the threshold requirements are—",sch2p2(3),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_06,the operation of relevant oil processing facilities,"For the essential service of the operation of relevant oil processing facilities, the threshold requirement in the United Kingdom is in the case of— an operator of a facility or pipeline with a throughput of more than 3,000,000 tonnes of oil equivalent per year.",sch2p2(4),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_07,"oil production, refining, treatment, storage and transmission","For the essential service of oil production, refining, treatment, storage and transmission the threshold requirements are—",sch2p2(5),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_08,the operation of petroleum production projects (other than projects which are primarily used for the storage of gas),"For the essential service of the operation of petroleum production projects (other than projects which are primarily used for the storage of gas), the threshold requirement in the United Kingdom is, in the case of—",sch2p2(6),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_09,gas supply,For the essential service of gas supply the threshold requirements are—,sch2p3(2),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_10,gas transmission,For the essential service of gas transmission the threshold requirements are—,sch2p3(3),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_11,gas distribution,For the essential service of gas distribution the threshold requirements are—,sch2p3(4),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_12,the operation of gas storage facilities,"For the essential service of the operation of gas storage facilities, the threshold requirements are—",sch2p3(5),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_13,the operation of LNG facilities,"For the essential service of the operation of LNG facilities, the threshold requirements are—",sch2p3(6),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_14,the operation of relevant gas processing facilities,"For the essential service of the operation of relevant gas processing facilities, the threshold requirement in the United Kingdom is in the case of— an operator of a facility or pipeline with a throughput of more than 3,000,000 tonnes of oil equivalent per year.",sch2p3(7),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_15,the operation of petroleum production projects (other than projects which are primarily used for the storage of gas),"For the essential service of the operation of petroleum production projects (other than projects which are primarily used for the storage of gas), the threshold requirement in the United Kingdom is— an operator of an installation or pipeline with a throughput of more than 3,000,000 tonnes of oil equivalent per year.",sch2p3(8),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_16,the provision of services by the owner or manager of an aerodrome,"For the essential service of the provision of services by the owner or manager of an aerodrome, the threshold requirement in the United Kingdom is an owner or manager of an aerodrome with annual terminal passenger numbers greater than 10 million.",sch2p4(2),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_17,the provision of air traffic services (as defined in the Transport Act 2000),"For the essential service of the provision of air traffic services (as defined in the Transport Act 2000), the threshold requirement in the United Kingdom is—",sch2p4(3),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_18,the provision of services by air carriers,"For the essential service of the provision of services by air carriers, the threshold requirement in the United Kingdom is an air carrier which has—",sch2p4(4),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_19,shipping in the United Kingdom,"For the essential service of shipping in the United Kingdom, the threshold requirement is—",sch2p5(2),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_20,the provision of services by a harbour authority for a port in the United Kingdom,"For the essential service of the provision of services by a harbour authority for a port in the United Kingdom, the threshold requirement is—",sch2p5(3),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_21,the provision of services by an operator of a port facility in the United Kingdom,"For the essential service of the provision of services by an operator of a port facility in the United Kingdom, the threshold requirement is—",sch2p5(4),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_22,vessel traffic services in the United Kingdom,"For the essential service of vessel traffic services in the United Kingdom, the threshold requirement is—",sch2p5(5),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_23,rail services,For the essential service of rail services the threshold requirements are—,sch2p6(2),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_24,high speed rail services,For the essential service of high speed rail services the threshold requirement in the United Kingdom is an operator of a railway asset for high speed rail services.,sch2p6(3),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_25,"metros, trams and other light rail services (including underground services)","For the essential service of metros, trams and other light rail services (including underground services), the threshold requirement in the United Kingdom is an operator with more than 50 million annual passenger journeys.",sch2p6(4),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_26,international rail services,For the essential service of international rail services the threshold requirement in the United Kingdom is an operator of a Channel Tunnel train or the infrastructure manager of the Channel Fixed Link.,sch2p6(5),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_27,road transport services,"For the essential service of road transport services, the threshold requirement in the United Kingdom is a road authority responsible for roads in the United Kingdom that have vehicles travelling more than 50 billion miles in total on them.",sch2p7(1),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_28,road services provided by Intelligent Transport Systems,"For the essential service of road services provided by Intelligent Transport Systems, the threshold requirement in the United Kingdom is a road authority that provides Intelligent Transport Systems services which covers roads in the United Kingdom that have vehicles travelling more than 50 billion miles in total on them, per year.",sch2p7(2),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_29,healthcare services,For the essential service of healthcare services the threshold requirements are—,sch2p8(2),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_30,Top Level Domain (”TLD”) Name Registries,For the essential service of Top Level Domain (”TLD”) Name Registries the threshold requirement in the United Kingdom is TLD Registries who service an average of 2 billion or more queries in 24 hours for domains registered within the Internet Corporation for Assigned Names and Numbers.,sch2p10(2),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_31,Domain Name System (“DNS”) Service providers,For the essential service of Domain Name System (“DNS”) Service providers the threshold requirement in the United Kingdom is—,sch2p10(3),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_32,Internet Exchange Point (IXP) Operators,"For the essential service of Internet Exchange Point (IXP) Operators the threshold requirement in the United Kingdom is IXP Operators who have 50% or more annual market share amongst IXP Operators in the United Kingdom, in terms of interconnected autonomous systems, or who offer interconnectivity to 50% or more of Global Internet routes.",sch2p10(4),KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
thr_33,the supply of potable water in the United Kingdom,"The threshold requirement which applies to the essential service of the supply of potable water in the United Kingdom is the supply of water to 200,000 or more people.",sch2p9,KB 2/Europe/UK Network and Information Systems (NIS) Regulations 2018.pdf
