source_id,target_id,rel_type
sch1_row_01,subsector_electricity,FOR_SUBSECTOR
sch1_row_02,subsector_electricity,FOR_SUBSECTOR
sch1_row_03,subsector_oil,FOR_SUBSECTOR
sch1_row_04,subsector_oil,FOR_SUBSECTOR
sch1_row_05,subsector_gas,FOR_SUBSECTOR
sch1_row_06,subsector_gas,FOR_SUBSECTOR
sch1_row_07,subsector_gas,FOR_SUBSECTOR
sch1_row_08,subsector_air_transport,FOR_SUBSECTOR
sch1_row_09,subsector_rail_transport,FOR_SUBSECTOR
sch1_row_10,subsector_rail_transport,FOR_SUBSECTOR
sch1_row_11,subsector_water_transport,FOR_SUBSECTOR
sch1_row_12,subsector_road_transport,FOR_SUBSECTOR
sch1_row_13,subsector_road_transport,FOR_SUBSECTOR
sch1_row_14,subsector_road_transport,FOR_SUBSECTOR
sch1_row_15,subsector_health_care_settings_including_hospitals_private_clinics_and_online_settings,FOR_SUBSECTOR
sch1_row_16,subsector_health_care_settings_including_hospitals_private_clinics_and_online_settings,FOR_SUBSECTOR
sch1_row_17,subsector_health_care_settings_including_hospitals_private_clinics_and_online_settings,FOR_SUBSECTOR
sch1_row_18,subsector_health_care_settings_including_hospitals_private_clinics_and_online_settings,FOR_SUBSECTOR
sch1_row_19,subsector_drinking_water_supply_and_distribution,FOR_SUBSECTOR
sch1_row_20,subsector_drinking_water_supply_and_distribution,FOR_SUBSECTOR
sch1_row_21,subsector_drinking_water_supply_and_distribution,FOR_SUBSECTOR
sch1_row_22,subsector_drinking_water_supply_and_distribution,FOR_SUBSECTOR
sch1_row_23,subsector_digital_infrastructure,FOR_SUBSECTOR
