source_id,target_id,rel_type
es_01,thr_01,HAS_THRESHOLD_REQUIREMENT
es_02,thr_02,HAS_THRESHOLD_REQUIREMENT
es_03,thr_03,HAS_THRESHOLD_REQUIREMENT
es_04,thr_04,HAS_THRESHOLD_REQUIREMENT
es_05,thr_05,HAS_THRESHOLD_REQUIREMENT
es_06,thr_06,HAS_THRESHOLD_REQUIREMENT
es_07,thr_07,HAS_THRESHOLD_REQUIREMENT
es_08,thr_08,HAS_THRESHOLD_REQUIREMENT
es_09,thr_09,HAS_THRESHOLD_REQUIREMENT
es_10,thr_10,HAS_THRESHOLD_REQUIREMENT
es_11,thr_11,HAS_THRESHOLD_REQUIREMENT
es_12,thr_12,HAS_THRESHOLD_REQUIREMENT
es_13,thr_13,HAS_THRESHOLD_REQUIREMENT
es_14,thr_14,HAS_THRESHOLD_REQUIREMENT
es_15,thr_15,HAS_THRESHOLD_REQUIREMENT
es_16,thr_16,HAS_THRESHOLD_REQUIREMENT
es_17,thr_17,HAS_THRESHOLD_REQUIREMENT
es_18,thr_18,HAS_THRESHOLD_REQUIREMENT
es_19,thr_19,HAS_THRESHOLD_REQUIREMENT
es_20,thr_20,HAS_THRESHOLD_REQUIREMENT
es_21,thr_21,HAS_THRESHOLD_REQUIREMENT
es_22,thr_22,HAS_THRESHOLD_REQUIREMENT
es_23,thr_23,HAS_THRESHOLD_REQUIREMENT
es_24,thr_24,HAS_THRESHOLD_REQUIREMENT
es_25,thr_25,HAS_THRESHOLD_REQUIREMENT
es_26,thr_26,HAS_THRESHOLD_REQUIREMENT
es_27,thr_27,HAS_THRESHOLD_REQUIREMENT
es_28,thr_28,HAS_THRESHOLD_REQUIREMENT
es_29,thr_29,HAS_THRESHOLD_REQUIREMENT
es_30,thr_30,HAS_THRESHOLD_REQUIREMENT
es_31,thr_31,HAS_THRESHOLD_REQUIREMENT
es_32,thr_32,HAS_THRESHOLD_REQUIREMENT
es_33,thr_33,HAS_THRESHOLD_REQUIREMENT
