source_id,target_id,rel_type
reg3(1),sch1_row_01,DESIGNATES
reg3(1),sch1_row_02,DESIGNATES
reg3(1),sch1_row_03,DESIGNATES
reg3(1),sch1_row_04,DESIGNATES
reg3(1),sch1_row_05,DESIGNATES
reg3(1),sch1_row_06,DESIGNATES
reg3(1),sch1_row_07,DESIGNATES
reg3(1),sch1_row_08,DESIGNATES
reg3(1),sch1_row_09,DESIGNATES
reg3(1),sch1_row_10,DESIGNATES
reg3(1),sch1_row_11,DESIGNATES
reg3(1),sch1_row_12,DESIGNATES
reg3(1),sch1_row_13,DESIGNATES
reg3(1),sch1_row_14,DESIGNATES
reg3(1),sch1_row_15,DESIGNATES
reg3(1),sch1_row_16,DESIGNATES
reg3(1),sch1_row_17,DESIGNATES
reg3(1),sch1_row_18,DESIGNATES
reg3(1),sch1_row_19,DESIGNATES
reg3(1),sch1_row_20,DESIGNATES
reg3(1),sch1_row_21,DESIGNATES
reg3(1),sch1_row_22,DESIGNATES
reg3(1),sch1_row_23,DESIGNATES
