source_id,target_id,rel_type
sch2p1,subsector_electricity,COVERS_SUBSECTOR
sch2p2,subsector_oil,COVERS_SUBSECTOR
sch2p3,subsector_gas,COVERS_SUBSECTOR
sch2p4,subsector_air_transport,COVERS_SUBSECTOR
sch2p5,subsector_water_transport,COVERS_SUBSECTOR
sch2p6,subsector_rail_transport,COVERS_SUBSECTOR
sch2p7,subsector_road_transport,COVERS_SUBSECTOR
sch2p8,subsector_health_care_settings_including_hospitals_private_clinics_and_online_settings,COVERS_SUBSECTOR
sch2p9,subsector_drinking_water_supply_and_distribution,COVERS_SUBSECTOR
sch2p10,subsector_digital_infrastructure,COVERS_SUBSECTOR
