source_id,target_id,rel_type
sch2p1,sch2p1(1),HAS_PROVISION
sch2p1,sch2p1(2),HAS_PROVISION
sch2p1,sch2p1(3),HAS_PROVISION
sch2p1,sch2p1(4),HAS_PROVISION
sch2p1,sch2p1(5),HAS_PROVISION
sch2p1,sch2p1(6),HAS_PROVISION
sch2p1,sch2p1(7),HAS_PROVISION
sch2p1,sch2p1(8),HAS_PROVISION
sch2p2,sch2p2(1),HAS_PROVISION
sch2p2,sch2p2(2),HAS_PROVISION
sch2p2,sch2p2(3),HAS_PROVISION
sch2p2,sch2p2(4),HAS_PROVISION
sch2p2,sch2p2(5),HAS_PROVISION
sch2p2,sch2p2(6),HAS_PROVISION
sch2p2,sch2p2(7),HAS_PROVISION
sch2p2,sch2p2(8),HAS_PROVISION
sch2p2,sch2p2(9),HAS_PROVISION
sch2p2,sch2p2(10),HAS_PROVISION
sch2p3,sch2p3(1),HAS_PROVISION
sch2p3,sch2p3(2),HAS_PROVISION
sch2p3,sch2p3(3),HAS_PROVISION
sch2p3,sch2p3(4),HAS_PROVISION
sch2p3,sch2p3(5),HAS_PROVISION
sch2p3,sch2p3(6),HAS_PROVISION
sch2p3,sch2p3(7),HAS_PROVISION
sch2p3,sch2p3(8),HAS_PROVISION
sch2p3,sch2p3(9),HAS_PROVISION
sch2p3,sch2p3(10),HAS_PROVISION
sch2p3,sch2p3(11),HAS_PROVISION
sch2p3,sch2p3(12),HAS_PROVISION
sch2p4,sch2p4(1),HAS_PROVISION
sch2p4,sch2p4(2),HAS_PROVISION
sch2p4,sch2p4(3),HAS_PROVISION
sch2p4,sch2p4(4),HAS_PROVISION
sch2p4,sch2p4(5),HAS_PROVISION
sch2p5,sch2p5(1),HAS_PROVISION
sch2p5,sch2p5(2),HAS_PROVISION
sch2p5,sch2p5(3),HAS_PROVISION
sch2p5,sch2p5(4),HAS_PROVISION
sch2p5,sch2p5(5),HAS_PROVISION
sch2p5,sch2p5(6),HAS_PROVISION
sch2p6,sch2p6(1),HAS_PROVISION
sch2p6,sch2p6(2),HAS_PROVISION
sch2p6,sch2p6(3),HAS_PROVISION
sch2p6,sch2p6(4),HAS_PROVISION
sch2p6,sch2p6(5),HAS_PROVISION
sch2p6,sch2p6(6),HAS_PROVISION
sch2p7,sch2p7(1),HAS_PROVISION
sch2p7,sch2p7(2),HAS_PROVISION
sch2p7,sch2p7(3),HAS_PROVISION
sch2p8,sch2p8(1),HAS_PROVISION
sch2p8,sch2p8(2),HAS_PROVISION
sch2p10,sch2p10(1),HAS_PROVISION
sch2p10,sch2p10(2),HAS_PROVISION
sch2p10,sch2p10(3),HAS_PROVISION
sch2p10,sch2p10(4),HAS_PROVISION
sch2p10,sch2p10(5),HAS_PROVISION
