source_id,target_id,rel_type
sch2p1,es_01,SPECIFIES_ESSENTIAL_SERVICE
sch2p1,es_02,SPECIFIES_ESSENTIAL_SERVICE
sch2p1,es_03,SPECIFIES_ESSENTIAL_SERVICE
sch2p1,es_04,SPECIFIES_ESSENTIAL_SERVICE
sch2p2,es_05,SPECIFIES_ESSENTIAL_SERVICE
sch2p2,es_06,SPECIFIES_ESSENTIAL_SERVICE
sch2p2,es_07,SPECIFIES_ESSENTIAL_SERVICE
sch2p2,es_08,SPECIFIES_ESSENTIAL_SERVICE
sch2p3,es_09,SPECIFIES_ESSENTIAL_SERVICE
sch2p3,es_10,SPECIFIES_ESSENTIAL_SERVICE
sch2p3,es_11,SPECIFIES_ESSENTIAL_SERVICE
sch2p3,es_12,SPECIFIES_ESSENTIAL_SERVICE
sch2p3,es_13,SPECIFIES_ESSENTIAL_SERVICE
sch2p3,es_14,SPECIFIES_ESSENTIAL_SERVICE
sch2p3,es_15,SPECIFIES_ESSENTIAL_SERVICE
sch2p4,es_16,SPECIFIES_ESSENTIAL_SERVICE
sch2p4,es_17,SPECIFIES_ESSENTIAL_SERVICE
sch2p4,es_18,SPECIFIES_ESSENTIAL_SERVICE
sch2p5,es_19,SPECIFIES_ESSENTIAL_SERVICE
sch2p5,es_20,SPECIFIES_ESSENTIAL_SERVICE
sch2p5,es_21,SPECIFIES_ESSENTIAL_SERVICE
sch2p5,es_22,SPECIFIES_ESSENTIAL_SERVICE
sch2p6,es_23,SPECIFIES_ESSENTIAL_SERVICE
sch2p6,es_24,SPECIFIES_ESSENTIAL_SERVICE
sch2p6,es_25,SPECIFIES_ESSENTIAL_SERVICE
sch2p6,es_26,SPECIFIES_ESSENTIAL_SERVICE
sch2p7,es_27,SPECIFIES_ESSENTIAL_SERVICE
sch2p7,es_28,SPECIFIES_ESSENTIAL_SERVICE
sch2p8,es_29,SPECIFIES_ESSENTIAL_SERVICE
sch2p10,es_30,SPECIFIES_ESSENTIAL_SERVICE
sch2p10,es_31,SPECIFIES_ESSENTIAL_SERVICE
sch2p10,es_32,SPECIFIES_ESSENTIAL_SERVICE
sch2p9,es_33,SPECIFIES_ESSENTIAL_SERVICE
