source_id,target_id,rel_type
sector_energy,subsector_electricity,HAS_SUBSECTOR
sector_energy,subsector_oil,HAS_SUBSECTOR
sector_energy,subsector_gas,HAS_SUBSECTOR
sector_transport,subsector_air_transport,HAS_SUBSECTOR
sector_transport,subsector_rail_transport,HAS_SUBSECTOR
sector_transport,subsector_water_transport,HAS_SUBSECTOR
sector_transport,subsector_road_transport,HAS_SUBSECTOR
sector_health_sector,subsector_health_care_settings_including_hospitals_private_clinics_and_online_settings,HAS_SUBSECTOR
sector_drinking_water_supply_and_distribution,subsector_drinking_water_supply_and_distribution,HAS_SUBSECTOR
sector_digital_infrastructure,subsector_digital_infrastructure,HAS_SUBSECTOR
