source_id,target_id,rel_type
3.2,3.2.1,HAS_SUBPARAGRAPH
3.2,3.2.2,HAS_SUBPARAGRAPH
3.2,3.2.3,HAS_SUBPARAGRAPH
4.1,4.1.1,HAS_SUBPARAGRAPH
4.1,4.1.2,HAS_SUBPARAGRAPH
5.1,5.1.1,HAS_SUBPARAGRAPH
5.1,5.1.2,HAS_SUBPARAGRAPH
5.1,5.1.3,HAS_SUBPARAGRAPH
5.1,5.1.4,HAS_SUBPARAGRAPH
5.3,5.3.1,HAS_SUBPARAGRAPH
5.3,5.3.2,HAS_SUBPARAGRAPH
5.3,5.3.3,HAS_SUBPARAGRAPH
5.3,5.3.4,HAS_SUBPARAGRAPH
5.3,5.3.5,HAS_SUBPARAGRAPH
5.3,5.3.6,HAS_SUBPARAGRAPH
5.3,5.3.7,HAS_SUBPARAGRAPH
6.3,6.3.1,HAS_SUBPARAGRAPH
6.3,6.3.2,HAS_SUBPARAGRAPH
7.1,7.1.1,HAS_SUBPARAGRAPH
7.2,7.2.1,HAS_SUBPARAGRAPH
7.2,7.2.2,HAS_SUBPARAGRAPH
7.2.2,7.2.2.1,HAS_SUBPARAGRAPH
7.2.2,7.2.2.2,HAS_SUBPARAGRAPH
7.2.2,7.2.2.3,HAS_SUBPARAGRAPH
7.2.2,7.2.2.4,HAS_SUBPARAGRAPH
7.2.2,7.2.2.5,HAS_SUBPARAGRAPH
7.3,7.3.1,HAS_SUBPARAGRAPH
7.3,7.3.2,HAS_SUBPARAGRAPH
7.3,7.3.3,HAS_SUBPARAGRAPH
7.3,7.3.4,HAS_SUBPARAGRAPH
7.3,7.3.5,HAS_SUBPARAGRAPH
7.3,7.3.6,HAS_SUBPARAGRAPH
7.3,7.3.7,HAS_SUBPARAGRAPH
7.3,7.3.8,HAS_SUBPARAGRAPH
7.4,7.4.1,HAS_SUBPARAGRAPH
7.4,7.4.2,HAS_SUBPARAGRAPH
8.1,8.1.1,HAS_SUBPARAGRAPH
8.1,8.1.2,HAS_SUBPARAGRAPH
8.1,8.1.3,HAS_SUBPARAGRAPH
9.1,9.1.1,HAS_SUBPARAGRAPH
9.1,9.1.2,HAS_SUBPARAGRAPH
