node_id,node_name,artifact_type,definition,pci_dss_requirement,purpose_and_use,retention_period,owner,verification_method,criticality,document_frequency,digital_or_physical
art_001,Security Policy Document,Policy,Comprehensive written security policy addressing all 12 requirements,Requirement 12.1,Documents organization's security approach; Communicates to personnel,Maintained; Updated at least annually,Chief Security Officer,Annual management review; Distribution verification; Update tracking,CRITICAL,Annual,Digital
art_002,System Access Control Policy,Policy,Defines rules for user access and authentication to systems,Requirement 8.1,Governs who can access what resources; Used for access reviews,Updated annually or per changes,Compliance Manager,Access review verification; Approval documentation; Update tracking,CRITICAL,Annual,Digital
art_003,Incident Response Plan,Procedure,Detailed procedures for identifying and responding to security incidents,Requirement 12.10.1,Guides incident detection and response actions; Available to response team,Maintained; Updated quarterly,Compliance Manager,Annual testing; Drill execution; Update verification,CRITICAL,Quarterly,Both
art_004,Network Diagram,Document,Visual representation of network architecture and data flows,Requirement 1.2.4; Requirement 2.4,Shows network design; Used for security assessment,Updated when network changes,Network Administrator,Change documentation; Version control; Accuracy verification,HIGH,Per Change,Digital
art_005,Quarterly Scan Report,Report,Vulnerability scan results from approved scanning vendor,Requirement 11.3.2,Documents scanning compliance; Used for remediation tracking,Retained for 12 months,Compliance Manager,ASV confirmation; Results validation; Trend analysis,HIGH,Quarterly,Digital
art_006,Annual Assessment Report,Report,External or internal assessment documenting compliance findings,Requirement 12.11.1,Summarizes compliance status; Used for board reporting,Retained for 3 years,Chief Security Officer,QSA verification; Finding tracking; Remediation confirmation,CRITICAL,Annual,Digital
art_007,Change Management Log,Log,Record of all changes to systems and security controls,Requirement 6.5.2; Requirement 10.2.5,Tracks system modifications; Used for audit trail,Retained for 12 months,System Administrator,Change approval verification; Impact assessment; Approval documentation,HIGH,Real-time,Digital
art_008,Access Control Matrix,Document,Table showing user access rights to systems and data,Requirement 8.2.1; Requirement 8.3.1,Defines and documents access levels; Used for access reviews,Updated per changes; Reviewed quarterly,Compliance Manager,Quarterly access review; Approval documentation; Exception tracking,HIGH,Quarterly,Digital
art_009,Password Policy,Policy,Written policy governing password creation and management,Requirement 8.3.6,Enforces strong password requirements; Available to all personnel,Updated annually; More frequently if breaches occur,Compliance Manager,Compliance testing; Change tracking; Awareness documentation,MEDIUM,Annual,Digital
art_010,Vendor Management List,Document,List of all vendors with access to systems or cardholder data,Requirement 12.8.2; Requirement 12.9.1,Tracks third-party risk; Used for vendor assessments,Updated per additions/removals; Reviewed quarterly,Compliance Manager,Quarterly review; Assessment documentation; Attestation collection,HIGH,Quarterly,Digital
art_011,Encryption Key Management Procedure,Procedure,Procedures for generating and protecting cryptographic keys,Requirement 3.6.1; Requirement 3.6.4,Ensures encryption key security; Guides key operations,Maintained; Updated when changes needed,Database Administrator,Annual review; Key rotation verification; Access log verification,CRITICAL,Annual,Digital
art_012,User Access Review Documentation,Document,Records of periodic user access reviews,Requirement 8.2.3; Requirement 8.3.4,Evidences access appropriateness; Used for compliance verification,Retained for 12 months,Compliance Manager,Access list accuracy; Review signatures; Justification documentation,HIGH,Quarterly,Digital
art_013,Security Awareness Training Records,Log,Documentation of security training completion,Requirement 12.6.1,Proves employee training compliance; Used for audit evidence,Retained for 12 months,Compliance Manager,Attendance tracking; Completion verification; Quiz scores,MEDIUM,Per Completion,Digital
art_014,Vulnerability Management Plan,Document,Strategy for identifying and remediating vulnerabilities,Requirement 6.3.1; Requirement 11.3.1,Guides vulnerability identification; Used for scanning strategy,Updated annually or per risk assessment,Chief Security Officer,Plan adherence verification; Scan scheduling; Remediation tracking,HIGH,Annual,Digital
art_015,Backup Verification Records,Log,Documentation showing backups are performed and tested,Requirement 3.2.1; Requirement 3.4.1,Proves backup effectiveness; Used for restore testing,Retained for 12 months,System Administrator,Backup completion logs; Restore test results; Integrity verification,CRITICAL,Monthly,Digital
art_016,Firewall Configuration Documentation,Document,Current firewall rules and justifications,Requirement 1.2.1; Requirement 1.3.1; Requirement 1.4.1,Defines network security controls; Used for rule review,Updated when rules change; Reviewed quarterly,Network Administrator,Rule change tracking; Review signatures; Testing documentation,HIGH,Quarterly,Digital
art_017,Security Patch Log,Log,Record of all security patches applied to systems,Requirement 6.3.3; Requirement 6.5.1,Tracks patch application; Used for compliance verification,Retained for 12 months,System Administrator,Patch deployment records; Verification logs; Testing documentation,HIGH,Continuous,Digital
art_018,Audit Trail Review Documentation,Log,Records of periodic security log reviews,Requirement 10.6.2; Requirement 10.6.3,Documents log review activities; Used for audit evidence,Retained for 12 months,Security Operations Manager,Log review schedules; Finding documentation; Issue tracking,HIGH,Monthly,Digital
art_019,Disaster Recovery Plan,Plan,Procedures for restoring systems after a disaster,Requirement 12.10.3,Guides recovery activities; Available to response team,Updated annually; Tested annually,Chief Security Officer,Test results; Plan updates; Recovery time validation,CRITICAL,Annual,Both
art_020,Risk Assessment Documentation,Document,Results of periodic risk assessments,Requirement 12.3.1,Documents identified risks; Used for planning,Updated annually or per significant changes,Chief Security Officer,Assessment methodology; Finding documentation; Remediation plans,HIGH,Annual,Digital
