node_id,node_name,data_element,pci_official_category,definition,official_pci_description,storage_allowed,encryption_required,masking_requirement,deletion_requirement,official_regulation_reference,criticality
data_001,Primary Account Number,PAN,Cardholder Data (CHD),"15 or 16-digit unique identifier for a payment card account assigned by the card issuer.","The Primary Account Number (PAN) is the principal account number identifying the cardholder account. Per PCI DSS v4.0.1 Requirement 3.5, PANs must be rendered unreadable at all points where stored through one of four methods: (1) encryption of stored PAN using strong cryptography; (2) tokenization of PAN; (3) truncation of PAN; (4) hash-based mechanism using strong cryptography. PANs must be masked in display (show first 6 and last 4 digits only).","TRUE","TRUE (AES-256 minimum)","TRUE (display: first 6, last 4 only)","Delete per retention policy (PCI Req 3.1.1)","PCI DSS v4.0.1 Requirement 3.5: Render PAN Unreadable","CRITICAL"
data_002,Cardholder Name,Cardholder Name,Cardholder Data (CHD),"The full name of the individual to whom the payment card is issued, as printed on the card.","Cardholder name is account data constituting Cardholder Data (CHD) per PCI DSS v4.0.1. Must be protected per Requirement 3 with appropriate encryption when stored. Subject to access restrictions (Requirement 7) and audit logging (Requirement 10). Must be deleted according to documented data retention policies. Retention period must be based on business need with documented justification.","TRUE","TRUE (AES-256 minimum)","FALSE","Delete per retention policy (PCI Req 3.1.1)","PCI DSS v4.0.1 Requirement 3: Protect Stored Cardholder Data","HIGH"
data_003,Card Expiration Date,Expiration Date,Cardholder Data (CHD),"The month and year (MM/YY format) indicating when the payment card expires and is no longer valid for transactions.","Card expiration date is account data constituting Cardholder Data (CHD) per PCI DSS v4.0.1. Must be protected per Requirement 3 if stored. Subject to data minimization principle - storage only if business justified. Must be encrypted if stored. Subject to documented retention policies with secure deletion upon retention period expiration.","TRUE","TRUE (AES-256 minimum)","FALSE","Delete per retention policy (PCI Req 3.1.1)","PCI DSS v4.0.1 Requirement 3: Protect Stored Cardholder Data","HIGH"
data_004,Service Code,Service Code,Cardholder Data (CHD),"Three-digit code encoded on the magnetic stripe (or embedded in chip) that provides information about card usage limitations and transaction requirements. Also called CVC1 (Card Verification Code 1).","Service Code is account data constituting Cardholder Data (CHD) per PCI DSS v4.0.1. Provides information about cardholder authorization and usage limitations. Must be protected per Requirement 3 if stored. Subject to encryption requirement (AES-256 minimum) if retained. Storage justified only by business need. Retention period documented with secure deletion.","TRUE","TRUE (AES-256 minimum)","FALSE","Delete per retention policy (PCI Req 3.1.1)","PCI DSS v4.0.1 Requirement 3: Protect Stored Cardholder Data","HIGH"
data_005,Full Track Data,Full Track Data / Magnetic Stripe Data,Sensitive Authentication Data (SAD),"Complete data from the magnetic stripe or chip equivalent, including all encoded information (Track 1 and Track 2) used during transaction authorization.","Sensitive Authentication Data (SAD) per PCI DSS v4.0.1 Requirement 3.2. Full track data contains all magnetic stripe data encoded on the card. PCI DSS v4.0.1 explicitly prohibits storage of SAD after transaction authorization under ANY circumstances, including encrypted form. Only exception: Card issuers with documented, legitimate business need (per Requirement 3.3). Violation of this requirement is critical compliance failure.","FALSE (ABSOLUTE)","N/A (Cannot Store)","N/A (Cannot Store)","MUST DELETE immediately after transaction authorization","PCI DSS v4.0.1 Requirement 3.2: Sensitive Authentication Data Cannot Be Stored After Authorization","CRITICAL"
data_006,Card Verification Code,CVV/CVV2/CVC2/CID,Sensitive Authentication Data (SAD),"3 or 4-digit security code on card (varies by card brand) used to verify cardholder identity during transactions. Visa: CVV2 (back); Mastercard: CVC2 (back); Amex: CID (front).","Sensitive Authentication Data (SAD) per PCI DSS v4.0.1 Requirement 3.2. Card Verification Code (CVV, CVV2, CVC2, CID depending on brand) is authentication credential that cannot be stored after authorization. Absolute prohibition - no exceptions except issuers with documented need. Even encrypted storage is violation. Must be deleted in real-time after authorization is obtained. Storage violates PCI DSS Requirement 3.2.","FALSE (ABSOLUTE)","N/A (Cannot Store)","N/A (Cannot Store)","MUST DELETE immediately after transaction authorization","PCI DSS v4.0.1 Requirement 3.2: Sensitive Authentication Data Cannot Be Stored After Authorization","CRITICAL"
data_007,Personal Identification Number,PIN / PIN Block,Sensitive Authentication Data (SAD),"Personal Identification Number (PIN) or PIN Block used for cardholder authentication, particularly for ATM and debit transactions. PIN Block is encrypted PIN for transmission.","Sensitive Authentication Data (SAD) per PCI DSS v4.0.1 Requirements 3.2 and 3.3. PIN and PIN block data cannot be stored after transaction authorization under normal circumstances. Limited exception only for card issuers with explicit, documented business justification (Requirement 3.3). Storage of PIN/PIN blocks by merchants or service providers violates requirement. Must be deleted immediately upon authorization completion.","FALSE (Exception: Issuers only)","N/A (Cannot Store - Exception: Issuers)","N/A (Cannot Store)","MUST DELETE immediately after transaction authorization","PCI DSS v4.0.1 Requirement 3.2 & 3.3: SAD Cannot Be Stored","CRITICAL"
data_008,Card Activation Key,Card Activation Keys (CAK),Sensitive Authentication Data (SAD),"Cryptographic key used by card issuers and processors to activate and personalize newly issued payment cards.","Sensitive Authentication Data (SAD) per PCI DSS v4.0.1 Requirement 3.2. Card Activation Keys are cryptographic credentials used in card activation and personalization process. Cannot be stored after transaction/use completion. Absolute prohibition on storage. Used only by card issuers and payment processors. Must be deleted upon completion of activation process.","FALSE (ABSOLUTE)","N/A (Cannot Store)","N/A (Cannot Store)","MUST DELETE immediately after use","PCI DSS v4.0.1 Requirement 3.2: Sensitive Authentication Data Cannot Be Stored","CRITICAL"
data_009,Account Data (Combined),Combined CHD + SAD,Combined Data,"Collective term for both Cardholder Data (CHD) and Sensitive Authentication Data (SAD) together. Refers to any data that could be used fraudulently to obtain, authorize, or use payment cards.","Account Data is defined in PCI DSS v4.0.1 as either Cardholder Data or Sensitive Authentication Data. Cardholder Data (allowed with encryption): PAN, cardholder name, expiration date, service code. Sensitive Authentication Data (prohibited post-authorization): Full track data, CVV/CVV2/CVC2/CID, PIN/PIN blocks, CAK. Organizations must maintain policies defining what account data is stored, where, duration, and how it is destroyed. Account data inventory required.","Depends on element (CHD: YES, SAD: NO post-auth)","Depends on element (CHD: YES, SAD: N/A)","Depends on element","Depends on element per retention policy","PCI DSS v4.0.1 Requirement 3 & Glossary","HIGH"
data_010,Cardholder Data in Transit,Cardholder Data in Motion,Cardholder Data in Transit,"Payment card information being transmitted between systems, networks, or organizations during payment processing authorization and settlement.","Cardholder Data in transit must be protected per PCI DSS v4.0.1 Requirement 4. All CHD transmitted over public networks must be encrypted using strong cryptography (TLS 1.2 or higher minimum). Point-to-Point Encryption (P2PE) may be used for in-store transactions. End-to-end encryption protects CHD from point of entry through processing. Encryption keys must be protected. No fallback to weak protocols allowed.","TRUE (encrypted only)","TRUE (TLS 1.2+ required)","FALSE (encrypted end-to-end)","Delete after processing complete","PCI DSS v4.0.1 Requirement 4: Protect Cardholder Data with Strong Cryptography During Transmission","CRITICAL"
