node_id,node_name,entity_type,definition,pci_dss_definition,compliance_level,transaction_threshold,assessment_type,compliance_requirements,applicable_standards,criticality
entity_001,Merchant Level 1,Merchant,"Largest merchants by annual card transaction volume. Organizations processing over 6 million Visa transactions per year or over 2.5 million Mastercard transactions per year. Typically large retailers, e-commerce platforms, multinational corporations, airlines, hospitality chains, and major service providers with extensive payment card operations.","Per PCI DSS: Any merchant that has suffered a data breach or an attacker has compromised their account data, or any merchant processing over 6 million Visa transactions annually (across all channels) or over 2.5 million Mastercard transactions annually. Includes brick-and-mortar, e-commerce, mail/telephone order merchants.",Level 1,"Greater than 6 million Visa transactions/year OR Greater than 2.5 million Mastercard transactions/year","Annual Onsite Assessment by QSA; Report on Compliance (RoC); Attestation of Compliance (AOC); Quarterly network scans by ASV","All 12 PCI DSS requirements mandatory; Annual QSA audit required; Quarterly external vulnerability scans by Approved Scanning Vendor (ASV); Annual penetration testing; Quarterly internal vulnerability scans; Network segmentation documentation; Incident response plan; Security awareness training program; Asset inventory; Firewall review","PCI DSS v4.0.1; ISO 27001 (recommended); SOC 2 Type II (recommended); GDPR (if EU operations); CCPA (if California operations); Payment Brand specific requirements (Visa, Mastercard, Amex, Discover, JCB)",CRITICAL
entity_002,Merchant Level 2,Merchant,"Mid-to-large size merchants processing between 1.5 million and 6 million Visa transactions annually or between 150,000 and 2.5 million Mastercard transactions annually. Includes regional retailers, medium e-commerce businesses, restaurant chains, healthcare providers, educational institutions, and growing enterprises.","Per PCI DSS: Any merchant processing 1 million to 6 million Visa transactions annually or 150,000 to 2.5 million Mastercard transactions annually across all channels. Subject to mandatory annual assessments and reporting requirements similar to Level 1 merchants.",Level 2,"1.5 million to 6 million Visa transactions/year OR 150,000 to 2.5 million Mastercard transactions/year","Annual Onsite Assessment by QSA; Report on Compliance (RoC); Attestation of Compliance (AOC); Quarterly network scans by ASV","All 12 PCI DSS requirements mandatory; Annual QSA audit required; Quarterly external vulnerability scans by Approved Scanning Vendor (ASV); Annual penetration testing; Quarterly internal vulnerability scans; Network segmentation recommended; Incident response plan; Security awareness training; Vendor management program; Change control procedures","PCI DSS v4.0.1; ISO 27001 (recommended); SOC 2 (recommended); GDPR (if EU operations); CCPA (if California operations); Industry-specific regulations",CRITICAL
entity_003,Merchant Level 3,Merchant,"Small-to-medium size merchants processing between 20,000 and 1.5 million Visa e-commerce transactions annually or between 20,000 and 150,000 Mastercard e-commerce transactions annually. Includes small retailers, online businesses, professional services, non-profits, and emerging technology companies.","Per PCI DSS: Any merchant processing 20,000 to 1 million Visa e-commerce transactions annually or 20,000 to 150,000 Mastercard e-commerce transactions annually. Self-assessment permitted with appropriate attestation and quarterly scanning requirements.",Level 3,"20,000 to 1.5 million Visa e-commerce transactions/year OR 20,000 to 150,000 Mastercard e-commerce transactions/year","Annual Self-Assessment Questionnaire (SAQ); Attestation of Compliance (AOC); Quarterly network scans by ASV","All 12 PCI DSS requirements mandatory; Annual Self-Assessment Questionnaire (SAQ A, A-EP, B, C, or D based on processing method); Attestation of Compliance signed by officer; Quarterly external vulnerability scans by ASV; Annual internal vulnerability scans; Security policies documented; Incident response procedures; Vendor security management; Training records maintained","PCI DSS v4.0.1; GDPR (if EU operations); CCPA (if California operations); Payment Brand requirements; Industry-specific standards as applicable",HIGH
entity_004,Merchant Level 4,Merchant,"Smallest merchants by transaction volume processing fewer than 20,000 Visa e-commerce transactions annually and all other merchants (regardless of acceptance channel) processing up to 1.5 million Visa transactions annually or up to 150,000 Mastercard transactions annually. Includes small businesses, sole proprietors, local shops, service providers, and micro-merchants.","Per PCI DSS: Any merchant processing fewer than 20,000 Visa e-commerce transactions annually and all other merchants processing up to 1 million Visa transactions annually or up to 150,000 Mastercard transactions annually. May complete Self-Assessment Questionnaire with reduced validation requirements.",Level 4,"Fewer than 20,000 Visa e-commerce transactions/year AND up to 1.5 million Visa transactions/year (all channels) OR up to 150,000 Mastercard transactions/year","Annual Self-Assessment Questionnaire (SAQ); Compliance Validation may be required by Acquirer; Quarterly network scans by ASV (if applicable)","All 12 PCI DSS requirements apply (validation methods vary); Annual Self-Assessment Questionnaire (SAQ A, A-EP, B, C, or D); Compliance validation as required by acquiring bank; Quarterly scans for e-commerce merchants; Security policies appropriate to size; Basic security controls implemented; Payment application security; Third-party provider management","PCI DSS v4.0.1; GDPR (if applicable); Regional data protection laws; Payment Brand requirements; Acquirer-specific requirements",MEDIUM
entity_005,Service Provider Level 1,Service Provider,"Largest third-party service providers by transaction volume or criticality. Any service provider processing, storing, or transmitting over 300,000 Visa transactions annually or designated by payment brands as Level 1 due to criticality. Includes major payment processors, payment gateways, hosting providers, cloud service providers, managed security providers, and technology vendors serving merchants.","Per PCI DSS: Any third-party entity that is not a payment brand and is directly involved in the processing, storage, or transmission of cardholder data. Level 1 Service Providers process, store, or transmit over 300,000 Visa transactions annually OR have suffered a breach OR are deemed critical by payment brands. Must register with payment brands.",Level 1 (Service Provider),"Greater than 300,000 Visa transactions/year OR deemed critical by payment brands","Annual Onsite Assessment by QSA; Report on Compliance (RoC); Attestation of Compliance (AOC) submitted to payment brands; Quarterly network scans by ASV","All 12 PCI DSS requirements mandatory; Annual QSA audit required; Report on Compliance submitted to all applicable payment brands; Attestation of Compliance; Quarterly external vulnerability scans by ASV; Annual penetration testing; Quarterly internal vulnerability scans; Comprehensive security program; Incident response and breach notification; Service provider registration with Visa/Mastercard; Vendor risk management; Multi-tenant security controls","PCI DSS v4.0.1 (mandatory); PA-DSS/PTS (if applicable); ISO 27001; SOC 2 Type II; GDPR (if EU operations); CCPA (if California); Cloud Security Alliance (CSA); Industry-specific compliance (HIPAA for healthcare, etc.)",CRITICAL
entity_006,Service Provider Level 2,Service Provider,"Mid-size third-party service providers processing or handling fewer than 300,000 Visa transactions annually. Includes regional payment processors, smaller payment gateways, IT service providers, software vendors, SaaS platforms, telecommunications providers, and consultancies supporting payment environments.","Per PCI DSS: Any service provider processing, storing, or transmitting fewer than 300,000 Visa transactions annually. May complete Self-Assessment Questionnaire instead of QSA audit subject to payment brand and acquirer requirements. Must maintain compliance program and documentation.",Level 2 (Service Provider),"Fewer than 300,000 Visa transactions/year","Annual Self-Assessment Questionnaire (SAQ D for Service Providers); Attestation of Compliance (AOC); Quarterly network scans by ASV; Additional validation may be required by clients or payment brands","All 12 PCI DSS requirements mandatory; Annual Self-Assessment Questionnaire (SAQ D-Service Provider); Attestation of Compliance; Quarterly external vulnerability scans by ASV; Annual penetration testing; Quarterly internal vulnerability scans; Security policies and procedures; Third-party vendor assessment; Client security responsibility matrix; Service provider agreement templates; Annual review and update","PCI DSS v4.0.1 (mandatory); ISO 27001 (recommended); SOC 2 Type II (recommended); GDPR (if applicable); CCPA (if applicable); Cloud security standards; Industry-specific regulations",HIGH
entity_007,Payment Processor,Processor,"Organizations that facilitate payment transactions between merchants and payment networks. Responsibilities include transaction authorization, clearing, settlement, encryption/decryption of payment data, fraud detection, and compliance monitoring. Includes front-end processors, back-end processors, and integrated payment service providers.","Per PCI DSS: Member or organization that processes payment card transactions on behalf of merchants and connects to payment networks for authorization and settlement. Processors handle large volumes of sensitive authentication data and cardholder data. Subject to stringent security requirements and oversight by payment brands and card networks.",Level 1 (Service Provider),"Processes millions to billions of transactions annually for multiple merchants","Annual Onsite Assessment by QSA; Report on Compliance (RoC); Attestation of Compliance (AOC); Quarterly network scans; Continuous monitoring; Payment brand audits","All 12 PCI DSS requirements mandatory; Annual QSA comprehensive audit; Payment brand security assessments; Network security controls; HSM (Hardware Security Module) management; Encryption key management; Multi-factor authentication; Segregation of duties; 24/7 security operations center; Real-time fraud monitoring; Incident response; Business continuity; Disaster recovery; Vendor management; Compliance reporting to payment brands; Annual penetration testing; Quarterly vulnerability scans (internal and external)","PCI DSS v4.0.1 (mandatory); PA-DSS/PTS (Payment Application security); PCI PIN (for PIN processing); ISO 27001; SOC 1 Type II; SOC 2 Type II; GDPR (global operations); Regional data protection laws; Banking regulations; Payment network operating rules (Visa, Mastercard, etc.); FFIEC guidance (US)",CRITICAL
entity_008,Acquiring Bank (Acquirer),Acquirer,"Financial institutions that establish and maintain relationships with merchants to enable them to accept payment cards. Responsibilities include merchant underwriting, PCI DSS compliance enforcement, transaction processing contracts, dispute resolution, and regulatory compliance. Subject to payment brand requirements and banking regulations.","Per PCI DSS: Member financial institution or bank that processes payment card transactions for merchants and maintains merchant relationships. Acquirers are responsible for ensuring merchant compliance with PCI DSS, enforcing security requirements, validating merchant compliance levels, and reporting to payment brands. Subject to payment brand audits and regulatory oversight.",Level 1 (Service Provider),"Manages thousands to millions of merchant accounts processing billions in transaction volume","Annual Onsite Assessment by QSA; Report on Compliance (RoC); Attestation of Compliance; Payment brand compliance validation; Regulatory examinations; Quarterly scans","All 12 PCI DSS requirements mandatory for acquirer infrastructure; Annual QSA audit; Payment brand security programs; Merchant compliance monitoring program; Merchant onboarding security validation; Risk-based merchant compliance level assignment; Quarterly merchant scan validation; Compromise investigation procedures; Regulatory compliance (banking regulations); Anti-money laundering (AML) programs; Know Your Customer (KYC); Fraud monitoring; Merchant agreement security clauses; Penalty enforcement; Incident response; Business continuity","PCI DSS v4.0.1 (mandatory); ISO 27001; SOC 1 Type II; SOC 2 Type II; GDPR (if applicable); Banking regulations (Basel III, Dodd-Frank, etc.); Anti-Money Laundering (AML); Know Your Customer (KYC); OFAC compliance; Payment brand operating rules; Regional banking regulations; Financial services sector-specific standards",CRITICAL
entity_009,Issuing Bank (Issuer),Issuer,"Financial institutions that issue payment cards to cardholders and maintain cardholder accounts. Responsibilities include card issuance, cardholder authentication, transaction authorization decisions, fraud management, account management, and cardholder data protection. Subject to payment brand and banking regulations.","Per PCI DSS: Member financial institution or bank that issues payment cards to cardholders. Issuers are responsible for cardholder authentication, authorization of transactions, account management, and protection of cardholder data including Sensitive Authentication Data (SAD). Must comply with PCI DSS for systems storing, processing, or transmitting cardholder data. Subject to payment brand oversight.",Level 1 (Service Provider),"Issues millions of payment cards; processes billions in authorization requests","Annual Onsite Assessment by QSA; Report on Compliance (RoC); Attestation of Compliance; Payment brand audits; Regulatory examinations; Continuous monitoring","All 12 PCI DSS requirements mandatory; Annual QSA audit for issuer processing systems; Payment brand security requirements; Cardholder authentication systems (EMV, 3D Secure); Fraud detection and prevention; Account management security; Sensitive Authentication Data (SAD) handling (must NOT store post-authorization); Cryptographic key management; HSM deployment; Multi-factor authentication; Mobile banking security; Online banking security; Call center security; Card production security; PIN management; Regulatory compliance; Incident response; Breach notification; Business continuity","PCI DSS v4.0.1 (mandatory); PCI PIN (for PIN-based cards); EMV specifications; 3-D Secure; ISO 27001; SOC 1 Type II; SOC 2 Type II; GDPR; Banking regulations; Consumer protection laws; Anti-Money Laundering (AML); Know Your Customer (KYC); Regional financial services regulations; Payment brand operating rules (Visa Core Rules, Mastercard Standards)",CRITICAL
entity_010,Payment Gateway Provider,Service Provider,"Technology service providers that facilitate online payment processing by securely transmitting transaction data between merchants (e-commerce sites) and payment processors or acquiring banks. Includes hosted payment pages, API-based gateways, and integrated payment solutions for web and mobile applications.","Per PCI DSS: Service provider that provides payment gateway services connecting merchant websites/applications to payment processors. Gateways transmit and may temporarily store cardholder data. Critical service provider requiring comprehensive security controls including network security, encryption, tokenization, fraud detection, and secure APIs.",Level 1 or 2 (Service Provider),"Varies by transaction volume processed; typically Level 1 if processing over 300,000 transactions/year","Annual Onsite Assessment by QSA (Level 1) or SAQ D-Service Provider (Level 2); Attestation of Compliance; Quarterly ASV scans","All 12 PCI DSS requirements; Network segmentation; TLS 1.2+ encryption; Tokenization services; Hosted payment page security; API security; PCI DSS scoping; Multi-tenant environment security; Fraud detection; Transaction monitoring; Developer security training; Secure coding practices; Penetration testing; Vulnerability management; Incident response; 24/7 monitoring; Uptime/availability SLAs; Data breach insurance; Quarterly scans; Annual penetration testing","PCI DSS v4.0.1 (mandatory); PA-DSS (if applicable); ISO 27001; SOC 2 Type II; GDPR; CCPA; Cloud security standards; API security standards (OAuth, OpenID); Web application security (OWASP); Payment brand requirements",CRITICAL
