node_id,node_name,node_type,definition,official_description,applicable_to,organization_owner,version,status,key_features
std_001,PCI DSS v4.0.1,Standard,"The Payment Card Industry Data Security Standard v4.0.1 - the current industry security standard for protecting cardholder data.","A framework of specifications, tools, measurements and support resources to help organizations ensure the safe handling of cardholder data at every step. Published June 11, 2024 as a refinement to v4.0, providing clarifications and corrections to improve implementation and understanding. Mandatory compliance for all organizations handling payment cards by March 31, 2025.","Merchants (all levels);Service Providers (Level 1 & 2);Acquirers;Issuers;Third-Party Service Providers","PCI Security Standards Council","4.0.1","Active (Mandatory as of March 31, 2025)","12 core requirements unchanged; 64 total requirements including new sub-requirements; Customized approach available; Risk-based controls; Expanded MFA requirements; Enhanced third-party management"
std_002,PCI DSS v4.0,Standard,"The Payment Card Industry Data Security Standard v4.0 - updated version introducing new security controls and flexible compliance approaches.","Released March 2022 as major update to v3.2.1. Introduces 64 new requirements, defined and customized approaches, risk-based controls, and expanded scope for cloud services and APIs. Version 4.0 was retired December 31, 2024, replaced by v4.0.1.","Merchants (all levels);Service Providers;Acquirers;Issuers;Third-Party Service Providers","PCI Security Standards Council","4.0","Retired (December 31, 2024)","64 new requirements; Two implementation approaches (defined and customized); Risk-based flexibility; Cloud and API security; Enhanced authentication; Phased compliance deadlines"
std_003,GDPR,Standard,"General Data Protection Regulation (EU) 2016/679 - comprehensive EU regulation governing data protection and privacy for all organizations processing personal data of EU residents.","Regulation (EU) 2016/679 enacted May 25, 2018. Comprehensive framework protecting fundamental rights and freedoms of natural persons with regard to the processing of personal data. Applies to any organization processing personal data of EU residents regardless of organization location. Enforced by national data protection authorities.","Organizations with EU customers;EU-based organizations;Data processors;Data controllers;Service providers handling EU resident data","European Commission; Data Protection Authorities (national)","2016/679 (May 25, 2018 enforcement)","Active and Enforced","99 Articles; 173 Recitals; Right to erasure; Data portability; Explicit consent requirements; Data Protection Impact Assessment (DPIA); Data Protection Officer requirements for certain organizations; Breach notification within 72 hours"
std_004,ISO 27001:2022,Standard,"International Standard ISO/IEC 27001:2022 for Information Security Management Systems (ISMS) - framework for establishing and maintaining comprehensive information security management.","International standard specifying requirements for an information security management system (ISMS). Provides a systematic approach to managing sensitive company information to keep it secure through people, processes and IT systems. Updated 2022 with 93 controls (reduced from 114 in 2013), reorganized into 4 themes: Organizational, People, Physical, Technological. Focuses on risk assessment and treatment.","Any organization (manufacturing, service, public, private);Organizations seeking information security certification;Organizations with sensitive information assets","International Organization for Standardization (ISO); International Electrotechnical Commission (IEC)","ISO/IEC 27001:2022","Active (Standard)","93 controls in 4 themes; Risk-based approach; Applies to any size organization; Can be combined with PCI DSS; Clause-based structure (Clauses 4-10); Certification available through auditors"
std_005,ISO 27002:2022,Standard,"ISO/IEC 27002:2022 - Code of practice providing implementation guidance for ISO 27001 information security controls.","Provides detailed implementation guidance, practices, and considerations for each of the 93 ISO 27001 Annex A controls. Does not mandate implementation of any specific controls but guides best practices for each. Companion standard to ISO 27001 for detailed control implementation.","Organizations implementing ISO 27001;Organizations seeking guidance on specific controls;Security teams defining control implementations","International Organization for Standardization (ISO); International Electrotechnical Commission (IEC)","ISO/IEC 27002:2022","Active (Guidance Standard)","Detailed implementation guidance for all 93 controls; Control selection rationale; Control objectives; Control implementation considerations; Measurement and metrics guidance"
std_006,SOC 2,Standard,"Service Organization Control 2 - framework for assessing and reporting on the effectiveness of controls implemented by service providers.","Framework developed by AICPA for service organizations to demonstrate effectiveness of controls over security, availability, confidentiality, and privacy of customer data. Provides assurance to customers and regulators. Available in Type I (design of controls) and Type II (operating effectiveness) audit formats.","Service Providers;Payment processors;Cloud service providers;SaaS companies;Hosting providers;Data center operators;Security service providers","American Institute of Certified Public Accountants (AICPA)","Type I & Type II (annual updates)","Active","Two audit types: Type I (controls are suitably designed) and Type II (controls operate effectively); Trust Service Criteria; Annual audits; Specific to service organizations"
std_007,HIPAA,Standard,"Health Insurance Portability and Accountability Act - US federal law protecting healthcare data privacy and security including payment card data in healthcare.","US federal law enacted 1996, revised 2003 (HITECH Act). Requires healthcare providers, health plans, healthcare clearinghouses and their business associates to protect patient health information including payment card data. Includes Security Rule (technical safeguards), Privacy Rule (administrative and physical), and Breach Notification Rule. Specific to US healthcare organizations.","Healthcare providers;Health insurance companies;Healthcare clearinghouses;Business associates of healthcare organizations;Healthcare payment processors","US Department of Health and Human Services (HHS)","HIPAA (1996); HITECH (2009); Updates through 2024","Active and Enforced","Security Rule (technical standards); Privacy Rule (administrative/physical); Breach Notification Rule; State-specific variations; Overlaps with PCI DSS for payment card data"
std_008,NIS Directive (EU) 2022/2555,Standard,"EU Network and Information Systems Directive - cybersecurity requirements for critical infrastructure operators and digital service providers in the EU.","Directive (EU) 2022/2555 governing cybersecurity for essential services including energy, transport, water, healthcare, digital infrastructure. Requires operators of essential services and certain digital service providers to maintain appropriate security measures. Enforcement by national cybersecurity authorities. Applicable to payment systems and payment infrastructure operators.","Critical infrastructure operators (energy, transport, water, healthcare);Payment system operators;Digital service providers with significant impact;Financial institutions providing critical services;Payment processors serving critical sectors","European Union; National Cybersecurity Authorities (ENISA coordinating)","2022/2555 (enforcement varies by Member State)","Active (2024 enforcement)","Risk-based security approach; Incident reporting requirements; Security baseline measures; Third-party supply chain security; Regular updates to security measures"
std_009,RBI Payment Systems Act,Standard,"Reserve Bank of India Payment Systems Act 2007 and amendments - Indian regulation for payment system operators and processors handling card payments.","Indian law governing the regulation and supervision of payment systems. Sets requirements for payment system operators, payment service providers, and payment processors in India. Includes data localization requirements for payment card data. Overseen by Reserve Bank of India (RBI). Applicable to all payment processors and merchants in India.","Payment processors in India;Payment gateways serving India;Acquiring banks in India;Indian merchants accepting cards;Card-issuing organizations in India;Third-party service providers to Indian payment systems","Reserve Bank of India (RBI)","Payment Systems Act 2007; Amendments through 2024","Active and Enforced (2024)","Data localization for Indian card transactions; Card data storage in India; RBI authorization required; Security measures standards; Customer protection requirements"
std_010,NIST Cybersecurity Framework,Standard,"National Institute of Standards and Technology Cybersecurity Framework v2.0 - US government cybersecurity guidance for managing risk and improving security practices.","Framework developed by NIST (US Department of Commerce) providing guidelines for managing cybersecurity risk. Version 2.0 released February 2024 with updates to Core Functions: Govern (new), Identify, Protect, Detect, Respond, Recover. Widely adopted by US government and critical infrastructure. Can be used alongside PCI DSS for comprehensive security posture.","US government contractors;Critical infrastructure;US financial institutions;Any organization seeking cybersecurity best practices;Organizations combining with PCI DSS compliance","National Institute of Standards and Technology (NIST), US Department of Commerce","Cybersecurity Framework 2.0 (February 2024)","Active (Guidance)","5 Core Functions (Govern, Identify, Protect, Detect, Respond, Recover); 23 Categories; Flexible and scalable; Not regulatory but widely adopted; Risk-based approach"
