scf_control_id,civil_code_id
CPL-01,1798.91.06(a)
CPL-01,1798.91.06(b)
CPL-01,1798.91.06(c)
CPL-01,1798.91.06(d)
CPL-01,1798.91.06(e)
CPL-01,1798.91.06(f)
CPL-01,1798.91.06(g)
CPL-01,1798.91.06(h)
CPL-01,1798.91.06(i)
IAC-01,1798.91.04(b)
IAC-01,1798.91.04(b)(1)
IAC-01,1798.91.04(b)(2)
SEA-01,1798.91.04(a)
SEA-01,1798.91.04(a)(1)
SEA-01,1798.91.04(a)(2)
SEA-01,1798.91.04(a)(3)
SEA-01,1798.91.04(b)
SEA-01,1798.91.04(b)(1)
SEA-01,1798.91.04(b)(2)
SEA-02,1798.91.04(a)
SEA-02,1798.91.04(a)(1)
SEA-02,1798.91.04(a)(2)
SEA-02,1798.91.04(a)(3)
SEA-02,1798.91.04(b)
SEA-02,1798.91.04(b)(1)
SEA-02,1798.91.04(b)(2)
SEA-02.1,1798.91.05
SEA-03,1798.91.04(a)
SEA-03,1798.91.04(a)(1)
SEA-03,1798.91.04(a)(2)
SEA-03,1798.91.04(a)(3)
SEA-03,1798.91.04(b)
SEA-03,1798.91.04(b)(1)
SEA-03,1798.91.04(b)(2)
TDA-01.1,1798.91.04(a)
TDA-01.1,1798.91.04(a)(1)
TDA-01.1,1798.91.04(a)(2)
TDA-01.1,1798.91.04(a)(3)
TDA-01.1,1798.91.04(b)
TDA-01.1,1798.91.04(b)(1)
TDA-01.1,1798.91.04(b)(2)
TDA-02,1798.91.04(a)
TDA-02,1798.91.04(a)(1)
TDA-02,1798.91.04(a)(2)
TDA-02,1798.91.04(a)(3)
TDA-02,1798.91.04(b)
TDA-02,1798.91.04(b)(1)
TDA-02,1798.91.04(b)(2)
