scf_control_id,dora_article_id
GOV-01,ART_05
GOV-01.1,ART_05
GOV-01.2,ART_05
GOV-02,ART_06
GOV-04,ART_05
AST-01.1,ART_08
AST-02,ART_08
AST-02.1,ART_08
AST-04,ART_08
BCD-01,ART_12
BCD-01.4,ART_12
BCD-02,ART_08
BCD-04,ART_24
BCD-09,ART_12
BCD-09.1,ART_12
BCD-09.2,ART_12
BCD-11,ART_12
BCD-11.1,ART_12
BCD-11.2,ART_12
BCD-11.5,ART_12
BCD-11.6,ART_12
BCD-11.7,ART_12
BCD-12.2,ART_12
CPL-01,ART_05
HRS-03,ART_05
IRO-01,ART_17
IRO-04,ART_17
PRM-01.1,ART_06
PRM-06,ART_08
RSK-01,ART_06
RSK-01.1,ART_08
RSK-03,ART_08
RSK-04,ART_08
SEA-02.3,ART_08
OPS-01.1,ART_06
TPM-01,ART_30
TPM-02,ART_08
TPM-03,ART_30
TPM-05,ART_30
TPM-08,ART_30
VPM-07,ART_26
