scf_control_id,glba_section_id
GOV-01,SEC-314.4
GOV-01.1,SEC-314.4
GOV-01.2,SEC-314.4
GOV-02,SEC-314.4
GOV-03,SEC-314.4
GOV-04,SEC-314.4
AST-09,SEC-314.4
CHG-01,SEC-314.4
CHG-02,SEC-314.4
CPL-01,SEC-314.4
CPL-02,SEC-314.4
CPL-03,SEC-314.4
CRY-01,SEC-314.4
DCH-01,SEC-314.4
DCH-08,SEC-314.4
DCH-18,SEC-314.4
DCH-21,SEC-314.4
HRS-01,SEC-314.4
HRS-03.2,SEC-314.4
HRS-04.1,SEC-314.4
IAC-01,SEC-314.4
IAC-06,SEC-314.4
IAC-08,SEC-314.4
IAC-20,SEC-314.4
IAC-21,SEC-314.4
IRO-01,SEC-314.4
IRO-02,SEC-314.4
IRO-04,SEC-314.4
IRO-04.2,SEC-314.4
IRO-07,SEC-314.4
IRO-09,SEC-314.4
IRO-10,SEC-314.4
IRO-13,SEC-314.4
PRI-05,SEC-314.4
RSK-01,SEC-314.4
RSK-03,SEC-314.4
RSK-04,SEC-314.4
RSK-04.1,SEC-314.4
RSK-05,SEC-314.4
RSK-06,SEC-314.4
RSK-06.1,SEC-314.4
RSK-06.2,SEC-314.4
RSK-07,SEC-314.4
SEA-01,SEC-314.4
SEA-01.1,SEC-314.4
SEA-02,SEC-314.4
SEA-03,SEC-314.4
OPS-01,SEC-314.4
OPS-01.1,SEC-314.4
SAT-01,SEC-314.4
SAT-02,SEC-314.4
SAT-03,SEC-314.4
SAT-03.3,SEC-314.4
SAT-03.5,SEC-314.4
SAT-03.6,SEC-314.4
SAT-03.7,SEC-314.4
TDA-01,SEC-314.4
TDA-06,SEC-314.4
TPM-01,SEC-314.4
TPM-02,SEC-314.4
TPM-03,SEC-314.4
TPM-03.2,SEC-314.4
TPM-04,SEC-314.4
TPM-04.1,SEC-314.4
TPM-04.4,SEC-314.4
TPM-05,SEC-314.4
TPM-08,SEC-314.4
VPM-01,SEC-314.4
VPM-06,SEC-314.4
VPM-07,SEC-314.4
