scf_control_id,section_id
GOV-01,4(2)(a)
GOV-01,4(2)(b)(ii)
GOV-01,4(2)(b)(ii)(A)
GOV-01,4(2)(b)(ii)(A)(1)
GOV-01,4(2)(b)(ii)(A)(2)
GOV-01,4(2)(b)(ii)(A)(3)
GOV-01,4(2)(b)(ii)(A)(4)
GOV-01,4(2)(b)(ii)(A)(5)
GOV-01,4(2)(b)(ii)(A)(6)
GOV-01,4(2)(b)(ii)(B)(1)
GOV-01,4(2)(b)(ii)(B)(2)
GOV-01,4(2)(b)(ii)(B)(3)
GOV-01,4(2)(b)(ii)(B)(4)
GOV-01,4(2)(b)(ii)(C)(1)
GOV-01,4(2)(b)(ii)(C)(2)
GOV-01,4(2)(b)(ii)(C)(3)
GOV-01,4(2)(b)(ii)(C)(4)
GOV-03,4(2)(b)(ii)(A)(6)
GOV-04,4(2)(b)(ii)(A)(1)
CPL-01,4(2)(a)
CPL-01,4(2)(b)(i)
CPL-01,4(2)(b)(ii)
CPL-01,4(2)(b)(ii)(A)
CPL-01,4(2)(b)(ii)(A)(1)
CPL-01,4(2)(b)(ii)(A)(2)
CPL-01,4(2)(b)(ii)(A)(3)
CPL-01,4(2)(b)(ii)(A)(4)
CPL-01,4(2)(b)(ii)(A)(5)
CPL-01,4(2)(b)(ii)(A)(6)
CPL-01,4(2)(b)(ii)(B)(1)
CPL-01,4(2)(b)(ii)(B)(2)
CPL-01,4(2)(b)(ii)(B)(3)
CPL-01,4(2)(b)(ii)(B)(4)
CPL-01,4(2)(b)(ii)(C)(1)
CPL-01,4(2)(b)(ii)(C)(2)
CPL-01,4(2)(b)(ii)(C)(3)
CPL-01,4(2)(b)(ii)(C)(4)
CPL-01,4(2)(c)
CPL-02,4(2)(b)(ii)(B)(4)
CPL-03,4(2)(b)(ii)(B)(4)
CPL-03.2,4(2)(b)(ii)(B)(4)
MON-01,4(2)(b)(ii)(C)(2)
MON-01.8,4(2)(b)(ii)(C)(2)
MON-01.16,4(2)(b)(ii)(C)(2)
MON-16,4(2)(b)(ii)(C)(2)
DCH-01,4(2)(b)(ii)(B)(1)
DCH-01,4(2)(b)(ii)(B)(2)
DCH-01,4(2)(b)(ii)(B)(3)
DCH-01,4(2)(b)(ii)(B)(4)
DCH-01,4(2)(b)(ii)(C)(1)
DCH-01,4(2)(b)(ii)(C)(2)
DCH-01,4(2)(b)(ii)(C)(3)
DCH-01,4(2)(b)(ii)(C)(4)
IAC-01,4(2)(b)(ii)(C)(3)
IRO-04.1,3(2)
IRO-04.1,3(2)(a)
IRO-04.1,3(2)(b)(i)
IRO-04.1,3(2)(b)(ii)
IRO-04.1,3(2)(b)(iii)
IRO-04.1,3(2)(b)(iv)
IRO-04.1,3(3)
IRO-04.1,3(5)(a)
IRO-04.1,3(5)(b)
IRO-04.1,3(5)(c)
IRO-04.1,3(5)(d)
IRO-04.1,3(5)(d)(1)
IRO-04.1,3(5)(d)(2)
IRO-04.1,3(5)(d)(3)
IRO-04.1,3(7)
IRO-04.1,3(8)(a)
IRO-04.1,3(8)(b)
IRO-04.1,3(9)
PRI-01.6,4(2)(a)
PRI-01.6,4(2)(b)(i)
PRI-01.6,4(2)(b)(ii)
PRI-01.6,4(2)(b)(ii)(A)
PRI-01.6,4(2)(b)(ii)(A)(1)
PRI-01.6,4(2)(b)(ii)(A)(2)
PRI-01.6,4(2)(b)(ii)(A)(3)
PRI-01.6,4(2)(b)(ii)(A)(4)
PRI-01.6,4(2)(b)(ii)(A)(5)
PRI-01.6,4(2)(b)(ii)(A)(6)
PRI-01.6,4(2)(b)(ii)(B)(1)
PRI-01.6,4(2)(b)(ii)(B)(2)
PRI-01.6,4(2)(b)(ii)(B)(3)
PRI-01.6,4(2)(b)(ii)(B)(4)
PRI-01.6,4(2)(b)(ii)(C)(1)
PRI-01.6,4(2)(b)(ii)(C)(2)
PRI-01.6,4(2)(b)(ii)(C)(3)
PRI-01.6,4(2)(b)(ii)(C)(4)
PRI-01.6,4(2)(c)
PRI-05,4(2)(b)(ii)(C)(4)
RSK-01,4(2)(b)(ii)(A)(2)
RSK-01,4(2)(b)(ii)(A)(3)
RSK-01,4(2)(b)(ii)(B)(1)
RSK-01,4(2)(b)(ii)(B)(2)
RSK-01,4(2)(b)(ii)(C)(1)
RSK-03,4(2)(b)(ii)(A)(2)
RSK-03,4(2)(b)(ii)(A)(3)
RSK-03,4(2)(b)(ii)(B)(1)
RSK-03,4(2)(b)(ii)(B)(2)
RSK-03,4(2)(b)(ii)(C)(1)
RSK-04,4(2)(b)(ii)(A)(2)
RSK-04,4(2)(b)(ii)(A)(3)
RSK-04,4(2)(b)(ii)(B)(1)
RSK-04,4(2)(b)(ii)(B)(2)
RSK-04,4(2)(b)(ii)(C)(1)
SEA-01,4(2)(b)(ii)(B)(1)
SEA-01,4(2)(b)(ii)(B)(2)
SEA-01,4(2)(b)(ii)(B)(3)
SEA-01,4(2)(b)(ii)(B)(4)
SEA-02,4(2)(b)(ii)(B)(1)
SEA-02,4(2)(b)(ii)(B)(2)
SEA-02,4(2)(b)(ii)(B)(3)
SEA-02,4(2)(b)(ii)(B)(4)
SEA-03,4(2)(b)(ii)(B)(1)
SEA-03,4(2)(b)(ii)(B)(2)
SEA-03,4(2)(b)(ii)(B)(3)
SEA-03,4(2)(b)(ii)(B)(4)
SAT-01,4(2)(b)(ii)(A)(4)
SAT-02,4(2)(b)(ii)(A)(4)
SAT-03,4(2)(b)(ii)(A)(4)
SAT-03.3,4(2)(b)(ii)(A)(4)
TDA-01,4(2)(b)(ii)(B)(1)
TPM-01,4(2)(b)(ii)(A)(5)
