scf_control_id,pci_dss_v4_req_id
GOV-01,12.4
GOV-01,A3.1.2
GOV-02,1.1.1
GOV-02,10.1.1
GOV-02,11.1.1
GOV-02,12.1
GOV-02,12.1.1
GOV-02,12.1.2
GOV-02,12.1.3
GOV-02,2.1.1
GOV-02,3.1.1
GOV-02,3.7.1
GOV-02,3.7.2
GOV-02,3.7.3
GOV-02,3.7.5
GOV-02,3.7.6
GOV-02,3.7.7
GOV-02,3.7.8
GOV-02,4.1.1
GOV-02,5.1.1
GOV-02,6.1.1
GOV-02,7.1.1
GOV-02,8.1.1
GOV-02,8.3.8
GOV-02,9.1.1
GOV-03,1.1.1
GOV-03,2.1.1
GOV-03,3.1.1
GOV-03,4.1.1
GOV-03,5.1.1
GOV-03,6.1.1
GOV-03,7.1.1
GOV-03,8.1.1
GOV-03,9.1.1
GOV-03,10.1.1
GOV-03,11.1.1
GOV-03,12.1
GOV-03,12.1.1
GOV-03,12.1.2
GOV-04,1.1.2
GOV-04,2.1.2
GOV-04,3.1.2
GOV-04,4.1.2
GOV-04,5.1.2
GOV-04,6.1.2
GOV-04,7.1.2
GOV-04,8.1.2
GOV-04,9.1.2
GOV-04,10.1.2
GOV-04,11.1.2
GOV-04,12.1.3
GOV-04,12.1.4
GOV-04,12.4
GOV-04,A3.1.1
GOV-04,A3.1.3
GOV-07,6.3.1
GOV-10,A3.2.5
AST-01,6.3.2
AST-01,9.5.1
AST-01,9.5.1.1
AST-01,11.2
AST-01,11.2.2
AST-02,6.3.2
AST-02,9.5.1
AST-02,9.5.1.1
AST-02,11.2
AST-02,11.2.2
AST-03,2.2.2
AST-03,2.2.4
AST-03,2.2.5
AST-03,6.5.2
AST-04,1.2.3
AST-04,1.2.4
AST-04.1,A3.2.5
AST-04.2,1.2.3
AST-04.2,12.5.2.1
AST-04.2,A3.2.5
AST-04.3,6.3.2
AST-04.3,12.5.1
AST-04.3,12.5.2.1
AST-04.3,A3.2.5
AST-05,9.4
AST-05,9.4.4
AST-05.1,9.4.4
AST-06,9.5
AST-06,9.5.1
AST-07,9.5
AST-07,9.5.1
AST-07,9.5.1.1
AST-07,9.5.1.2
AST-08,9.5.1.2
AST-08,9.5.1.2.1
AST-09,9.4.7
AST-15,9.5.1
AST-15.1,9.5.1
AST-15.1,9.5.1.2
BCD-02.4,9.4.1.2
BCD-11,9.4.1.1
BCD-11,9.4.1.2
BCD-11,12.10.1
BCD-11.2,9.4.1.1
CHG-01,1.2.2
CHG-01,6.5
CHG-01,6.5.1
CHG-01,6.5.2
CHG-01,6.5.3
CHG-01,12.4.2
CHG-02,1.2.2
CHG-02,6.5
CHG-02,6.5.1
CHG-02,6.5.6
CHG-02,12.4.2
CHG-02.1,1.2.2
CHG-02.1,6.5
CHG-02.1,6.5.1
CHG-02.2,6.5
CHG-02.2,6.5.1
CHG-02.2,6.5.2
CHG-02.2,A3.2.2.1
CHG-02.4,10.7
CHG-03,6.5.2
CHG-03,6.5.6
CHG-03,A3.2.2
CHG-03,A3.2.3
CHG-04,1.2.8
CHG-06,6.5.2
CHG-06,10.7.3
CHG-06,A3.2.2.1
CHG-06.1,6.5.2
CLD-01,1.2.1
CLD-01,12.8.1
CLD-06,A1.1
CLD-06,A1.1.1
CLD-06,A1.1.2
CLD-06,A1.1.3
CLD-06,A1.1.4
CLD-06.1,12.4.1
CLD-06.2,A1.2
CLD-06.2,A1.2.1
CLD-06.3,A1.2
CLD-06.3,A1.2.2
CLD-06.4,A1.2
CLD-06.4,A1.2.3
CLD-12,12.4.2
CPL-01,12.4
CPL-01,12.4.2
CPL-01,A3.1
CPL-01,A3.1.1
CPL-01.1,12.4.2
CPL-01.2,12.5
CPL-01.2,12.5.1
CPL-01.2,12.5.2
CPL-01.2,A3.2
CPL-01.2,A3.2.1
CPL-01.2,A3.2.3
CPL-02,10.7
CPL-02,10.7.1
CPL-02,10.7.2
CPL-02,10.7.3
CPL-03,10.7
CPL-03,10.7.1
CPL-03,10.7.2
CPL-03,10.7.3
CPL-03,11.1
CPL-03,12.4.2
CPL-03.2,1.2.7
CPL-03.2,10.7
CPL-03.2,10.7.1
CPL-03.2,10.7.2
CPL-03.2,10.7.3
CPL-03.2,11.1
CPL-03.2,12.4.2
CFG-01,2.1
CFG-01,2.2
CFG-01,8.5
CFG-01.1,2.1
CFG-02,1.1
CFG-02,1.2.1
CFG-02,1.2.6
CFG-02,2.2
CFG-02,2.2.1
CFG-02,8.3.2
CFG-02,8.5
CFG-02,10.2
CFG-02,10.2.1
CFG-02,10.2.1.1
CFG-02,10.2.1.2
CFG-02,10.2.1.3
CFG-02,10.2.1.4
CFG-02,10.2.1.5
CFG-02,10.2.1.6
CFG-02,10.2.1.7
CFG-02,10.2.2
CFG-02,10.6
CFG-02,10.6.1
CFG-02,10.6.2
CFG-02,10.6.3
CFG-02,11.2
CFG-02.1,12.4.2
CFG-02.4,6.5.6
CFG-02.5,1.2.1
CFG-02.5,1.5
CFG-02.5,1.5.1
CFG-02.5,8.5
CFG-02.5,10.2
CFG-02.5,10.2.1
CFG-02.5,10.2.1.1
CFG-02.5,10.2.1.2
CFG-02.5,10.2.1.3
CFG-02.5,10.2.1.4
CFG-02.5,10.2.1.5
CFG-02.5,10.2.1.6
CFG-02.5,10.2.1.7
CFG-02.5,10.2.2
CFG-02.5,10.6
CFG-02.5,10.6.1
CFG-02.5,10.6.2
CFG-02.5,10.6.3
CFG-02.6,1.2.8
CFG-02.8,10.7
CFG-02.8,10.7.1
CFG-02.8,10.7.2
CFG-02.8,10.7.3
CFG-02.9,12.4.2
CFG-03,1.2.5
CFG-03,1.2.6
CFG-03,1.4
CFG-03,1.4.1
CFG-03,1.4.2
CFG-03,2.2.4
CFG-03.1,1.2.7
CFG-03.1,11.6.1
CFG-03.1,12.3.1
CFG-03.1,12.3.4
CFG-03.1,12.4.2
CFG-03.1,12.5.2
CFG-03.1,12.5.2.1
CFG-03.1,12.6.2
CFG-03.1,12.6.3
CFG-03.4,1.5.1
MON-01,10.1
MON-01,10.4.3
MON-01,10.7
MON-01,10.7.1
MON-01,10.7.2
MON-01,10.7.3
MON-01.1,1.4.3
MON-01.1,11.5
MON-01.1,11.5.1
MON-01.1,11.5.1.1
