scf_control_id,cis_control_id
AST-01,1
AST-01,2
AST-02,1
AST-02,2
AST-02,6
AST-02.2,1
AST-02.2,2
AST-02.3,1
AST-02.5,13
AST-02.6,1
AST-02.7,2
AST-02.9,2
AST-03.2,16
AST-04,3
AST-04,12
AST-09,3
AST-16,4
BCD-01,11
BCD-11,11
BCD-11.1,11
BCD-11.4,11
BCD-11.5,11
BCD-12,11
BCD-13,11
BCD-14,11
CHG-06,18
CFG-01,2
CFG-01,4
CFG-02,4
CFG-02,10
CFG-02,16
CFG-02.1,4
CFG-02.5,16
CFG-02.8,2
CFG-03,4
CFG-03.2,2
CFG-03.3,2
CFG-04.2,9
CFG-05.1,2
CFG-05.2,9
CFG-06.1,2
MON-01,8
MON-01,13
MON-01.4,8
MON-01.8,8
MON-01.13,13
MON-01.15,3
MON-02,3
MON-02,8
MON-02,13
MON-02.1,3
MON-02.1,8
MON-02.1,13
MON-02.2,8
MON-02.3,3
MON-02.3,8
MON-02.3,13
MON-02.7,8
MON-03,3
MON-03,8
MON-03.1,3
MON-03.3,8
MON-04,8
MON-07.1,8
MON-10,8
MON-16.3,2
CRY-01,3
CRY-03,3
CRY-05,3
CRY-05.1,3
CRY-06,4
CRY-06,12
DCH-01,3
DCH-01,11
DCH-01.1,3
DCH-01.2,3
DCH-01.4,3
DCH-02,3
DCH-02.1,3
DCH-03,3
DCH-03.1,3
DCH-06.2,3
DCH-06.3,3
DCH-08,3
DCH-09,3
DCH-13.1,3
DCH-14,3
DCH-14.2,3
DCH-14.3,3
DCH-18,3
DCH-21,3
END-01,10
END-02,10
END-02,11
END-03.1,2
END-04,10
END-04.1,10
END-04.3,10
END-04.4,10
END-04.7,10
END-05,4
END-06.2,13
END-06.2,2
END-07,13
END-08,9
HRS-05.1,9
HRS-05.2,9
HRS-05.4,9
IAC-01,4
IAC-01,5
IAC-01,6
IAC-01.2,12
IAC-01.2,5
IAC-01.2,6
IAC-02,5
IAC-02,6
IAC-02,12
IAC-03,12
IAC-04,12
IAC-05,5
IAC-06,6
IAC-06.1,6
IAC-07,6
IAC-08,3
IAC-08,6
IAC-09,5
IAC-10,5
IAC-10.1,5
IAC-10.8,4
IAC-13.1,6
IAC-13.2,6
IAC-15.1,5
IAC-15.1,6
IAC-15.3,5
IAC-16,2
IAC-16,5
IAC-16.1,5
IAC-20.4,12
IAC-21,5
IAC-21.2,5
IAC-22,4
IAC-24,4
IRO-01,17
IRO-02,2
IRO-02,17
IRO-04,17
IRO-06,17
IRO-07,17
IRO-09,17
IRO-10,17
IRO-10.2,17
IRO-10.3,17
IRO-10.4,17
IRO-13,16
IRO-13,17
IRO-15,9
IAO-03.2,15
MNT-04,2
MNT-04.4,2
MNT-05,4
MNT-05.3,12
MDM-01,4
MDM-05,4
MDM-10,4
NET-01,12
NET-01.1,13
NET-02,12
NET-03,13
NET-03,9
NET-04,3
NET-04,4
NET-04,12
NET-04,13
NET-04.1,13
NET-08,9
NET-08,13
NET-08.3,1
NET-10,4
NET-10.3,9
NET-14,12
NET-14.1,12
NET-14.2,12
NET-14.3,12
NET-14.7,13
NET-17,3
NET-18,9
NET-18,13
NET-18.1,13
NET-20.4,9
PRI-05,3
PRI-07.1,15
PRM-05,15
PRM-06,15
PRM-07,15
RSK-01,16
RSK-01.1,16
RSK-02,16
RSK-02.1,16
RSK-06,18
RSK-06.2,2
RSK-09,15
RSK-09.1,15
SEA-01,12
SEA-01,16
SEA-01.1,16
SEA-02,12
SEA-02,16
SEA-03.1,3
SAT-01,14
SAT-02,14
SAT-02.2,9
SAT-02.2,14
SAT-03,14
SAT-03,16
SAT-03.1,14
SAT-03.2,14
SAT-03.3,14
SAT-03.8,14
SAT-03.9,16
TDA-01,15
TDA-01,16
TDA-01.1,15
TDA-02,16
TDA-02.1,12
TDA-02.1,16
TDA-02.3,16
TDA-02.5,16
TDA-02.6,4
TDA-04.2,16
TDA-05,16
TDA-06,16
TDA-06.2,16
TDA-06.3,16
TDA-06.5,16
TDA-07,16
TDA-08,16
TDA-09,16
TDA-09.1,16
TDA-09.2,16
TDA-09.3,16
TDA-09.5,16
TDA-09.6,16
TDA-11,16
TDA-12,16
TDA-14,16
TDA-14.1,16
TDA-15,16
TDA-16,16
TDA-17,2
TPM-01,15
TPM-01.1,15
TPM-02,15
TPM-03.2,15
TPM-04,15
TPM-04.1,15
TPM-04.2,12
TPM-05,15
TPM-05.4,15
TPM-05.5,15
TPM-08,15
TPM-10,15
THR-06,16
VPM-01,7
VPM-01,18
VPM-02,7
VPM-04,12
VPM-04,18
VPM-04,7
VPM-04.1,12
VPM-05,7
VPM-05,12
VPM-05,18
VPM-05.1,7
VPM-05.2,7
VPM-05.4,7
VPM-06,7
VPM-06.6,7
VPM-06.7,7
VPM-07,18
WEB-03,4
WEB-03,13
WEB-07,16
WEB-08,16
