scf_control_id,iso_control_id
GOV-01,5.1
GOV-01,5.4
GOV-01,5.37
GOV-02,5.1
GOV-02,5.37
GOV-03,5.1
GOV-03,5.37
GOV-04,5.2
GOV-06,5.5
GOV-07,5.6
GOV-10,5.12
AST-01,5.30
AST-01,5.31
AST-01,7.9
AST-01.1,5.9
AST-01.1,5.30
AST-01.2,5.9
AST-02,5.9
AST-02.7,5.32
AST-02.8,5.9
AST-02.9,8.9
AST-03,5.9
AST-03.1,5.9
AST-03.2,5.21
AST-04,5.9
AST-04,8.20
AST-04.1,5.12
AST-05,7.9
AST-06,7.7
AST-06,7.9
AST-06,8.1
AST-07,8.1
AST-08,7.9
AST-09,7.14
AST-09,8.10
AST-10,5.11
AST-11,7.10
AST-12,7.10
AST-12,8.1
AST-15,7.9
BCD-01,5.29
BCD-01,5.30
BCD-01.1,5.29
BCD-01.1,5.30
BCD-01.2,5.29
BCD-01.2,5.30
BCD-04,5.29
BCD-04,5.30
BCD-08,8.14
BCD-09,8.14
BCD-11,8.13
BCD-11.1,8.13
BCD-11.2,8.13
BCD-11.4,8.13
BCD-11.7,8.14
CAP-01,8.6
CAP-03,8.6
CHG-01,8.19
CHG-01,8.32
CHG-02,8.19
CHG-02,8.32
CHG-02.2,8.19
CHG-02.2,8.32
CLD-01,5.23
CLD-02,5.23
CLD-04,5.23
CLD-04,8.26
CLD-06,5.23
CLD-06.1,5.23
CLD-09,5.23
CPL-01,5.31
CPL-01,8.34
CPL-02,5.31
CPL-02,5.36
CPL-02,6.8
CPL-02,8.8
CPL-02,8.34
CPL-02.1,5.35
CPL-02.1,8.34
CPL-03,5.35
CPL-03,5.36
CPL-03,8.34
CPL-03.1,5.35
CPL-03.2,5.35
CPL-03.2,5.36
CPL-03.2,8.8
CPL-04,5.35
CPL-04,8.34
CFG-01,8.3
CFG-01,8.9
CFG-01,8.12
CFG-01.1,8.9
CFG-02,8.3
CFG-02,8.5
CFG-02,8.9
CFG-02,8.12
CFG-02,8.25
CFG-02,8.26
CFG-02.1,8.9
CFG-02.4,8.25
CFG-02.5,8.12
CFG-03,8.3
CFG-03,8.9
CFG-03,8.12
CFG-03.1,8.8
CFG-03.1,8.27
MON-01,8.15
MON-01,8.16
MON-01.1,8.16
MON-01.2,8.16
MON-01.3,8.16
MON-01.4,8.15
MON-01.8,8.16
MON-02,8.15
MON-02.1,8.15
MON-02.2,6.8
MON-02.2,8.15
MON-02.2,8.16
MON-03,8.15
MON-03.3,8.15
MON-06,6.8
MON-06,8.15
MON-08,8.15
MON-11,5.7
MON-11.3,5.7
CRY-01,8.24
CRY-01,8.26
CRY-01.2,5.31
CRY-03,5.14
CRY-03,8.24
CRY-03,8.26
CRY-04,8.24
CRY-04,8.26
CRY-05,8.24
CRY-09,8.24
CRY-09.3,8.24
CRY-09.4,8.24
DCH-01,5.9
DCH-01,5.10
DCH-01,5.12
DCH-01,5.33
DCH-01,7.10
DCH-01,8.12
DCH-02,5.9
DCH-02,5.12
DCH-03,7.10
DCH-03.2,8.11
DCH-04,5.10
DCH-04,5.13
DCH-06,7.10
DCH-07,5.14
DCH-07,7.10
DCH-07.1,5.10
DCH-07.1,5.14
DCH-07.2,7.10
DCH-08,7.10
DCH-08,8.10
DCH-09,8.10
DCH-09.1,8.10
DCH-09.3,8.10
DCH-10,7.10
DCH-10.1,7.10
DCH-12,7.10
DCH-14,5.14
DCH-17,5.14
DCH-18,5.33
DCH-18,8.10
DCH-21,8.10
DCH-23,8.33
DCH-23.4,8.11
END-01,7.7
END-01,8.1
END-01,8.5
END-02,8.1
END-02,8.5
END-03,8.19
END-03.2,8.19
END-04,8.7
END-04.1,8.7
END-09,8.5
HRS-01,5.4
HRS-03,5.2
HRS-04,6.1
HRS-04.1,5.2
HRS-04.1,6.1
HRS-04.2,5.4
HRS-05,5.4
HRS-05,5.14
HRS-05,6.2
HRS-05.1,5.4
HRS-05.1,5.10
HRS-05.1,5.14
HRS-05.1,6.2
HRS-05.2,5.4
HRS-05.2,5.10
HRS-05.2,6.2
HRS-05.3,5.4
HRS-05.3,5.10
HRS-05.3,6.2
HRS-05.5,6.2
HRS-06,5.10
HRS-06,5.14
HRS-06.1,5.14
HRS-06.1,6.6
HRS-07,6.4
HRS-07.1,6.4
HRS-08,6.5
HRS-09,6.5
HRS-09.3,6.5
HRS-11,5.3
HRS-11,5.18
HRS-12,5.3
IAC-01,5.15
IAC-01,5.18
IAC-02,5.15
IAC-03,5.16
IAC-04,5.16
IAC-05,5.16
IAC-07,5.16
IAC-07,5.18
IAC-07.1,5.18
IAC-07.2,5.18
IAC-08,5.15
IAC-08,8.3
IAC-09,5.16
IAC-09.1,5.16
IAC-09.4,5.16
IAC-10,5.17
IAC-10,5.18
IAC-10.1,5.17
IAC-10.5,5.17
IAC-10.8,5.17
IAC-10.11,5.17
IAC-10.11,5.18
IAC-15,5.15
IAC-15,5.16
IAC-15,5.18
IAC-15.1,5.18
IAC-15.2,5.18
IAC-15.3,5.16
IAC-15.5,5.16
IAC-16,5.15
